,r_1,r_1_angles,r_1_nfev,r_2,r_2_angles,r_2_nfev,r_3,r_3_angles,r_3_nfev,r_4,r_4_angles,r_4_nfev,r_5,r_5_angles,r_5_nfev,r_6,r_6_angles,r_6_nfev,r_7,r_7_angles,r_7_nfev,r_8,r_8_angles,r_8_nfev,r_9,r_9_angles,r_9_nfev,r_10,r_10_angles,r_10_nfev
graphs/new/nodes_12/depth_3//0.gml,0.7548467478782412,[1.75605836 2.79104397],42.0,0.7548467478782412,[1.75605836 2.79104397],18,0.7548467478782412,[1.75605836 2.79104397],51,0.7548467478782412,[1.75605836 2.79104397],27,0.7548467478782412,[1.75605836 2.79104397],30,0.819107856283891,[-40.65576587  -9.71926437],105,0.819107856283891,[-40.65576587  -9.71926437],51,0.819107856283891,[-40.65576587  -9.71926437],39,0.819107856283891,[-40.65576587  -9.71926437],30,0.819107856283891,[-40.65576587  -9.71926437],141
graphs/new/nodes_12/depth_3//1.gml,0.7556143069176431,[ 1.32915501 -2.79215631],34.0,0.755614311359753,[-1.81237616 -2.79209051],39,0.7556143113597946,[ 1.8123759  -1.92029867],30,0.8275257730802821,[-2.95534703  2.84912259],45,0.8275257730802821,[-2.95534703  2.84912259],27,0.8275257730802821,[-2.95534703  2.84912259],66,0.8275257730802821,[-2.95534703  2.84912259],54,0.8275257730802821,[-2.95534703  2.84912259],24,0.8275257730802821,[-2.95534703  2.84912259],39,0.8275257730802821,[-2.95534703  2.84912259],33
graphs/new/nodes_12/depth_3//2.gml,0.8190895935982317,[-0.18469057  0.29499445],40.0,0.8190895935982317,[-0.18469057  0.29499445],84,0.8190896077915861,[-0.18474958  0.29491877],36,0.819089607791591,[2.95684309 1.86571508],117,0.819089607791591,[2.95684309 1.86571508],48,0.819089607791591,[2.95684309 1.86571508],39,0.819089607791591,[2.95684309 1.86571508],33,0.819089607791591,[2.95684309 1.86571508],24,0.819089607791591,[2.95684309 1.86571508],57,0.819089607791591,[2.95684309 1.86571508],42
graphs/new/nodes_12/depth_3//3.gml,0.7992452062972331,[0.17023032 2.86408582],30.0,0.7992452062972331,[0.17023032 2.86408582],15,0.7992452062972331,[0.17023032 2.86408582],114,0.7992452062972331,[0.17023032 2.86408582],33,0.7992452062972331,[0.17023032 2.86408582],24,0.7992452062972331,[0.17023032 2.86408582],75,0.7992452262508881,[-0.17016109  0.27744414],33,0.7992452262508881,[-0.17016109  0.27744414],126,0.7992452262508881,[-0.17016109  0.27744414],126,0.7992452262508881,[-0.17016109  0.27744414],99
graphs/new/nodes_12/depth_3//4.gml,0.8151772096184181,[1.7631079 2.7424323],42.0,0.8151772186465205,[-1.37840798 -3.5407561 ],60,0.8151772186465205,[-1.37840798 -3.5407561 ],78,0.8151772186465205,[-1.37840798 -3.5407561 ],33,0.8151772186465205,[-1.37840798 -3.5407561 ],48,0.8151772186465205,[-1.37840798 -3.5407561 ],33,0.8151772186465205,[-1.37840798 -3.5407561 ],48,0.8151772186465205,[-1.37840798 -3.5407561 ],72,0.8151772186465205,[-1.37840798 -3.5407561 ],24,0.8588048820797176,[ 22.15348286 -25.3990392 ],102
graphs/new/nodes_12/depth_3//5.gml,0.6893592896172503,[-1.33557681  0.82343382],53.0,0.7895061647837273,[  6.07877959 -97.06954531],36,0.7895061647837273,[  6.07877959 -97.06954531],60,0.789506164783729,[2.93718694 0.31982691],57,0.789506164783729,[2.93718694 0.31982691],72,0.789506164783729,[2.93718694 0.31982691],36,0.789506164783729,[2.93718694 0.31982691],45,0.789506164783729,[2.93718694 0.31982691],39,0.789506164783729,[2.93718694 0.31982691],66,0.789506164783729,[2.93718694 0.31982691],33
graphs/new/nodes_12/depth_3//6.gml,0.7629825426790181,[1.79325718 2.71952579],44.0,0.8164312095122012,[-0.18341802  0.29072912],63,0.816431209512203,[-2.95817461  2.85086352],33,0.816431209512203,[-2.95817461  2.85086352],42,0.816431209512203,[-2.95817461  2.85086352],60,0.8164312095122044,[2.95817461 0.29072913],60,0.8164312095122044,[2.95817461 0.29072913],63,0.8164312095122044,[2.95817461 0.29072913],39,0.8164312095122044,[2.95817461 0.29072913],57,0.8164312095122044,[2.95817461 0.29072913],45
graphs/new/nodes_12/depth_3//7.gml,0.8597575247844027,[-0.20014297  0.30198087],38.0,0.8597575247844027,[-0.20014297  0.30198087],24,0.8597575453088133,[-2.94135913  2.83960103],57,0.8597575453088133,[-2.94135913  2.83960103],42,0.8597575453088133,[-2.94135913  2.83960103],48,0.8597575453088133,[-2.94135913  2.83960103],54,0.859757545308815,[-0.2002335   3.44358422],48,0.859757545308815,[-0.2002335   3.44358422],30,0.859757545308815,[-0.2002335   3.44358422],48,0.859757545308815,[-0.2002335   3.44358422],54
graphs/new/nodes_12/depth_3//8.gml,0.7969987061342081,[-1.76330005  0.42941346],40.0,0.7969987167228394,[-4.51981333 -2.00018965],66,0.7969987167228394,[-4.51981333 -2.00018965],111,0.7969987167228394,[-4.51981333 -2.00018965],63,0.7969987167228394,[-4.51981333 -2.00018965],39,0.7969987167228403,[-4.51981335  1.1414029 ],45,0.7969987167228403,[-4.51981335  1.1414029 ],33,0.7969987167228403,[-4.51981335  1.1414029 ],72,0.7969987167228403,[-4.51981335  1.1414029 ],60,0.7969987167228413,[1.37822069 3.5709861 ],66
graphs/new/nodes_12/depth_3//9.gml,0.739493234192404,[1.82420396 2.37621172],54.0,0.7394932362897635,[1.31745833 2.33616679],45,0.7394932362897635,[1.31745833 2.33616679],39,0.7394932362897635,[1.31745833 2.33616679],75,0.7394932362897635,[1.31745833 2.33616679],33,0.7394932362897635,[1.31745833 2.33616679],57,0.7394932362897635,[1.31745833 2.33616679],33,0.7394932362897635,[ 1.31745824 -2.37622248],102,0.7394932362897635,[ 1.31745824 -2.37622248],39,0.7394932362897635,[ 1.31745824 -2.37622248],33
graphs/new/nodes_12/depth_3//10.gml,0.7374196761457783,[ 1.1799356  -2.63850062],53.0,0.8267193451806011,[-3.31052471  1.84596276],36,0.8267193451806011,[-3.31052471  1.84596276],153,0.8267193451806011,[-3.31052471  1.84596276],57,0.8267193451806011,[-3.31052471  1.84596276],60,0.8267193451806011,[-3.31052471  1.84596276],45,0.8267193451806011,[-3.31052471  1.84596276],36,0.8267193451806011,[-3.31052471  1.84596276],66,0.8267193451806011,[-3.31052471  1.84596276],30,0.8267193451806011,[-3.31052471  1.84596276],45
graphs/new/nodes_12/depth_3//11.gml,0.8315730270887383,[ 2.96868391 -1.28762065],39.0,0.8315730430478718,[-0.17285455  0.28326733],36,0.8315730430478718,[-0.17285455  0.28326733],42,0.8315730430478718,[-0.17285455  0.28326733],27,0.8315730430478718,[-0.17285455  0.28326733],33,0.8315730430478718,[-0.17285455  0.28326733],36,0.8315730430478718,[-0.17285455  0.28326733],18,0.8315730430478718,[-0.17285455  0.28326733],27,0.8315730430478718,[-0.17285455  0.28326733],57,0.8315730430478718,[-0.17285455  0.28326733],15
graphs/new/nodes_12/depth_3//12.gml,0.8286732378968167,[-1.34046354 -2.79546661],38.0,0.8286732576077053,[-1.34039516  1.9170231 ],27,0.8286732576077053,[-1.34039516  1.9170231 ],12,0.8623162310002802,[ 0.20284522 -0.30423118],36,0.8623162310002802,[ 0.20284522 -0.30423118],24,0.8623162310002802,[ 0.20284522 -0.30423118],24,0.8623162310002802,[ 0.20284522 -0.30423118],21,0.8623162310002802,[ 0.20284522 -0.30423118],30,0.8623162310002802,[ 0.20284522 -0.30423118],27,0.8623162310002802,[ 0.20284522 -0.30423118],42
