path,p_1,p_1_angles,p_1_nfev,p_2,p_2_angles,p_2_nfev,p_3,p_3_angles,p_3_nfev,p_4,p_4_angles,p_4_nfev,p_5,p_5_angles,p_5_nfev,p_6,p_6_angles,p_6_nfev,p_7,p_7_angles,p_7_nfev,p_8,p_8_angles,p_8_nfev,p_9,p_9_angles,p_9_nfev,p_10,p_10_angles,p_10_nfev,p_11,p_11_angles,p_11_nfev,p_12,p_12_angles,p_12_nfev,p_13,p_13_angles,p_13_nfev
graphs/new/nodes_12/depth_5//0.gml,0.7601807439906988,[-0.35129492  0.37885759],36,0.818385286022187,[-0.45796562  1.21513316  0.18551872 -0.82900683],195,0.818385286022187,[-0.45796562  1.21513316  0.18551872 -0.82900683  0.          0.        ],266,0.8728224584369384,[-0.23638326  0.47931322 -0.56645846 -0.2745443   0.10340157  1.11535108  0.05306576  1.02579045],639,0.9181632005783,[-0.23106519  0.53042344 -0.44505369  0.3842663  -0.90677738  0.27300165  0.16985104  1.19840568  0.22565088  0.39702327],451,0.9507490402590418,[-0.18163185  0.57895631 -0.36327719  0.43488743 -0.43238251  0.34626499 -0.53239808  1.1156875   0.04375166  0.69891566 -0.51747042  0.12971402],1742,0.96262419322569,[-0.17581744  0.59553848 -0.34111231  0.47082092 -0.38910516  0.36734874 -0.45246183  0.31532101 -0.53206836  1.06256584  0.03719898  0.72225992 -0.52764853  0.11963499],1335,0.971688947135404,[-0.16907409  0.59330215 -0.32972828  0.48140768 -0.36595674  0.40334865 -0.40802798  0.3334132  -0.46149043  0.2860556  -0.53987404  2.64265196  0.03151983 -0.87871588 -0.51700806  0.11290618],1564,0.979079935246624,[-0.1615965   0.59748936 -0.32170374  0.48637578 -0.35538263  0.42331347 -0.3836088   0.37680817 -0.4125927   0.3086669  -0.46339413  0.2695186  -0.5350134   1.05229904  0.02814614  0.70124054 -0.52161124  0.10515513],2356,0.98394004625025,[-0.16234294  0.60126462 -0.3229933   0.48955819 -0.35760006  0.42935944 -0.38139348  0.393126   -0.40309556  0.34353675 -0.43280181  0.28318481 -0.49548362  0.24234536 -0.94426081  0.20202857  0.16907828  1.31904558  0.1944651   0.26425252],3297,0.9852835343128444,[-0.15928762  0.60123823 -0.31988995  0.48803403 -0.3553551   0.42979408 -0.3781458   0.38943918 -0.40187924  0.34936171 -0.42325236  0.2931989  -0.47357825  0.24099965 -1.57172821  0.04350365  0.63675911  1.78346117  0.18990501 -0.28136704  0.18437109  0.31540839],4922,0.9904293600870776,[-0.14979087  0.59383215 -0.29920582  0.47675212 -0.33889291  0.421877   -0.36514941  0.39704191 -0.37164171  0.35971264 -0.39367376  0.33429698 -0.40557074  0.30246361 -0.52113369  1.01505571  0.03160265  0.74763512  0.85248898  0.67541779 -0.02306293 -0.76788189 -1.44617131  0.12748854],8325,0.9953720267326936,[-0.13610051  0.60249576 -0.2835494   0.47606536 -0.32127507  0.42068401 -0.34688567  0.39219432 -0.35919129  0.36579956 -0.36822273  0.34297067 -0.37280543  0.29657712 -0.39587305  0.25971901 -0.49197362  2.46305652  0.02803997 -0.66236464 -0.57952697 -0.5062983   0.02393199  0.6467325  -0.54957593  0.084979  ],6831
graphs/new/nodes_12/depth_5//1.gml,0.7667821604013898,[-0.35457267  0.37125431],36,0.8399311044156587,[-0.28005786  0.45854792 -0.51736391  0.24367687],115,0.8449868241244889,[-0.94279556  0.1328051  -1.84269076  1.29378996 -0.74770491  1.78036252],336,0.8962652951937572,[ 0.3232253   1.35257787 -0.69496662 -0.51690138  0.111547    0.85268918 -0.58157531  0.18456643],522,0.9030101556131364,[-0.25921346  0.52133083 -0.458251    0.34018613 -0.59353678  1.27529949  0.0698275  -0.36427247  0.03466118  0.88047517],693,0.9559888274042336,[-0.19904448  0.54870764 -0.37868092  0.40983016 -0.4400983   0.35058868 -0.53031206  1.07648443  0.06277056  0.76962361 -0.50395169  0.1399226 ],1378,0.9654293093541036,[-0.19184602  0.58131287 -0.36875974  0.43611372 -0.39916807  0.37336244  1.19940425  0.05678307 -1.64136641  0.30500264 -0.45831734  0.23041016 -0.49742222  0.13164263],1500,0.9654293093541036,[-0.19184602  0.58131287 -0.36875974  0.43611372 -0.39916807  0.37336244  1.19940425  0.05678307 -1.64136641  0.30500264 -0.45831734  0.23041016 -0.49742222  0.13164263  0.          0.        ],1700,0.9713998335630404,[-0.18990669  0.59550654 -0.35016362  0.46134146 -0.39039162  0.38897116 -0.41976937  0.32491792 -0.46199338  0.27805231 -0.91211517  0.29341446  0.07124254 -0.22204616  0.2173263   1.32536003  0.08433495  0.41932023],2356,0.981483456447095,[-0.17891138  0.58958081 -0.3419686   0.47514456 -0.36373946  0.41605475 -0.39745999  0.36642231 -0.4150337   0.30256655 -0.47463059  0.25904711 -0.84380896  0.43129142  0.12853379  0.53060137 -0.07547291  0.46785972  0.2236432   0.3812277 ],1890,0.9886658142177608,[-0.16923273  0.59740645 -0.32966695  0.4712381  -0.35827588  0.42528435 -0.37916378  0.39020424 -0.397645    0.33721467 -0.42202366  0.27486707 -0.46569659  0.23501464 -0.96091586  0.15239593  0.47142016 -0.10350713 -0.39233839  1.47480155  0.38729441  0.26468134],2967,0.9963271755685584,[-0.14078323  0.59631755 -0.28746329  0.46552208 -0.32074563  0.41214348 -0.34901274  0.3837297  -0.35330764  0.35203625 -0.36098866  0.31485399 -0.36398557  0.25633783 -0.37789391  0.23068089 -0.45980268  0.89348948  0.01667778  0.88155512 -0.52049002  0.13148283 -0.53468863  0.06317739],4975,0.9963271755685584,[-0.14078323  0.59631755 -0.28746329  0.46552208 -0.32074563  0.41214348 -0.34901274  0.3837297  -0.35330764  0.35203625 -0.36098866  0.31485399 -0.36398557  0.25633783 -0.37789391  0.23068089 -0.45980268  0.89348948  0.01667778  0.88155512 -0.52049002  0.13148283 -0.53468863  0.06317739  0.          0.        ],6183
graphs/new/nodes_12/depth_5//2.gml,0.7480052345180168,[-0.33441454  0.38137061],39,0.8478970745281735,[-0.26846297  0.50321368 -0.45850212  0.30375054],120,0.905524040547246,[-0.23004581  0.53963234 -0.41393978  0.41184711 -0.47198984  0.23124753],245,0.9359255110402536,[-0.19570915  0.56291399 -0.38041376  0.44595972 -0.4369811   0.33217388 -0.49687228  0.17456203],432,0.9573477230735268,[-0.18051845  0.57947128 -0.35171834  0.46679873 -0.40210154  0.36816205 -0.45848284  0.2734504  -0.51760821  0.1434893 ],726,0.9573477230735268,[-0.18051845  0.57947128 -0.35171834  0.46679873 -0.40210154  0.36816205 -0.45848284  0.2734504  -0.51760821  0.1434893   0.          0.        ],910,0.973702162578406,[-0.16141823  0.59728803 -0.32431053  0.48140659 -0.36598397  0.39826041 -0.40657911  0.32916336 -0.50544382  1.00497809  0.03326277  0.81679663 -0.5557099   0.1234579 ],1425,0.9815155303429238,[-0.15213082  0.59208867 -0.30754233  0.48088789 -0.349331    0.39632492 -0.37997346  0.33885227 -0.42318064  0.27536782 -0.51955926  2.71109986  0.02196919 -0.93855724 -0.52554322  0.09902706],1853,0.986885108025479,[-0.14100422  0.59633877 -0.29359879  0.48401315 -0.33488249  0.41090559 -0.36770645  0.35044605 -0.3958268   0.2950756  -0.43879208  0.23798791 -0.54471094  2.7414759   0.02440516 -1.00266681 -0.52379553  0.0793675 ],2432,0.9883198459094384,[-0.13404302  0.59194456 -0.28191013  0.47699757 -0.32555385  0.41009979 -0.35843136  0.36156781 -0.3863274   0.29899643 -0.4172064   0.24727031 -0.47016167  0.18637501 -1.15199783  0.3297349  -0.01380348  1.28303067  0.63746543  0.11472052],3801,0.9884825015837092,[-0.13193643  0.59569207 -0.27986708  0.47764498 -0.32209676  0.40723397 -0.3526974   0.36020568 -0.42416418  1.05691193  0.02455024 -0.7382616  -0.43910278  0.22763843 -1.43161931  0.04370846  0.98532595  0.17124369 -0.55198963 -0.39555475  0.02764807  2.06410688],5497,0.995094540230421,[-0.12136778  0.61414179 -0.25747734  0.49839499 -0.29830684  0.42397278 -0.33163393  0.38568123 -0.354457    0.350517   -0.37499193  0.31752062 -0.39692344  0.28287178 -0.41881619  0.23439919 -0.43086273  0.19966331 -0.46347256  0.16217459 -0.510903    0.11294954 -0.55058922  0.05410146],2150,0.9969244207457282,[-0.12048346  0.60701018 -0.25678483  0.49601113 -0.29610044  0.42890934 -0.32786299  0.38567987 -0.35041103  0.35048355 -0.36848091  0.32431395 -0.3893367   0.29449024 -0.40545904  0.26661871 -0.42219854  0.22582859 -0.4266146   0.1952832  -0.46170976  0.16004039 -0.51236317  0.11283858 -0.54014197  0.05663104],2565
graphs/new/nodes_12/depth_5//3.gml,0.7576392689570574,[-0.34523446  0.37603649],36,0.8043477526703547,[ 0.46029301  1.90839075 -0.18176225 -0.71418605],160,0.8539385971571832,[-0.25159888  0.48649669 -0.58006354  1.12624323  0.12214868  0.71413933],210,0.888903572558875,[-0.24073082  0.53019215 -0.44015733  0.36268384 -0.59547119  1.09533781  0.09559004  0.69101769],333,0.8967957978575211,[-0.24273291  0.5381255  -0.46345274  0.38275214 -1.04541723  0.10888296  0.3749124   1.19849855  0.13487267  0.55106455],539,0.9345271684927652,[-0.19485603  0.55636327 -0.38494163  0.42306901 -0.44506279  0.34166295 -0.56253443  1.14336181  0.06861395  0.68713992 -0.506852    0.12910365],1638,0.9458005861185248,[-0.1834457   0.58830836 -0.35718054  0.44543246 -0.40549096  0.37006969 -0.46310191  0.31889844 -0.56646208  1.14047074  0.06094398  0.66110602 -0.51431594  0.11719706],1875,0.9496134062309016,[ 0.38033313  1.48460052 -0.59358959  0.49039783 -0.37685889  0.42359449 -0.43237221  0.35569993 -0.44364722  0.31198552 -0.50380295  0.20481097  0.78181393  1.52117276 -1.33597401  0.11056715],2142,0.9594115739310194,[ 0.32799324  1.48668488 -0.5304067   0.49050573 -0.35909659  0.4489675  -0.40380182  0.37963437 -0.42970595  0.33759582 -0.47648019  0.28747371 -0.58316269  1.17431857  0.05439147  0.6006729  -0.49326113  0.10990854],3363,0.9698591943374087,[-0.15785287  0.59657381 -0.32485606  0.47582826 -0.36614187  0.41695782 -0.39366174  0.3957598  -0.4155452   0.34606942 -0.43491075  0.30703942 -0.47794934  0.26879534 -0.57425821  1.18047387  0.05015827  0.58159457 -0.49102084  0.09832215],3633,0.9698591943374087,[-0.15785287  0.59657381 -0.32485606  0.47582826 -0.36614187  0.41695782 -0.39366174  0.3957598  -0.4155452   0.34606942 -0.43491075  0.30703942 -0.47794934  0.26879534 -0.57425821  1.18047387  0.05015827  0.58159457 -0.49102084  0.09832215  0.          0.        ],9805,0.97845732415236,[-0.16259531  0.58967068 -0.32560387  0.47506578 -0.36299086  0.42087862 -0.39419983  0.39229339 -0.4105239   0.36640661 -0.41939053  0.33653346 -0.44622942  0.31742561 -0.54655081  1.01113446  0.05550752  0.80599071 -0.56061078  0.14341207  1.27448577 -0.04527769 -1.82732359  0.08165663],5200,0.9824979229391961,[-0.15412239  0.60239669 -0.31650307  0.48141432 -0.35295551  0.42447908 -0.38382453  0.40001728 -0.40015707  0.3701816  -0.41755927  0.34828301 -0.41408489  0.3154199  -0.44085041  0.28367057 -0.49436057  0.73643914 -0.49173557  0.01705632  0.53758961  1.07456461 -0.57968455  0.15038045 -0.58177732  0.09339674],5076
graphs/new/nodes_12/depth_5//4.gml,0.7822325419648014,[-0.31232004  0.36420504],39,0.7822325419648014,[-0.31232004  0.36420504  0.          0.        ],100,0.848264844458648,[-2.89816023  1.10325369 -1.69445853  1.57780714 -0.98557822  2.89479954],399,0.9006050533269409,[-0.21205991  0.54859999 -0.39745481  0.37223595 -0.56085898  1.11009203  0.09229234  0.68073075],459,0.9052271547041836,[-0.21807502  0.54820424 -0.42319093  0.3967798  -0.9423239   0.12214047  0.28243455  1.20962259  0.15663691  0.51586055],990,0.9145073888946011,[-0.20538674  0.55747967 -0.40240279  0.48002176 -1.06997002  0.02390547  0.49855268  1.14415719  0.0960303   0.63532919  0.65347078 -0.1281326 ],845,0.9502519338583544,[-0.17356933  0.57522347 -0.34602877  0.44412226 -0.39952513  0.37371422 -0.43725672  1.8903591  -0.48290444 -1.33817077  0.41978661  1.58740191 -0.92490283  0.12588025],2385,0.9588108269498284,[-0.15997876  0.58148718 -0.32298834  0.46100222 -0.37232611  0.38923504 -0.41395141  0.34413378 -0.44561957  0.29328746 -0.48599428  0.20307891  0.39527158  1.57718796 -0.8981755   0.10921714],1887,0.9588108269498284,[-0.15997876  0.58148718 -0.32298834  0.46100222 -0.37232611  0.38923504 -0.41395141  0.34413378 -0.44561957  0.29328746 -0.48599428  0.20307891  0.39527158  1.57718796 -0.8981755   0.10921714  0.          0.        ],2318,0.9662807170663636,[-0.15000099  0.59240813 -0.30581689  0.46985097 -0.35213426  0.41159179 -0.3871918   0.36806805 -0.41154829  0.32026429 -0.45356294  0.27494765 -0.54515323  1.20805823  0.65243758  0.0135694  -0.61072328  0.55700727 -0.49195502  0.09563849],3864,0.9765422136556344,[-0.14601296  0.59962267 -0.29615655  0.48848763 -0.33673541  0.43007666 -0.36348302  0.4015456  -0.39186504  0.37103151 -0.40967047  0.33179854 -0.43572409  0.30688705 -0.43441903  0.2650438  -0.49657981  0.17157474  0.85766563  1.51480009 -1.41816698  0.10434295],3910,0.9765422136556344,[-0.14601296  0.59962267 -0.29615655  0.48848763 -0.33673541  0.43007666 -0.36348302  0.4015456  -0.39186504  0.37103151 -0.40967047  0.33179854 -0.43572409  0.30688705 -0.43441903  0.2650438  -0.49657981  0.17157474  0.85766563  1.51480009 -1.41816698  0.10434295  0.          0.        ],5525,0.9765422136556344,[-0.14601296  0.59962267 -0.29615655  0.48848763 -0.33673541  0.43007666 -0.36348302  0.4015456  -0.39186504  0.37103151 -0.40967047  0.33179854 -0.43572409  0.30688705 -0.43441903  0.2650438  -0.49657981  0.17157474  0.85766563  1.51480009 -1.41816698  0.10434295  0.          0.          0.          0.        ],11055
graphs/new/nodes_12/depth_5//5.gml,0.7703381551820873,[-0.37331809  0.38294528],36,0.8575750420626013,[-0.27905425  0.43198814 -0.50536121  0.25355928],85,0.8575750420626013,[-0.27905425  0.43198814 -0.50536121  0.25355928  0.          0.        ],364,0.9127590313939092,[ 2.81272363  0.34155819 -2.40014706  1.27250418 -1.57501913  1.75000951 -0.9293543   2.96707028],297,0.9127590313939092,[ 2.81272363  0.34155819 -2.40014706  1.27250418 -1.57501913  1.75000951 -0.9293543   2.96707028  0.          0.        ],473,0.9699846174510588,[-0.19147563  0.53951739 -0.36064016  0.37005574 -0.4537258   0.31537756 -0.54319888  1.06658817  0.0546151   0.7216058  -0.52069442  0.13153961],1352,0.9701368643849674,[-0.1912651   0.53980415 -0.36046836  0.37055707 -0.45418827  0.31550114 -0.56163425  1.30053421  0.05296464 -0.522332    0.02781242  1.00988187 -0.5264738   0.13121163],1725,0.983965084703086,[-0.15561143  0.58249372 -0.31915322  0.42968035 -0.37150483  0.34044141 -0.40953511  0.26403553 -0.42535796  0.22458305 -0.38539333  0.24794447 -0.51100015  0.10129209  0.62460568  1.45286076],1921,0.9889813573323812,[-0.16074639  0.57302392 -0.31812193  0.42680803 -0.36873307  0.34958937 -0.40032082  0.30640212 -0.43054269  0.24728456 -0.51582366 -2.33958725  0.03690733  2.55463741 -1.18035861  0.08408883  0.61509422  1.6875318 ],2755,0.9889813573323812,[-0.16074639  0.57302392 -0.31812193  0.42680803 -0.36873307  0.34958937 -0.40032082  0.30640212 -0.43054269  0.24728456 -0.51582366 -2.33958725  0.03690733  2.55463741 -1.18035861  0.08408883  0.61509422  1.6875318   0.          0.        ],2751,0.9893468595129192,[-0.15652608  0.57489357 -0.31083532  0.44300049 -0.35154122  0.36430453 -0.40282594  0.33005597 -0.42489107  0.24819562 -0.49418665  0.23050092 -0.91491532  0.38237145  0.15855782  0.42094504 -0.07335988  0.60914821  0.49149115  0.03928526 -0.31582644  0.34684797],4508,0.9960876655069176,[-0.13021026  0.58412443 -0.27679275  0.44553211 -0.31908489  0.37336683 -0.35372497  0.32908452 -0.37064296  0.28938375 -0.38235597  0.24980312 -0.39205223  0.21658499 -0.43479849  1.14386742  0.0086454   0.62501052 -0.4847442   0.11834362  0.8861338  -0.05523813 -1.47866585  0.09680336],6300,0.9960876655069176,[-0.13021026  0.58412443 -0.27679275  0.44553211 -0.31908489  0.37336683 -0.35372497  0.32908452 -0.37064296  0.28938375 -0.38235597  0.24980312 -0.39205223  0.21658499 -0.43479849  1.14386742  0.0086454   0.62501052 -0.4847442   0.11834362  0.8861338  -0.05523813 -1.47866585  0.09680336  0.          0.        ],11070
graphs/new/nodes_12/depth_5//6.gml,0.7671567995503449,[-0.35424514  0.37684399],33,0.8497515594046554,[-0.2925354   0.48437779 -0.53144891  0.26270518],130,0.8906681317281165,[-0.25125909  0.58024808 -0.49574615  0.3935441  -0.57579839  0.20640477],280,0.9024703657527204,[-0.3517997   1.14280964  0.17940431 -0.50353525 -0.6408023   0.37551676 -0.58227904  0.19246175],729,0.9303163128937232,[ 0.50778064  1.4755965  -0.76918673  0.54061123 -0.46175805  0.4769442  -0.55646627  0.33234588 -0.58125228  0.1882627 ],935,0.9319219038468056,[-0.22804984  0.62180195 -0.44993221  0.52566896 -0.46857243  0.38587141 -0.62127279  0.18171373  0.95034215  0.63598445 -0.04535162  0.81037133],871,0.9449822784058508,[-0.20812163  0.60808981 -0.4116834   0.53639684 -0.46648303  0.46557224 -0.57597425  0.39228904 -0.26528244  0.84434081  0.22803223  0.26861117 -0.20956441  0.5726775 ],1560,0.974541793442711,[-0.19866331  0.60954319 -0.39818075  0.52090701 -0.44515062  0.47762611 -0.47735369  0.44475141 -0.48605104  0.3833658  -0.60093433  0.23621684  0.95300324  1.50560007 -1.61606809  0.09182152],2499,0.9789503187684732,[-0.18930657  0.61498934 -0.38748596  0.52036172 -0.44092095  0.47060214 -0.46927329  0.45195967 -0.49053969  0.4104676  -2.14119105  0.0835735   1.61405317  0.26266983 -0.90435593  0.14371957  0.51317988  1.69885902],2584,0.9835855973442288,[-0.17842372  0.61673524 -0.37270731  0.52178299 -0.42853807  0.4737751  -0.45553414  0.4549363  -0.47373477  0.42921369 -0.49990704  0.33833554 -0.61414671  0.21286535 -0.69095186  0.08762529 -1.38967359  0.71518737 -0.00783578 -0.77025856],1932,0.9881446217256298,[-0.17294112  0.62342512 -0.35967766  0.53074132 -0.41606149  0.47534119 -0.47464792  1.12946708  0.02599301 -0.65414539 -0.47936079  0.43229758 -0.49497377  0.39261439 -0.50495149  0.29892234 -0.68087844  0.12057625 -1.43624827 -0.06684718 -0.7283003  -0.11639132],4623,0.9893434102404772,[-0.16533641  0.62704295 -0.35083434  0.53037133 -0.40926401  0.47372399 -0.46893703  1.01635179  0.03204576 -0.53577337 -0.4853059   0.4297729  -0.47933589  0.399239   -0.51662551  0.31082086 -0.62336101  0.19486054 -0.69147936  0.08130861 -1.41225438  0.87525402 -0.00630932 -0.92112725],4125,0.9948182677593888,[-0.15033477  2.19743295 -0.32571338 -1.04246916 -0.3818335   0.4752924  -0.43157881  0.92111735  0.02724982 -0.43818326 -0.4700414   0.43895573 -0.46226823  0.41972047 -0.48299303  0.38967742 -0.51004299  0.33757541 -0.54636399  0.21440297 -1.57297413  0.06303044  0.69008043  0.11916356  0.49622998  0.10063978],6750
graphs/new/nodes_12/depth_5//7.gml,0.7991733274773051,[-0.32695194  0.36265765],33,0.8783877771908132,[-0.27934679  0.45090594 -0.52498864  0.24834388],150,0.922180949649237,[-0.23952334  0.51187021 -0.47583151  0.33543504 -0.53380637  0.19556633],280,0.9495871390765288,[-0.21572253  0.53842487 -0.42334139  0.37874655 -0.49170377  0.26964382 -0.53900734  0.1565127 ],396,0.9656183478383832,[-0.18904486  0.57539329 -0.38918578  0.42884996 -0.45008541  0.32212335 -0.50861806  0.23256965 -0.54887205  0.12810085],913,0.9689461935592272,[-0.18141218  0.5689182  -0.44647519  1.0787041   0.0829156  -0.60411035 -0.52340836  0.29198479 -0.50519747  0.21817123 -0.55354324  0.12129542],1079,0.9689461935592272,[-0.18141218  0.5689182  -0.44647519  1.0787041   0.0829156  -0.60411035 -0.52340836  0.29198479 -0.50519747  0.21817123 -0.55354324  0.12129542  0.          0.        ],1050,0.9770604717636504,[-0.17839919  0.58602877 -0.35447698  0.46287654 -0.41555388  0.37907563 -0.47109627  0.29389142 -0.51658564  0.21184355 -0.60241812  1.02348347  0.16210299 -0.01207152 -0.1392791   0.67260169],1513,0.9937452865700348,[-0.14598947  0.59621104 -0.31035907  0.47255993 -0.36371406  0.41803807 -0.40067789  0.38065027 -0.41320166  0.32175822 -0.44682309  0.26702807 -0.49130175  1.77382552 -0.52873469  0.13923032 -0.54996881  0.07138124],3135,0.9938141618504774,[-0.14573475  0.59766705 -0.30948116  0.47415831 -0.36347894  0.41911384 -0.39975154  0.38031083 -0.40989061  0.32410813 -0.44663074  0.27049806 -0.48982851  0.20612261 -0.54436935  1.05352493  0.0077511   0.65983985 -0.55435347  0.07213115],3171,0.9965945160301128,[-0.20800183  1.16678528  0.10135327 -0.4486579  -0.39194584  0.44601809 -0.34798346  0.39329319 -0.38128757  0.36840984 -0.40690807  0.34028069 -0.41871577  0.28358251 -0.44720381  0.23377259 -0.49070045  0.17580441 -0.53278629  0.12156609 -0.54909737  0.06154979],2668,0.998133572736597,[-0.12353531  0.60771087 -0.27324064  0.48223704 -0.32517355  0.42066819 -0.35957582  0.38564449 -0.38152591  0.35822398 -0.40236695  0.32738929 -0.41645795  0.2860167  -0.42849634  0.23401503 -0.46793695  0.1908404  -0.51102621  0.13967016 -1.10244535  0.03506236  0.56041953  0.08643918],2650,0.9990729511234767,[-0.1104      0.61147039 -0.24804475  0.4848848  -0.30202766  0.4258258  -0.34214702  0.39400566 -0.36558013  0.36504035 -0.37988765  0.33673593 -0.39762281  0.31380189 -0.41943607  0.28617011 -0.4345443   0.23725039 -0.46912399  0.1932422  -0.50851244  0.14316479 -0.53929417  0.09433469 -0.55253868  0.04350519],3915
graphs/new/nodes_12/depth_5//8.gml,0.7528531593892652,[-0.34179779  0.37502007],36,0.8311856035130796,[-0.26011006  0.48078036 -0.45779399  0.27076345],120,0.8567651099392825,[-0.2302182   0.5069878  -0.50287056  1.12659865  0.11480742  0.75826695],266,0.8885783231107475,[-0.21545657  0.55873176 -0.37511189  0.38714002 -0.46632086  1.07691809  0.0749678   0.74019199],342,0.9134019470827144,[-0.21048208  0.5575532  -0.36151253  0.42117753 -1.05310446 -0.0468593   0.66356472  0.29870666 -0.45533231  1.76645054],704,0.9159832932372164,[-0.19706459  0.56667613 -0.35096347  0.41123811 -0.48643731  0.627815   -0.12719936  0.54869464  0.21429275  0.36808927 -0.18942485  0.45485101],1040,0.9550229486175936,[-0.17943297  0.59167456 -0.33098991  0.46533505 -0.35162122  0.37843804 -0.37323565  0.31153723 -0.43663261  0.97420787  0.04057986  0.83428085 -0.48897252  0.12702226],1155,0.965387935649522,[-0.17317941  0.59050923 -0.32257894  0.46365988 -0.33883101  0.38537485  0.99089551  0.03063273 -1.35962212  0.33087554 -0.38687903  0.26063983 -0.41576427  0.18859652 -0.43683509  0.11021878],2346,0.965387935649522,[-0.17317941  0.59050923 -0.32257894  0.46365988 -0.33883101  0.38537485  0.99089551  0.03063273 -1.35962212  0.33087554 -0.38687903  0.26063983 -0.41576427  0.18859652 -0.43683509  0.11021878  0.          0.        ],2679,0.9729481166458211,[-0.16077093  0.58942217 -0.30391559  0.46936321 -0.32292057  0.4022239  -0.35339964  0.35907066 -0.37633173  0.31075886 -0.41374443  0.24605726 -1.36507852  0.044959    0.58032769  0.20282494  0.15001017  1.32786662  0.17114981  0.28197998],2793,0.9769835080325504,[-0.15544353  0.59873958 -0.2932921   0.47639105 -0.31482855  0.41755815 -0.34600646  0.37649184 -0.36317527  0.32424184 -0.38912762  0.27836045 -0.49236533  0.2556514  -0.76520491  0.0691497   0.63739717  1.30417977  0.23250278  0.08189008 -0.36472375  0.24532261],3795,0.978279604618108,[-0.16127598  0.59945234 -0.29813669  0.47875    -0.31249031  0.41033222 -0.3395917   0.36684327 -0.42889462  1.16378176  0.05522083 -0.8266863  -0.39833244  0.24966809 -0.77447529  0.17928621  0.21784545  1.31482497 -0.45097169 -0.03789585  0.57785545  0.36087776 -0.68502993  0.0821083 ],4175,0.978279604618108,[-0.16127598  0.59945234 -0.29813669  0.47875    -0.31249031  0.41033222 -0.3395917   0.36684327 -0.42889462  1.16378176  0.05522083 -0.8266863  -0.39833244  0.24966809 -0.77447529  0.17928621  0.21784545  1.31482497 -0.45097169 -0.03789585  0.57785545  0.36087776 -0.68502993  0.0821083   0.          0.        ],16755
graphs/new/nodes_12/depth_5//9.gml,0.8026496407970154,[-0.38021987  0.39269906],36,0.8756832398946376,[-0.29341026  0.51547383 -0.54784916  1.83115823],220,0.8787274460712418,[-2.84175288  1.05399107 -1.29595981  1.63755422 -1.29028134  2.87778343],175,0.904267935572054,[-0.2449824   0.48929243 -0.66506471  1.28532638  0.6281906   0.08850628 -0.47023239  0.53133407],810,0.9176912976061232,[ 0.44948954  1.4362944  -0.86943437  0.40758278 -0.22054282  0.94650291  0.390773    0.21513399 -0.34506553  0.5455883 ],1056,0.9744136610389572,[-0.21428777  0.60093581 -0.42457735  0.46321185 -0.50549733  0.3928201  -0.64449819  1.20697856  0.07191817  0.67445893 -0.5979698   0.14719568],1755,0.9844251807059468,[-0.197       0.61674885 -0.39772426  0.4944237  -0.46404891  0.39854186 -0.50860089  0.36146494 -0.66192791  1.25121619  0.07297042  0.58985058 -0.58006649  0.12315381],1980,0.9844251807059468,[-0.197       0.61674885 -0.39772426  0.4944237  -0.46404891  0.39854186 -0.50860089  0.36146494 -0.66192791  1.25121619  0.07297042  0.58985058 -0.58006649  0.12315381  0.          0.        ],1666,0.9844251807059468,[-0.197       0.61674885 -0.39772426  0.4944237  -0.46404891  0.39854186 -0.50860089  0.36146494 -0.66192791  1.25121619  0.07297042  0.58985058 -0.58006649  0.12315381  0.          0.          0.          0.        ],2356,0.995903390419873,[-0.15328233  0.62883518 -0.33003276  0.51222867 -0.39007057  0.43876442 -0.42821479  0.40526699 -0.45819731  0.36324095 -0.47524913  0.30771556 -0.51380195 -0.98644318  0.0460054   1.24681059 -0.69365459  1.7429469  -0.66926038  0.07347008],3108,0.995903390419873,[-0.15328233  0.62883518 -0.33003276  0.51222867 -0.39007057  0.43876442 -0.42821479  0.40526699 -0.45819731  0.36324095 -0.47524913  0.30771556 -0.51380195 -0.98644318  0.0460054   1.24681059 -0.69365459  1.7429469  -0.66926038  0.07347008  0.          0.        ],4830,0.995903390419873,[-0.15328233  0.62883518 -0.33003276  0.51222867 -0.39007057  0.43876442 -0.42821479  0.40526699 -0.45819731  0.36324095 -0.47524913  0.30771556 -0.51380195 -0.98644318  0.0460054   1.24681059 -0.69365459  1.7429469  -0.66926038  0.07347008  0.          0.          0.          0.        ],13537,0.9984041085598431,[-0.13753026  0.63004098 -0.29971021  0.51630723 -0.35782762  0.4535952  -0.3965331   0.42115648 -0.42175405  0.38522639 -0.44280171  0.34633621 -0.47029523  0.31284207 -0.49881586  0.26914518 -2.10743143  0.03480998  1.57871933  1.76902294 -0.87506686 -1.22203648  0.06459598 -0.31615391  0.29880222  1.72164267],9396
