path,p_1,p_1_angles,p_2,p_2_angles,p_3,p_3_angles,p_4,p_4_angles,p_5,p_5_angles,p_6,p_6_angles,p_7,p_7_angles,p_8,p_8_angles,p_9,p_9_angles,p_10,p_10_angles
graphs/new/nodes_12/depth_6//0.gml,0.6042352530803464,[1.23794948 0.39269912],0.80413983353895,[-2.60672546 -1.23920894 -0.24358974 -0.71746775],0.8526260014175895,[-0.46806156  2.85439838  0.21359999  2.39511025 -0.58048143 -2.90458562],0.8526260014175895,[-0.46806156  2.85439838  0.21359999  2.39511025 -0.58048143 -2.90458562  0.          0.        ],0.894548311339966,[ 0.42526042 -4.3428547  -0.1110354  -0.60378359 -0.69501337  2.57843729 -3.02589553  0.91410421 -0.55314863 -1.39360147],0.8996635307842847,[ 2.89989193  2.06234426  1.03789404 -3.01568337  2.25142265  1.21612615  0.52493185 -0.36137035 -2.62379647 -1.75015251 -1.29434369  1.6234779 ],0.8996635307842847,[ 2.89989193  2.06234426  1.03789404 -3.01568337  2.25142265  1.21612615  0.52493185 -0.36137035 -2.62379647 -1.75015251 -1.29434369  1.6234779   0.          0.        ],0.9360075493027508,[ 0.19290836 -0.60362622  1.37405909 -3.12052693 -0.96748586 -2.62833338 -0.05174127 -1.04885401 -2.68098471 -0.39619613 -2.60440575  3.49508633  3.07850551  2.49534572  0.48784838 -0.14376778],0.9360075493027508,[ 0.19290836 -0.60362622  1.37405909 -3.12052693 -0.96748586 -2.62833338 -0.05174127 -1.04885401 -2.68098471 -0.39619613 -2.60440575  3.49508633  3.07850551  2.49534572  0.48784838 -0.14376778  0.          0.        ],0.9439019775723057,[ 2.95184494 -0.96488384 -0.43815891 -2.17323355 -3.00831501 -0.3948773  -0.61603342 -0.80646342  2.56204843 -1.49931135 -2.45980061 -0.45572138 -1.59045107  1.45964112  0.15464549 -1.45380641  2.08625936  1.45756286 -1.31970381  1.70959147]
graphs/new/nodes_12/depth_6//1.gml,0.7074563843625559,[-1.92616974 -1.97144041],0.8183758355275382,[-0.47774584  1.23446902  3.34395185  0.71755404],0.8731133930777372,[ 2.85118205  0.46485022  1.88867769 -4.59555166  0.64839104 -1.3272769 ],0.8731133930777372,[ 2.85118205  0.46485022  1.88867769 -4.59555166  0.64839104 -1.3272769   0.          0.        ],0.9308131700503752,[-2.89485134 -0.56006429 -1.1528422   0.35013019 -1.35820533  1.20962967  1.36050395 -3.40502839  2.35555249 -3.34950245],0.9308131700503752,[-2.89485134 -0.56006429 -1.1528422   0.35013019 -1.35820533  1.20962967  1.36050395 -3.40502839  2.35555249 -3.34950245  0.          0.        ],0.9308131700503752,[-2.89485134 -0.56006429 -1.1528422   0.35013019 -1.35820533  1.20962967  1.36050395 -3.40502839  2.35555249 -3.34950245  0.          0.          0.          0.        ],0.9583276038351912,[-1.99344179 -1.652374    2.40570533 -1.11310895  1.70053916  0.16448169 -0.33213928 -2.30122396 -1.20483922 -0.34071834  2.01483903  1.88283105 -2.55655213 -1.34809364 -2.54204772 -1.43632223],0.9583276038351912,[-1.99344179 -1.652374    2.40570533 -1.11310895  1.70053916  0.16448169 -0.33213928 -2.30122396 -1.20483922 -0.34071834  2.01483903  1.88283105 -2.55655213 -1.34809364 -2.54204772 -1.43632223  0.          0.        ],0.9583276038351912,[-1.99344179 -1.652374    2.40570533 -1.11310895  1.70053916  0.16448169 -0.33213928 -2.30122396 -1.20483922 -0.34071834  2.01483903  1.88283105 -2.55655213 -1.34809364 -2.54204772 -1.43632223  0.          0.          0.          0.        ]
graphs/new/nodes_12/depth_6//2.gml,0.6261665404429488,[ 1.88633129 -1.96349545],0.7935273410747826,[ 0.33866492 -0.23301939  2.41068217  3.39390755],0.7935273410747826,[ 0.33866492 -0.23301939  2.41068217  3.39390755  0.          0.        ],0.8811458914367102,[-2.76832912  1.43730714  2.4787811   2.00071484 -0.45953153 -1.25926654  2.61365478 -1.39412096],0.8877662489883948,[ 1.97131302 -0.25054256  2.53136734 -2.40599427  0.16195375  2.69116712 -0.62793806 -0.39987054 -1.60057442  0.50403654],0.9206600245219068,[-0.24590079 -2.59092769 -0.49855431  1.0559208   0.13371155 -0.6030729   2.59834963 -1.14222343  2.5828214  -1.39285866 -2.50470145  2.94968289],0.9206600245219068,[-0.24590079 -2.59092769 -0.49855431  1.0559208   0.13371155 -0.6030729   2.59834963 -1.14222343  2.5828214  -1.39285866 -2.50470145  2.94968289  0.          0.        ],0.92949730082769,[ 2.87383995  1.19674619  2.01126672 -1.43605648  1.26055509 -0.92261737  0.4735594  -0.49877532 -1.74697162  3.39018755  2.22793665  1.3107622  -2.56915118 -0.31429911  1.58396846  0.16587358],0.9332692643643044,[-1.32764942 -0.25750494 -1.98314342  2.37249589  0.24813159 -0.34479728 -2.26695657 -2.92873228 -0.81518635 -1.03290849 -0.13615558 -2.34387056  2.25848407  1.7023097   1.49882481 -1.92872842 -2.65623429  2.97665705],0.9453278271187968,[-1.33819183  0.85132845 -1.08539621  3.29903848  1.30581904 -0.57229795  2.67032845 -2.24784098 -3.61420064  1.65258332  0.63847958 -0.51579806 -2.26155425  0.42784384  2.99340169  2.34440551  1.46801371  2.56185451 -1.3787038   0.96376157]
graphs/new/nodes_12/depth_6//3.gml,0.6471998796743986,[-1.98080666 -2.7488933 ],0.8785299406425366,[ 2.85251443  0.53806951  2.58610307 -1.30083044],0.8941018443366342,[-0.23213625  2.12569981 -0.61385549  1.15338502 -3.02051647  0.71037769],0.9172228526485394,[-2.91008869  2.56754099 -2.58940518  2.00898005  3.0562614   0.71233274  0.66032174 -1.74278426],0.9172228526485394,[-2.91008869  2.56754099 -2.58940518  2.00898005  3.0562614   0.71233274  0.66032174 -1.74278426  0.          0.        ],0.9195047140711924,[-1.72866314 -1.69378569 -1.83829868  0.78513798 -3.0539088  -0.66981758  0.89942339 -1.14372642 -0.12710805 -0.65275215  2.34070639 -2.95616779],0.9449264546269074,[ 2.85843567  1.87662439  2.10829731 -0.14016956 -1.25352168 -0.14196922  2.15691845 -2.3933833  -2.93847172 -2.04627988  2.1431485  -1.80742116 -2.94796226  2.02578254],0.9449264546269074,[ 2.85843567  1.87662439  2.10829731 -0.14016956 -1.25352168 -0.14196922  2.15691845 -2.3933833  -2.93847172 -2.04627988  2.1431485  -1.80742116 -2.94796226  2.02578254  0.          0.        ],0.9515146249455636,[ 0.45317805  0.21725307 -0.2892597  -0.78469602 -1.67144503 -2.07881128 -0.06509838  2.14148558 -1.99585237  1.69504463 -1.97536213  0.23212114 -3.39749563 -0.64069966 -0.32841174  1.83267007  0.91200785 -3.34671212],0.9829539900298396,[ 2.64855743  3.20947459 -2.40520195 -0.53701734  3.5943741   2.66402136 -2.62432009  1.11102855 -2.44664343 -1.18258119 -0.13719614  0.77111009 -1.73267699 -0.09495277 -2.71775552 -1.516942    2.12762083  1.85235937 -0.13866208  1.08875903]
graphs/new/nodes_12/depth_6//4.gml,0.7490103357642736,[ 2.73938658 -1.17809726],0.8258682876298648,[-0.31599038  2.10007463 -0.58726751 -2.86525972],0.8603143341275579,[ 0.48689671 -1.7418247   2.27863346 -1.14928784 -0.6323704  -1.318959  ],0.8603143341275579,[ 0.48689671 -1.7418247   2.27863346 -1.14928784 -0.6323704  -1.318959    0.          0.        ],0.925044450440683,[-2.7677338   0.33004548 -0.1595028  -1.00141455  0.60493706 -0.45739909 -2.56558222  1.20600228  0.59875494 -0.19439434],0.925044450440683,[-2.7677338   0.33004548 -0.1595028  -1.00141455  0.60493706 -0.45739909 -2.56558222  1.20600228  0.59875494 -0.19439434  0.          0.        ],0.9358214419792152,[ 2.75891984  2.76412334  0.21134452 -2.08109853 -0.79744076  1.16772351  0.22210807 -2.44058987  2.61174172 -0.74825623 -3.00193159  2.4414152   1.26564815  1.46342197],0.9358214419792152,[ 2.75891984  2.76412334  0.21134452 -2.08109853 -0.79744076  1.16772351  0.22210807 -2.44058987  2.61174172 -0.74825623 -3.00193159  2.4414152   1.26564815  1.46342197  0.          0.        ],0.9358214419792152,[ 2.75891984  2.76412334  0.21134452 -2.08109853 -0.79744076  1.16772351  0.22210807 -2.44058987  2.61174172 -0.74825623 -3.00193159  2.4414152   1.26564815  1.46342197  0.          0.          0.          0.        ],0.9528098804780654,[-1.6412806   0.60705485 -0.15041169  2.95327457 -1.00445875  0.43582896  2.92349356  0.43014332 -2.47762345  1.05756965 -2.61591272  1.15760316 -1.90442809  1.2382595  -0.28129705  1.93422604 -0.33156337 -0.4064441  -1.06566452  3.23546667]
graphs/new/nodes_12/depth_6//5.gml,0.8016474794607735,[2.82100326 0.35464545],0.8488222005460007,[-0.31531952 -2.89626583 -2.41686828  1.36306238],0.8488222005460007,[-0.31531952 -2.89626583 -2.41686828  1.36306238  0.          0.        ],0.891878509558562,[-1.43592076  2.55928531 -1.9194138   1.93004104 -0.60494375  1.78895054  1.51487857 -1.72190892],0.9299830305484786,[ 0.21228538 -0.4734945   0.44329927 -2.02686987  0.42175951 -3.32547305  1.4365288  -3.0486162   1.21457067  1.7558996 ],0.9299830305484786,[ 0.21228538 -0.4734945   0.44329927 -2.02686987  0.42175951 -3.32547305  1.4365288  -3.0486162   1.21457067  1.7558996   0.          0.        ],0.9485752860351772,[ 2.91094408 -2.97751725  3.66053756  3.76780248 -0.09312036  2.06598998  0.51147574  2.87757584 -2.24865104  3.05758299 -1.43197801 -1.52006888 -2.16797749  1.42496928],0.9485752860351772,[ 2.91094408 -2.97751725  3.66053756  3.76780248 -0.09312036  2.06598998  0.51147574  2.87757584 -2.24865104  3.05758299 -1.43197801 -1.52006888 -2.16797749  1.42496928  0.          0.        ],0.9485752860351772,[ 2.91094408 -2.97751725  3.66053756  3.76780248 -0.09312036  2.06598998  0.51147574  2.87757584 -2.24865104  3.05758299 -1.43197801 -1.52006888 -2.16797749  1.42496928  0.          0.          0.          0.        ],0.9485752860351772,[ 2.91094408 -2.97751725  3.66053756  3.76780248 -0.09312036  2.06598998  0.51147574  2.87757584 -2.24865104  3.05758299 -1.43197801 -1.52006888 -2.16797749  1.42496928  0.          0.          0.          0.          0.          0.        ]
graphs/new/nodes_12/depth_6//6.gml,0.7763258497629788,[2.76953854 0.37844974],0.8653716715383378,[-2.84382487 -0.45006815  0.53823491 -1.82540233],0.8665656810616494,[ 0.5800138   1.45329326 -0.92310405  0.26405778 -2.42703736 -3.33914621],0.9130423860414753,[-0.25423867 -2.54397271 -0.58652147 -2.03632235  0.10910617  2.2966125  -2.38033232  2.97870545],0.9130423860414753,[-0.25423867 -2.54397271 -0.58652147 -2.03632235  0.10910617  2.2966125  -2.38033232  2.97870545  0.          0.        ],0.9431118280628684,[-0.22063184  0.67336247  2.65750401  1.71291966 -2.52621215 -1.9269218   0.61352668  2.1487876  -0.06240076  2.32726199  0.57839964  1.44407161],0.9431118280628684,[-0.22063184  0.67336247  2.65750401  1.71291966 -2.52621215 -1.9269218   0.61352668  2.1487876  -0.06240076  2.32726199  0.57839964  1.44407161  0.          0.        ],0.9431118280628684,[-0.22063184  0.67336247  2.65750401  1.71291966 -2.52621215 -1.9269218   0.61352668  2.1487876  -0.06240076  2.32726199  0.57839964  1.44407161  0.          0.          0.          0.        ],0.959994383293466,[ 2.70934567  0.10735829  0.73898263  0.50914425 -2.21415047 -1.60037039  0.5702981  -1.53632525 -1.59854807  0.56195967  0.49613225 -0.29178265 -2.63571831  0.64151529 -0.04908161 -2.4462918  -2.52493897  1.43210895],0.959994383293466,[ 2.70934567  0.10735829  0.73898263  0.50914425 -2.21415047 -1.60037039  0.5702981  -1.53632525 -1.59854807  0.56195967  0.49613225 -0.29178265 -2.63571831  0.64151529 -0.04908161 -2.4462918  -2.52493897  1.43210895  0.          0.        ]
graphs/new/nodes_12/depth_6//7.gml,0.7409011239697644,[2.74159355 0.39269908],0.7992128684478937,[-3.50112228 -1.30838496  0.76208238 -3.38491002],0.7992128684478937,[-3.50112228 -1.30838496  0.76208238 -3.38491002  0.          0.        ],0.8007079291845407,[ 1.32501052 -2.96749144 -0.83463261  3.47591924  1.50431947 -3.02084666  1.4578978   0.83389951],0.892997821981636,[-0.36748326 -1.97079947  0.15711173  1.03123357  2.53744222  1.88464892  2.58821832  3.32830232  1.32612411 -0.07229714],0.8993388552695379,[-2.82482905 -1.01743502 -0.23125541  0.32890191 -2.47548596  2.93707606 -0.56078937  0.48386402 -0.73825162  0.15718811  0.79593386 -3.36475712],0.8993388552695379,[-2.82482905 -1.01743502 -0.23125541  0.32890191 -2.47548596  2.93707606 -0.56078937  0.48386402 -0.73825162  0.15718811  0.79593386 -3.36475712  0.          0.        ],0.9195440229469032,[-2.79663454  3.00311765  2.54701182 -1.12809255  1.44096388 -1.52635822  1.23321176 -1.05484164  2.01389683  1.60373107 -1.26805581  3.07050176 -1.28391822 -1.38355023 -2.50179928 -3.3492983 ],0.9195440229469032,[-2.79663454  3.00311765  2.54701182 -1.12809255  1.44096388 -1.52635822  1.23321176 -1.05484164  2.01389683  1.60373107 -1.26805581  3.07050176 -1.28391822 -1.38355023 -2.50179928 -3.3492983   0.          0.        ],0.941155612138442,[ 1.59053234  0.25770697  1.34060355  0.65375445 -0.45706379 -2.5985114   0.79293545  1.62287918 -1.43319151  1.09369339 -3.06624107 -0.94229632  0.71800605  1.28098243 -2.54309721 -1.96525171 -2.57335497 -1.69947866  2.50899933  1.73338167]
graphs/new/nodes_12/depth_6//8.gml,0.7436200928523923,[-0.39771371  0.39269909],0.8101583804067861,[-0.40679035 -1.2962669   0.84567845  2.89649045],0.8573606156364171,[-2.70730292 -1.18110029  2.95116152  0.66082759  3.83898787 -4.9444347 ],0.8573606156364171,[-2.70730292 -1.18110029  2.95116152  0.66082759  3.83898787 -4.9444347   0.          0.        ],0.8573606156364171,[-2.70730292 -1.18110029  2.95116152  0.66082759  3.83898787 -4.9444347   0.          0.          0.          0.        ],0.8583950283082383,[ 1.97124654 -3.0301507  -2.42046607  1.19444159 -1.35758298  1.75409019 -1.58016269  2.25924325  1.4757039   1.33668739  2.42537299 -0.20671948],0.9236766945058434,[ 0.52372049 -1.6807239   2.32951479  2.17973218  2.64716303 -0.35598219  0.14334835  2.11815959  0.58822878 -1.90066702 -0.91350078  0.11674234  1.62876122  1.44017135],0.9524714147053188,[-0.22274268 -2.51028038  2.70892524 -1.04749679 -0.56039503  1.03280286  0.10069105  2.58383826  2.56739922 -1.20353179 -0.67035653  3.30224035 -1.41025214  1.52001631  2.3462277   2.99467909],0.9524714147053188,[-0.22274268 -2.51028038  2.70892524 -1.04749679 -0.56039503  1.03280286  0.10069105  2.58383826  2.56739922 -1.20353179 -0.67035653  3.30224035 -1.41025214  1.52001631  2.3462277   2.99467909  0.          0.        ],0.9610721220637598,[-3.36612523  1.62130753  2.82640443 -1.52662658  0.76172503 -2.1143728   0.43509009 -2.08858503  3.75963244 -1.10935618 -0.12222427  2.22065516 -2.47486212 -0.67579069 -2.88924652 -1.66446692 -0.3324454   0.43672337 -2.38459306 -1.71028403]
graphs/new/nodes_12/depth_6//9.gml,0.7383018494145113,[0.3926991  2.74889355],0.7383018494145113,[0.3926991  2.74889355 0.         0.        ],0.852774250078322,[-0.33602055  0.98591342  0.13725145  0.95657514 -2.39822626  1.35160997],0.852774250078322,[-0.33602055  0.98591342  0.13725145  0.95657514 -2.39822626  1.35160997  0.          0.        ],0.8953470231883872,[ 0.28923008  2.56722359  2.3511318   1.46305629 -1.79565267  2.75368452 -2.41410512  2.98054046  1.18617845  0.12469572],0.9034177111179494,[-1.49508285  1.81775013 -1.21622731 -4.33474998 -0.18634901 -2.54677325 -2.44156112  1.33890641 -1.50750191  1.6568416   0.61380629  1.77005669],0.9149886666204988,[ 0.59556718 -0.12866947  0.96944542 -0.08905392 -1.88944654  2.21499446 -0.5197925  -1.42466751 -2.4652653   2.80666466  0.70425445  1.86518089 -3.14655563  1.07986665],0.9262483228765264,[-1.33590332 -1.69858541  1.24412663 -2.94061575  1.59135961  2.84849431 -1.31209387 -0.44234776 -2.65030067 -1.06823128  3.03977214 -2.51975702  0.63673872  1.30275759 -2.57640261 -0.13748164],0.9462754306491148,[-2.80780957  1.97063521 -0.19320346 -2.68607582 -1.11028478  0.09250435 -1.45278544 -0.45526139 -2.60417673  1.88310338  3.07884108  3.78158762 -0.08302463 -2.90888435  3.86003287  1.29664059 -2.5946877   1.43756254],0.9462754306491148,[-2.80780957  1.97063521 -0.19320346 -2.68607582 -1.11028478  0.09250435 -1.45278544 -0.45526139 -2.60417673  1.88310338  3.07884108  3.78158762 -0.08302463 -2.90888435  3.86003287  1.29664059 -2.5946877   1.43756254  0.          0.        ]
