path,p_1,p_1_angles,p_1_nfev,p_2,p_2_angles,p_2_nfev,p_3,p_3_angles,p_3_nfev,p_4,p_4_angles,p_4_nfev,p_5,p_5_angles,p_5_nfev
graphs/new/nodes_9/depth_3//0.gml,0.9444444444436284,[ 0.78539844  0.78539803 -0.785419   -3.82906248  2.35619423  0.7853982  -0.78539809 -2.3561945  -2.3561944   2.35619471  0.78539796 -2.35618842  0.85943041 -2.35619429 -0.7853981  -0.78539801 -2.35619447 -2.35619432],817,0.9999999999988516,[-3.15676894 -2.26999789  1.14796355 -2.50375891  0.74104555  2.45915629  2.15228857 -2.07700863  0.86872733 -0.09283968 -2.27474468  2.26720559  0.72256864  2.50708911  2.38400538  1.38653467 -2.08384738  0.38709525  2.37110874  0.41044476 -2.45478577 -0.98091181 -2.99622485  0.91545589 -1.78765483  0.43917231 -1.68633315 -0.78259599 -1.68910943  0.37138961 -0.16002286  2.98450521 -3.03499248 -2.52471489  1.19119514 -0.4050339 ],1702.0,0.9999999999988516,[-3.15676894 -2.26999789  1.14796355 -2.50375891  0.74104555  2.45915629  2.15228857 -2.07700863  0.86872733 -0.09283968 -2.27474468  2.26720559  0.72256864  2.50708911  2.38400538  1.38653467 -2.08384738  0.38709525  2.37110874  0.41044476 -2.45478577 -0.98091181 -2.99622485  0.91545589 -1.78765483  0.43917231 -1.68633315 -0.78259599 -1.68910943  0.37138961 -0.16002286  2.98450521 -3.03499248 -2.52471489  1.19119514 -0.4050339   0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999988516,[-3.15676894 -2.26999789  1.14796355 -2.50375891  0.74104555  2.45915629  2.15228857 -2.07700863  0.86872733 -0.09283968 -2.27474468  2.26720559  0.72256864  2.50708911  2.38400538  1.38653467 -2.08384738  0.38709525  2.37110874  0.41044476 -2.45478577 -0.98091181 -2.99622485  0.91545589 -1.78765483  0.43917231 -1.68633315 -0.78259599 -1.68910943  0.37138961 -0.16002286  2.98450521 -3.03499248 -2.52471489  1.19119514 -0.4050339   0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999988516,[-3.15676894 -2.26999789  1.14796355 -2.50375891  0.74104555  2.45915629  2.15228857 -2.07700863  0.86872733 -0.09283968 -2.27474468  2.26720559  0.72256864  2.50708911  2.38400538  1.38653467 -2.08384738  0.38709525  2.37110874  0.41044476 -2.45478577 -0.98091181 -2.99622485  0.91545589 -1.78765483  0.43917231 -1.68633315 -0.78259599 -1.68910943  0.37138961 -0.16002286  2.98450521 -3.03499248 -2.52471489  1.19119514 -0.4050339   0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],
graphs/new/nodes_9/depth_3//1.gml,0.9999999999985132,[ 0.78539887  2.35619335 -1.53641342 -2.35619536 -2.35619579  2.35619425  2.35619313 -2.3561949  -2.35619298 -0.78539849 -2.35619446 -2.83282922 -0.7853984   0.78539767 -0.78539873 -0.78539975 -0.78539815 -2.35619453],703,0.9999999999985132,[ 0.78539887  2.35619335 -1.53641342 -2.35619536 -2.35619579  2.35619425  2.35619313 -2.3561949  -2.35619298 -0.78539849 -2.35619446 -2.83282922 -0.7853984   0.78539767 -0.78539873 -0.78539975 -0.78539815 -2.35619453  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999985132,[ 0.78539887  2.35619335 -1.53641342 -2.35619536 -2.35619579  2.35619425  2.35619313 -2.3561949  -2.35619298 -0.78539849 -2.35619446 -2.83282922 -0.7853984   0.78539767 -0.78539873 -0.78539975 -0.78539815 -2.35619453  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999985132,[ 0.78539887  2.35619335 -1.53641342 -2.35619536 -2.35619579  2.35619425  2.35619313 -2.3561949  -2.35619298 -0.78539849 -2.35619446 -2.83282922 -0.7853984   0.78539767 -0.78539873 -0.78539975 -0.78539815 -2.35619453  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999985132,[ 0.78539887  2.35619335 -1.53641342 -2.35619536 -2.35619579  2.35619425  2.35619313 -2.3561949  -2.35619298 -0.78539849 -2.35619446 -2.83282922 -0.7853984   0.78539767 -0.78539873 -0.78539975 -0.78539815 -2.35619453  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],
graphs/new/nodes_9/depth_3//2.gml,0.9999999999994597,[ 0.78539781 -0.78539828  0.78539808 -2.3561947   1.08300669  2.35619548 -2.35619407 -2.35619414 -2.35619439  0.78539888  0.78539968  0.78539786 -0.78539812 -0.68054409  2.35619427  2.35619402 -0.78539859  0.78539843],817,0.9999999999994597,[ 0.78539781 -0.78539828  0.78539808 -2.3561947   1.08300669  2.35619548 -2.35619407 -2.35619414 -2.35619439  0.78539888  0.78539968  0.78539786 -0.78539812 -0.68054409  2.35619427  2.35619402 -0.78539859  0.78539843  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999994597,[ 0.78539781 -0.78539828  0.78539808 -2.3561947   1.08300669  2.35619548 -2.35619407 -2.35619414 -2.35619439  0.78539888  0.78539968  0.78539786 -0.78539812 -0.68054409  2.35619427  2.35619402 -0.78539859  0.78539843  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999994597,[ 0.78539781 -0.78539828  0.78539808 -2.3561947   1.08300669  2.35619548 -2.35619407 -2.35619414 -2.35619439  0.78539888  0.78539968  0.78539786 -0.78539812 -0.68054409  2.35619427  2.35619402 -0.78539859  0.78539843  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999994597,[ 0.78539781 -0.78539828  0.78539808 -2.3561947   1.08300669  2.35619548 -2.35619407 -2.35619414 -2.35619439  0.78539888  0.78539968  0.78539786 -0.78539812 -0.68054409  2.35619427  2.35619402 -0.78539859  0.78539843  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],
graphs/new/nodes_9/depth_3//3.gml,0.999999999999942,[ 0.21769811 -0.78539786  2.3561942  -2.35619452 -0.78539805 -0.78539808 -0.78539825 -0.7853981  -0.78539796  1.80125307  0.78539833  0.78539836 -2.35619443  0.78539815 -2.35619445 -0.78539826 -0.78539844  2.35619443],874,0.999999999999942,[ 0.21769811 -0.78539786  2.3561942  -2.35619452 -0.78539805 -0.78539808 -0.78539825 -0.7853981  -0.78539796  1.80125307  0.78539833  0.78539836 -2.35619443  0.78539815 -2.35619445 -0.78539826 -0.78539844  2.35619443  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.999999999999942,[ 0.21769811 -0.78539786  2.3561942  -2.35619452 -0.78539805 -0.78539808 -0.78539825 -0.7853981  -0.78539796  1.80125307  0.78539833  0.78539836 -2.35619443  0.78539815 -2.35619445 -0.78539826 -0.78539844  2.35619443  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.999999999999942,[ 0.21769811 -0.78539786  2.3561942  -2.35619452 -0.78539805 -0.78539808 -0.78539825 -0.7853981  -0.78539796  1.80125307  0.78539833  0.78539836 -2.35619443  0.78539815 -2.35619445 -0.78539826 -0.78539844  2.35619443  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.999999999999942,[ 0.21769811 -0.78539786  2.3561942  -2.35619452 -0.78539805 -0.78539808 -0.78539825 -0.7853981  -0.78539796  1.80125307  0.78539833  0.78539836 -2.35619443  0.78539815 -2.35619445 -0.78539826 -0.78539844  2.35619443  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],
graphs/new/nodes_9/depth_3//4.gml,0.999999999999482,[-2.35619438  0.78539807  3.92699072  3.92699156 -0.78539819  0.78539804  2.35619437 -0.78539789 -3.92699103 -2.35619457  2.35619453 -0.7853996   2.35619403 -0.78539833  0.78539673  0.78539789  0.78539893 -0.78539837],665,0.999999999999482,[-2.35619438  0.78539807  3.92699072  3.92699156 -0.78539819  0.78539804  2.35619437 -0.78539789 -3.92699103 -2.35619457  2.35619453 -0.7853996   2.35619403 -0.78539833  0.78539673  0.78539789  0.78539893 -0.78539837  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.999999999999482,[-2.35619438  0.78539807  3.92699072  3.92699156 -0.78539819  0.78539804  2.35619437 -0.78539789 -3.92699103 -2.35619457  2.35619453 -0.7853996   2.35619403 -0.78539833  0.78539673  0.78539789  0.78539893 -0.78539837  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.999999999999482,[-2.35619438  0.78539807  3.92699072  3.92699156 -0.78539819  0.78539804  2.35619437 -0.78539789 -3.92699103 -2.35619457  2.35619453 -0.7853996   2.35619403 -0.78539833  0.78539673  0.78539789  0.78539893 -0.78539837  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.999999999999482,[-2.35619438  0.78539807  3.92699072  3.92699156 -0.78539819  0.78539804  2.35619437 -0.78539789 -3.92699103 -2.35619457  2.35619453 -0.7853996   2.35619403 -0.78539833  0.78539673  0.78539789  0.78539893 -0.78539837  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],
graphs/new/nodes_9/depth_3//5.gml,0.9999999999987048,[-2.35619513 -3.92699047  0.78539721 -2.35619415  0.78539958  0.78539798 -0.78539563  0.78539838 -2.35619366 -0.78539835  0.78539802  0.78539838 -2.35619432  2.35619465  0.78539875  0.7853986  -0.78539776 -2.35619434],665,0.9999999999987048,[-2.35619513 -3.92699047  0.78539721 -2.35619415  0.78539958  0.78539798 -0.78539563  0.78539838 -2.35619366 -0.78539835  0.78539802  0.78539838 -2.35619432  2.35619465  0.78539875  0.7853986  -0.78539776 -2.35619434  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999987048,[-2.35619513 -3.92699047  0.78539721 -2.35619415  0.78539958  0.78539798 -0.78539563  0.78539838 -2.35619366 -0.78539835  0.78539802  0.78539838 -2.35619432  2.35619465  0.78539875  0.7853986  -0.78539776 -2.35619434  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999987048,[-2.35619513 -3.92699047  0.78539721 -2.35619415  0.78539958  0.78539798 -0.78539563  0.78539838 -2.35619366 -0.78539835  0.78539802  0.78539838 -2.35619432  2.35619465  0.78539875  0.7853986  -0.78539776 -2.35619434  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999987048,[-2.35619513 -3.92699047  0.78539721 -2.35619415  0.78539958  0.78539798 -0.78539563  0.78539838 -2.35619366 -0.78539835  0.78539802  0.78539838 -2.35619432  2.35619465  0.78539875  0.7853986  -0.78539776 -2.35619434  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],
graphs/new/nodes_9/depth_3//6.gml,0.99999999999713,[-2.35619586 -2.3561947  -0.78539805 -0.78539776  0.78539784 -2.35619417 -1.63307944 -2.35619256 -2.35619469  0.78539735  2.3561942  -0.78539625 -2.35619446 -2.35619331  0.785398   -2.2671732   0.78539287  2.35619469],817,0.99999999999713,[-2.35619586 -2.3561947  -0.78539805 -0.78539776  0.78539784 -2.35619417 -1.63307944 -2.35619256 -2.35619469  0.78539735  2.3561942  -0.78539625 -2.35619446 -2.35619331  0.785398   -2.2671732   0.78539287  2.35619469  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.99999999999713,[-2.35619586 -2.3561947  -0.78539805 -0.78539776  0.78539784 -2.35619417 -1.63307944 -2.35619256 -2.35619469  0.78539735  2.3561942  -0.78539625 -2.35619446 -2.35619331  0.785398   -2.2671732   0.78539287  2.35619469  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.99999999999713,[-2.35619586 -2.3561947  -0.78539805 -0.78539776  0.78539784 -2.35619417 -1.63307944 -2.35619256 -2.35619469  0.78539735  2.3561942  -0.78539625 -2.35619446 -2.35619331  0.785398   -2.2671732   0.78539287  2.35619469  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.99999999999713,[-2.35619586 -2.3561947  -0.78539805 -0.78539776  0.78539784 -2.35619417 -1.63307944 -2.35619256 -2.35619469  0.78539735  2.3561942  -0.78539625 -2.35619446 -2.35619331  0.785398   -2.2671732   0.78539287  2.35619469  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],
graphs/new/nodes_9/depth_3//7.gml,0.8666666666607442,[ 2.35619395  2.35619404 -2.35619591  2.35620976 -0.67427441 -1.22629451  2.35619692  0.78539771  0.78539781 -0.78539817  0.78539796 -2.35619627  0.78538239 -2.59135039  3.13689669  3.92699279 -0.78539647 -2.35619451],665,0.9333333333331733,[-3.02167988  3.72160393 -0.56499032 -0.43254842  2.45182633 -0.58898692 -0.91755886 -2.12165884  2.56114145  0.52303195  1.51216035 -1.19965765 -1.78753788  1.18659517 -0.7469621  -1.99042886  2.79762351 -2.44743591 -0.8463471   2.93494117  1.85552135  1.94774925 -2.12152315  2.44782372  2.94911717 -1.86108755 -0.58758366  0.88892439  2.40993332 -0.45651694 -2.51890759 -0.90684826  1.37085154  1.18608144  2.05515059 -2.91830864],1406.0,0.999999999998858,[ 1.47349199 -0.51993669  1.46457243 -2.4391079  -0.06849943  1.4853621  -1.84820074 -2.38003518  2.49557904 -3.30564514 -2.58162507  2.90092528  1.21974174  2.32190963  1.62139078 -0.30656003 -2.58667925 -2.10632699  0.67331832  0.21013992 -1.84826826  0.5739885   0.42324745  0.6527807  -0.01431329 -1.73270241  0.19271915 -1.18332277 -1.20955517  0.52041626 -1.91144765  2.71531548  2.33578563  0.78156878  3.21708462  3.0718795   2.85364395  1.07966794  2.52459747 -2.17961689 -2.72701611  2.47714024  2.53169724  0.16747562  3.24052101 -2.7337344  -2.72498068 -2.69748709  2.6745557  -2.1094706   0.04903682  2.12132819 -1.8725493  -0.21454787],2420.0,0.999999999998858,[ 1.47349199 -0.51993669  1.46457243 -2.4391079  -0.06849943  1.4853621  -1.84820074 -2.38003518  2.49557904 -3.30564514 -2.58162507  2.90092528  1.21974174  2.32190963  1.62139078 -0.30656003 -2.58667925 -2.10632699  0.67331832  0.21013992 -1.84826826  0.5739885   0.42324745  0.6527807  -0.01431329 -1.73270241  0.19271915 -1.18332277 -1.20955517  0.52041626 -1.91144765  2.71531548  2.33578563  0.78156878  3.21708462  3.0718795   2.85364395  1.07966794  2.52459747 -2.17961689 -2.72701611  2.47714024  2.53169724  0.16747562  3.24052101 -2.7337344  -2.72498068 -2.69748709  2.6745557  -2.1094706   0.04903682  2.12132819 -1.8725493  -0.21454787  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.999999999998858,[ 1.47349199 -0.51993669  1.46457243 -2.4391079  -0.06849943  1.4853621  -1.84820074 -2.38003518  2.49557904 -3.30564514 -2.58162507  2.90092528  1.21974174  2.32190963  1.62139078 -0.30656003 -2.58667925 -2.10632699  0.67331832  0.21013992 -1.84826826  0.5739885   0.42324745  0.6527807  -0.01431329 -1.73270241  0.19271915 -1.18332277 -1.20955517  0.52041626 -1.91144765  2.71531548  2.33578563  0.78156878  3.21708462  3.0718795   2.85364395  1.07966794  2.52459747 -2.17961689 -2.72701611  2.47714024  2.53169724  0.16747562  3.24052101 -2.7337344  -2.72498068 -2.69748709  2.6745557  -2.1094706   0.04903682  2.12132819 -1.8725493  -0.21454787  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],
graphs/new/nodes_9/depth_3//8.gml,0.9999999999980576,[-0.78539712  0.78539795  0.78539805  2.35619416 -0.78539881 -2.35619516  0.78539698  2.35619684 -0.78539725  2.35619435 -2.35619467  0.7853971   0.78539993  2.35619485 -0.78539864 -0.78539873 -2.35619518 -2.35619384],703,0.9999999999980576,[-0.78539712  0.78539795  0.78539805  2.35619416 -0.78539881 -2.35619516  0.78539698  2.35619684 -0.78539725  2.35619435 -2.35619467  0.7853971   0.78539993  2.35619485 -0.78539864 -0.78539873 -2.35619518 -2.35619384  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999980576,[-0.78539712  0.78539795  0.78539805  2.35619416 -0.78539881 -2.35619516  0.78539698  2.35619684 -0.78539725  2.35619435 -2.35619467  0.7853971   0.78539993  2.35619485 -0.78539864 -0.78539873 -2.35619518 -2.35619384  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999980576,[-0.78539712  0.78539795  0.78539805  2.35619416 -0.78539881 -2.35619516  0.78539698  2.35619684 -0.78539725  2.35619435 -2.35619467  0.7853971   0.78539993  2.35619485 -0.78539864 -0.78539873 -2.35619518 -2.35619384  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.9999999999980576,[-0.78539712  0.78539795  0.78539805  2.35619416 -0.78539881 -2.35619516  0.78539698  2.35619684 -0.78539725  2.35619435 -2.35619467  0.7853971   0.78539993  2.35619485 -0.78539864 -0.78539873 -2.35619518 -2.35619384  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],
graphs/new/nodes_9/depth_3//9.gml,0.9230769230751232,[-2.35619305 -2.3561947   2.35619448 -2.75874866 -2.1836503  -0.78539925 -2.35619463 -2.3561938   0.78539821  2.35619764 -0.7853971  -0.78539728 -2.56648052 -1.74772379  0.78539756 -0.78539798 -2.35619422 -2.35619347],912,0.999999999997412,[ 0.43683957 -0.62843078  3.8091463   1.96666487  0.88479764 -3.37805878  3.04038516  1.81587235  2.4342316   0.41697778 -1.88360913 -2.99013052 -2.36939337 -1.18247669 -0.78249276 -1.04102096 -0.15660242  2.42633346 -1.12351396  1.76127962  0.12324618 -0.79876079  0.13763584  2.35768187 -0.83543487 -2.59106043 -1.99296293  2.65811662 -1.08077103  2.20904727 -1.96050357  1.97746266  1.02185828 -0.69727709 -2.28341484 -1.46606376],1554.0,0.999999999997412,[ 0.43683957 -0.62843078  3.8091463   1.96666487  0.88479764 -3.37805878  3.04038516  1.81587235  2.4342316   0.41697778 -1.88360913 -2.99013052 -2.36939337 -1.18247669 -0.78249276 -1.04102096 -0.15660242  2.42633346 -1.12351396  1.76127962  0.12324618 -0.79876079  0.13763584  2.35768187 -0.83543487 -2.59106043 -1.99296293  2.65811662 -1.08077103  2.20904727 -1.96050357  1.97746266  1.02185828 -0.69727709 -2.28341484 -1.46606376  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.999999999997412,[ 0.43683957 -0.62843078  3.8091463   1.96666487  0.88479764 -3.37805878  3.04038516  1.81587235  2.4342316   0.41697778 -1.88360913 -2.99013052 -2.36939337 -1.18247669 -0.78249276 -1.04102096 -0.15660242  2.42633346 -1.12351396  1.76127962  0.12324618 -0.79876079  0.13763584  2.35768187 -0.83543487 -2.59106043 -1.99296293  2.65811662 -1.08077103  2.20904727 -1.96050357  1.97746266  1.02185828 -0.69727709 -2.28341484 -1.46606376  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],,0.999999999997412,[ 0.43683957 -0.62843078  3.8091463   1.96666487  0.88479764 -3.37805878  3.04038516  1.81587235  2.4342316   0.41697778 -1.88360913 -2.99013052 -2.36939337 -1.18247669 -0.78249276 -1.04102096 -0.15660242  2.42633346 -1.12351396  1.76127962  0.12324618 -0.79876079  0.13763584  2.35768187 -0.83543487 -2.59106043 -1.99296293  2.65811662 -1.08077103  2.20904727 -1.96050357  1.97746266  1.02185828 -0.69727709 -2.28341484 -1.46606376  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],
