path,p_1,p_1_angles,p_1_nfev,p_2,p_2_angles,p_2_nfev,p_3,p_3_angles,p_3_nfev,p_4,p_4_angles,p_4_nfev,p_5,p_5_angles,p_5_nfev,p_6,p_6_angles,p_6_nfev,p_7,p_7_angles,p_7_nfev,p_8,p_8_angles,p_8_nfev
graphs/main/nodes_9/depth_3//0.gml,0.8321699762930411,[ 0.1815582  -0.27067008],24,0.8731896440659028,[ 0.15142827 -0.39332218  0.34634108 -0.23009483],95,0.903045002371858,[ 0.13235696 -0.39599938  0.27593823 -0.28330765  0.32855171 -0.19044127],140,0.9224816250377016,[ 0.11734632 -0.4069436   0.25023307 -0.30240434  0.27124685 -0.25648007  0.37292317 -0.1616787 ],225,0.9366018412449696,[ 0.10815906 -0.42770407  0.22400208 -0.30483065  0.24378449 -0.27814739  0.29824295 -0.22467704  0.37217628 -0.15089378],286,0.9481385039166348,[ 0.10484784 -0.44079238  0.20706894 -0.3115821   0.22313827 -0.28304764  0.27054369 -0.2494515   0.29766568 -0.21559237  0.3723253  -0.13930766],403,0.9567594732654672,[ 0.09985139 -0.44323361  0.19718645 -0.3178425   0.2111083  -0.29088076  0.25190603 -0.25395326  0.27027092 -0.23933117  0.30050283 -0.19924151  0.37935383 -0.12305189],525,0.9630816450182118,[ 0.09676949 -0.45517157  0.19201466 -0.32491991  0.20296755 -0.29743611  0.24274103 -0.26204378  0.25731933 -0.24776879  0.27668434 -0.22659079  0.31953078 -0.18194173  0.40122803 -0.10494375],646
graphs/main/nodes_9/depth_3//1.gml,0.8633556523987203,[ 0.20176791 -0.28622587],24,0.904693957084128,[ 0.15047148 -0.37578606  0.37286421 -0.20155414],90,0.9273285681712844,[ 0.13947513 -0.41941067  0.28939492 -0.26311121  0.38109178 -0.15955546],140,0.9399843540350598,[ 0.12380915 -0.43849057  0.27164606 -0.31397719  0.32330703 -0.22874732  0.4401026  -0.13918758],243,0.951528472586766,[ 0.1152225  -0.43883854  0.2412632  -0.3034403   0.27776828 -0.26124879  0.34498425 -0.20127344  0.42073121 -0.13828002],330,0.9613879690437678,[ 0.11535091 -0.43600173  0.22502856 -0.29370245  0.24650751 -0.25263867  0.28471947 -0.22544797  0.34038684 -0.20456532  0.41283438 -0.12871794],364,0.9682494400117084,[ 0.10822384 -0.45985582  0.22483589 -0.30484203  0.23506895 -0.254488    0.27430753 -0.23200264  0.30037496 -0.23595019  0.35487956 -0.19604195  0.43594442 -0.11116414],555,0.9740064460625821,[ 0.10430806 -0.4548332   0.2131975  -0.31049422  0.23752198 -0.2610316   0.25246235 -0.22357103  0.27416441 -0.22589581  0.28215294 -0.21059724  0.34016337 -0.17563461  0.42968798 -0.10759692],578
graphs/main/nodes_9/depth_3//2.gml,0.8398355929721288,[ 0.23370511 -0.32583619],36,0.9004894053290634,[ 0.18612796 -0.43829073  0.3730941  -0.24963837],95,0.9364398546875874,[ 0.16396905 -0.47388292  0.32105099 -0.33627409  0.3956145  -0.19607468],140,0.9546937206317324,[ 0.14152928 -0.50434997  0.29015937 -0.38289587  0.34928888 -0.28367833  0.40386197 -0.16159903],216,0.967048205217382,[ 0.13160589 -0.52590286  0.26893832 -0.3990434   0.31584208 -0.3236746   0.36429072 -0.24878988  0.41411356 -0.13031262],319,0.9757636672988113,[ 0.12507921 -0.52572284  0.25745642 -0.41368128  0.30242289 -0.34124244  0.33221904 -0.30020006  0.37540746 -0.22380474  0.42199776 -0.12224262],481,0.9840657300019444,[ 0.12381054 -0.52846657  0.25417271 -0.41274869  0.29328196 -0.35664394  0.32555322 -0.32471437  0.34371677 -0.2819885   0.38807095 -0.22439965  0.42536547 -0.11975705],750,0.9902955797253267,[ 0.11509792 -0.53406301  0.24178091 -0.40866288  0.27821953 -0.34644195  0.30727425 -0.32874711  0.33202234 -0.30055195  0.35239247 -0.27317538  0.38805218 -0.2096777   0.42644961 -0.10436303],680
graphs/main/nodes_9/depth_3//3.gml,0.787664965556663,[ 0.2000484 -0.2960985],24,0.865034602735551,[ 0.17831944 -0.4605522   0.30784802 -0.31958882],85,0.9137044543428312,[ 0.15349385 -0.48789808  0.27835805 -0.44084536  0.32554422 -0.25339205],168,0.9471323665039348,[ 0.13068831 -0.48830833  0.24413133 -0.43068422  0.26219738 -0.35479635  0.31231192 -0.22648488],270,0.9706338419876724,[ 0.11562249 -0.48370435  0.21915688 -0.39717238  0.21591756 -0.35041163  0.25913491 -0.32569687  0.31088092 -0.19407482],297,0.9841197611219829,[ 0.10309862 -0.49808081  0.20412747 -0.40012493  0.20580832 -0.34970764  0.22884827 -0.33065494  0.26277905 -0.28845951  0.32206634 -0.15234431],403,0.990756232198896,[ 0.0909316  -0.50894888  0.18539494 -0.39464644  0.19738162 -0.36074031  0.22176941 -0.33424936  0.23140191 -0.29656576  0.27336898 -0.23859158  0.33193987 -0.11196755],510,0.9942500799881304,[ 0.08233634 -0.51857305  0.16811894 -0.39291379  0.1865102  -0.35929429  0.2157196  -0.34620846  0.22364382 -0.30547323  0.23821233 -0.25693207  0.28809814 -0.19455716  0.35378736 -0.08243721],714
graphs/main/nodes_9/depth_3//4.gml,0.8049135781884552,[ 0.22927951 -0.29857753],33,0.8698400235600318,[ 0.19833401 -0.34689641  0.47499645 -0.23367764],80,0.9021499668819712,[ 0.16198031 -0.40138764  0.36856703 -0.26305457  0.43545156 -0.17914131],133,0.9292323614692248,[ 0.16238356 -0.4415507   0.32795174 -0.28014384  0.37828546 -0.19883865  0.46897584 -0.15486541],216,0.9470537903404812,[ 0.14288008 -0.47216584  0.30739201 -0.35580289  0.34729227 -0.24493422  0.4005653  -0.19718939  0.46056614 -0.14468544],330,0.9644473611315104,[ 0.14138631 -0.4696811   0.28760094 -0.36637436  0.32570286 -0.31080366  0.37729505 -0.21045291  0.40096702 -0.18937796  0.49862807 -0.1333202 ],429,0.9743451214484324,[ 0.11400016 -0.46473041  0.25451357 -0.3626923   0.29981152 -0.33048746  0.35310528 -0.27754075  0.37312448 -0.19646303  0.41818039 -0.17281399  0.51845685 -0.11107872],630,0.981513007094509,[ 0.11640911 -0.46664564  0.21793493 -0.29309122  0.22918854 -0.29656711  0.29586748 -0.28327493  0.34089689 -0.26172165  0.36906363 -0.17914537  0.41401054 -0.15779515  0.51888503 -0.10089364],629
graphs/main/nodes_9/depth_3//5.gml,0.7677533669553437,[ 0.25401575 -0.34361213],33,0.8462101563958634,[ 0.19385046 -0.46032079  0.35744047 -0.28675479],85,0.8873742396340205,[ 0.17638883 -0.51308609  0.32275859 -0.37962315  0.39615191 -0.20761915],182,0.915813269857295,[ 0.16835803 -0.55686817  0.30461655 -0.45998701  0.36590637 -0.32583255  0.39115505 -0.19921869],243,0.9413574216936328,[ 0.15927246 -0.54555757  0.28945129 -0.47107067  0.33400849 -0.37588145  0.34964173 -0.2945934   0.3774205  -0.17662805],330,0.962047634107763,[ 0.14517225 -0.5467297   0.27951872 -0.46504385  0.30615459 -0.38247376  0.32091003 -0.3498734   0.34160427 -0.27174851  0.3841063  -0.16031128],364,0.9755827443018156,[ 0.13033524 -0.55522919  0.26108447 -0.45797132  0.29118429 -0.38219086  0.3005449  -0.35852513  0.31694372 -0.33023347  0.35418499 -0.24628818  0.3889306  -0.13289304],480,0.9838336913861474,[ 0.11776318 -0.55944632  0.24145357 -0.4554493   0.27213064 -0.37865345  0.29220733 -0.36410876  0.30234081 -0.3440962   0.32741838 -0.30466251  0.36054949 -0.21147022  0.39588489 -0.10916963],578
graphs/main/nodes_9/depth_3//6.gml,0.8289610169445611,[ 0.22982466 -0.31892653],36,0.9055168406203052,[ 0.18751736 -0.44847036  0.34167879 -0.28875061],85,0.93924016937115,[ 0.1506593  -0.46838465  0.30114126 -0.3531019   0.33282379 -0.19440525],168,0.9589709338353268,[ 0.13342329 -0.49148306  0.26383276 -0.38151344  0.29280865 -0.27141714  0.34203744 -0.15944953],234,0.9705344291606948,[ 0.12047447 -0.50975527  0.24325701 -0.40247829  0.26682855 -0.3074146   0.31016372 -0.23076984  0.34710821 -0.12281096],352,0.9777038895541256,[ 0.11034356 -0.51048787  0.22216056 -0.39876384  0.25001798 -0.3375692   0.29363622 -0.27140716  0.32090247 -0.18832963  0.36378403 -0.09630409],416,0.9836708351453924,[ 0.11053414 -0.51839776  0.21835769 -0.40462317  0.23979355 -0.34452971  0.28637491 -0.3128314   0.31113473 -0.237505    0.34412954 -0.16531272  0.37639073 -0.09232041],600,0.9893510290666153,[ 0.10904308 -0.51959662  0.2176835  -0.4076633   0.23543384 -0.34904907  0.2744512  -0.32334326  0.30349156 -0.28542759  0.33148216 -0.21868743  0.35036797 -0.16577137  0.37098682 -0.09291161],680
graphs/main/nodes_9/depth_3//7.gml,0.8010984294760788,[ 0.22025607 -0.30292368],33,0.860092125331588,[ 0.17977951 -0.41581189  0.37746388 -0.25451523],85,0.8959769901334443,[ 0.15340858 -0.43331546  0.30664037 -0.31462863  0.37107856 -0.19992251],133,0.9177079091797452,[ 0.13478482 -0.45666691  0.27441259 -0.33775035  0.30923912 -0.27433259  0.40656902 -0.17443571],207,0.9328305399343748,[ 0.12479863 -0.48707281  0.25538979 -0.36504616  0.28009639 -0.29870798  0.34181573 -0.25371306  0.41285123 -0.15441283],297,0.9456783264131324,[ 0.1205798  -0.48230291  0.23784477 -0.37054558  0.26169597 -0.3207572   0.30051899 -0.27262732  0.34052192 -0.2352402   0.42080333 -0.1441966 ],429,0.9559866601477564,[ 0.11581243 -0.48577344  0.22788163 -0.36830523  0.24652195 -0.33134819  0.28818671 -0.29625161  0.29999296 -0.25773349  0.35747112 -0.22398839  0.42900413 -0.13107121],510,0.9639090258684403,[ 0.11101544 -0.49018592  0.22147842 -0.36764883  0.23765191 -0.33112848  0.27531791 -0.30820423  0.29387306 -0.28037564  0.31373477 -0.24608952  0.37418821 -0.21364064  0.45174885 -0.11516494],646
graphs/main/nodes_9/depth_3//8.gml,0.7924993236073659,[ 0.21861407 -0.31099757],33,0.8596746897182667,[ 0.18020154 -0.4497142   0.3407597  -0.28345518],85,0.9001616685487259,[ 0.15583724 -0.47265667  0.29987398 -0.37449585  0.35124806 -0.21621285],161,0.9292192184057232,[ 0.1455373  -0.50506454  0.27819641 -0.42113363  0.3164     -0.32158568  0.35984061 -0.1979293 ],216,0.9501866590829872,[ 0.12800873 -0.49754961  0.25641052 -0.41670835  0.28517381 -0.35169375  0.32423072 -0.28889805  0.36398167 -0.1648087 ],308,0.9655080237489718,[ 0.11901246 -0.50451553  0.23884572 -0.40342422  0.25951632 -0.35452099  0.29741316 -0.32681406  0.33147588 -0.25761033  0.37525972 -0.14318933],390,0.9756793505579304,[ 0.10914248 -0.51711567  0.22368382 -0.40407368  0.24545311 -0.34965902  0.27503576 -0.33279178  0.30621432 -0.2945906   0.35125243 -0.22218015  0.3893402  -0.11298801],570,0.9829147398395564,[ 0.10295539 -0.51960034  0.20992356 -0.40493611  0.23245385 -0.3500834   0.26405559 -0.3338899   0.2848647  -0.30639843  0.32655422 -0.26139577  0.369684   -0.18294263  0.41007314 -0.09294298],748
graphs/main/nodes_9/depth_3//9.gml,0.7800469215885298,[ 0.2601628  -0.33776474],36,0.8383849209749576,[ 0.19315909 -0.44799098  0.38756657 -0.25019447],95,0.8751026290121705,[ 0.18132914 -0.50702428  0.33559201 -0.36196098  0.41644382 -0.20986362],147,0.9089537758423716,[ 0.18011316 -0.5252029   0.31895903 -0.43480914  0.35452181 -0.33588265  0.39263782 -0.22002488],234,0.9323858243290742,[ 0.15605565 -0.51414596  0.30245838 -0.42714746  0.32589583 -0.36388306  0.34692972 -0.30102404  0.39045495 -0.17037301],308,0.9471975593193952,[ 0.14290332 -0.53501302  0.28672478 -0.42807926  0.31931758 -0.38005978  0.33168768 -0.3484425   0.35562953 -0.25667876  0.41999484 -0.14072563],377,0.956629267872022,[ 0.12858562 -0.5332889   0.26451665 -0.42278334  0.29980321 -0.375288    0.32317712 -0.36725436  0.33780649 -0.3084168   0.37865448 -0.21996111  0.43044695 -0.11435584],480,0.9649433414829874,[ 0.12957482 -0.5441177   0.26059458 -0.42554794  0.29205337 -0.37658864  0.31642536 -0.37166144  0.33518872 -0.33660002  0.367627   -0.275401    0.39515438 -0.19675909  0.45636789 -0.10978983],646
