path,p_1,p_1_angles,p_1_nfev,p_2,p_2_angles,p_2_nfev
graphs/main/nodes_9/depth_3//0.gml,0.8252601457955824,[ 0.21139871 -0.31654643],23,0.8669145209555377,[ 0.17255084 -0.32246238  0.33640336 -0.16593298],68
graphs/main/nodes_9/depth_3//1.gml,0.8618920356582548,[-0.22469     0.26682707],18,0.876857824272898,[ 0.22085276 -0.30499784  0.33885894 -0.26696285],61
graphs/main/nodes_9/depth_3//2.gml,0.8311528464154315,[ 0.19880633 -0.39021264],27,0.8953485279884875,[ 0.15345382 -0.41122029  0.33692832 -0.22227258],63
graphs/main/nodes_9/depth_3//3.gml,0.7805047799649613,[ 0.20253744 -0.22761137],19,0.8393689334589848,[ 0.12342768 -0.44950369  0.39311343 -0.26112336],76
graphs/main/nodes_9/depth_3//4.gml,0.7862937853961576,[ 0.33336809 -0.32696378],21,0.8684862384861365,[ 0.18543877 -0.34576525  0.48519676 -0.25933964],63
graphs/main/nodes_9/depth_3//5.gml,0.7647719573180192,[ 0.26774713 -0.38311699],25,0.8366249724673189,[ 0.17663437 -0.38269137  0.31814383 -0.24619058],62
graphs/main/nodes_9/depth_3//6.gml,0.8284022136064831,[ 0.24321346 -0.32772056],25,0.8990712807660316,[ 0.22705045 -0.41196708  0.35647511 -0.28734604],65
graphs/main/nodes_9/depth_3//7.gml,0.7902906995402428,[ 0.20477032 -0.38593419],21,0.8437972736728291,[ 0.13447547 -0.40527746  0.30449645 -0.30699693],55
graphs/main/nodes_9/depth_3//8.gml,0.7828056361484848,[-0.25599224  0.37113143],22,0.8443332471020208,[ 0.17247147 -0.40704199  0.39543929 -0.35356532],57
graphs/main/nodes_9/depth_3//9.gml,0.7738885250681607,[0.31703519 1.24706167],25,0.8237063560194909,[ 0.11690585 -0.44988073  0.3272724  -0.28764463],60
graphs/main/nodes_9/depth_3//10.gml,0.835862979381389,[ 0.15348331 -0.29597636],23,0.84748562696798,[ 0.2 -0.2  0.2 -0.2],58
graphs/main/nodes_9/depth_3//11.gml,0.8093295896209158,[ 0.22641507 -0.35498542],24,0.8543037270255557,[ 0.17330656 -0.28468055  0.33761733 -0.23591681],57
graphs/main/nodes_9/depth_3//12.gml,0.8450886947925464,[ 0.2 -0.2],23,0.882043669918061,[ 0.18619071 -0.25165688  0.39025814 -0.17213862],69
graphs/main/nodes_9/depth_3//13.gml,0.8361290416244676,[ 0.32712655 -0.41769884],27,0.8832719390905684,[-0.34174957 -1.332534    0.69500133  1.39375319],73
graphs/main/nodes_9/depth_3//14.gml,0.7611719903675898,[ 0.18563564 -0.24987082],24,0.8318482209938824,[ 0.13940089 -0.43550491  0.301229   -0.23407148],64
graphs/main/nodes_9/depth_3//15.gml,0.8293659773021486,[ 0.2 -0.2],18,0.868147303242399,[ 0.2172872  -0.29642226  0.36388715 -0.16164584],66
graphs/main/nodes_9/depth_3//16.gml,0.8265962703630502,[ 0.24467409 -0.34863779],24,0.8537541372181829,[ 0.16763874 -0.31027962  0.4191962  -0.09498532],68
graphs/main/nodes_9/depth_3//17.gml,0.7886827489341356,[ 0.21047158 -0.20663393],21,0.8528885989204329,[ 0.12625842 -0.36763881  0.38065167 -0.20242912],62
graphs/main/nodes_9/depth_3//18.gml,0.8048168241864724,[ 0.23378668 -0.23164015],23,0.8545045301840695,[ 0.1400172  -0.4243852   0.33397056 -0.31759336],70
graphs/main/nodes_9/depth_3//19.gml,0.8340677370892033,[ 0.19924809 -0.2962892 ],18,0.8660303818318641,[ 0.18969821 -0.3727854   0.26489785 -0.20529362],68
graphs/main/nodes_9/depth_3//20.gml,0.8726968004492781,[ 0.16255518 -0.31393169],23,0.9115281455123434,[-0.1849082  -1.18383312 -0.46385911 -1.36066505],57
graphs/main/nodes_9/depth_3//21.gml,0.8570317456639862,[ 0.2 -0.2],21,0.8856417235110327,[-0.2254667  0.4804495 -0.375534  -1.4225986],61
graphs/main/nodes_9/depth_3//22.gml,0.8243072291979858,[-0.22073973 -1.29972119],26,0.8434172750727672,[ 0.2706211  -0.29934573  0.50557321 -0.17587129],57
graphs/main/nodes_9/depth_3//23.gml,0.8034485735036293,[ 0.2 -0.2],24,0.8889390936618448,[ 0.13800241 -0.43029339  0.37006572 -0.30684602],56
graphs/main/nodes_9/depth_3//24.gml,0.8064819824304942,[ 0.2505116  -0.33070267],21,0.8594568462644027,[ 0.22269106 -0.3437568   0.34135587 -0.20605158],57
graphs/main/nodes_9/depth_3//25.gml,0.8045661475894924,[ 0.2819823  -0.34573553],24,0.8609424069591243,[ 0.18975613 -0.35100341  0.40451792 -0.16561761],65
graphs/main/nodes_9/depth_3//26.gml,0.8839624908474614,[ 0.1725796  -0.28964398],19,0.8877914101028094,[-1.33767494 -1.30003533 -0.90350199 -0.29152807],68
graphs/main/nodes_9/depth_3//27.gml,0.8299480841857552,[ 0.2 -0.2],21,0.8775978378532988,[ 0.10696988 -0.35456235  0.33794795 -0.23646676],69
graphs/main/nodes_9/depth_3//28.gml,0.8051139535736446,[ 0.22052495 -0.32373987],21,0.866921483565758,[ 0.16048828 -0.38677168  0.35205276 -0.25105397],60
graphs/main/nodes_9/depth_3//29.gml,0.8024282518715034,[ 0.27096708 -0.28370194],24,0.8596094895199423,[ 0.20500184 -0.45524726  0.40732412 -0.37529281],57
graphs/main/nodes_9/depth_3//30.gml,0.7697538999607076,[ 0.2 -0.2],21,0.8367387062877214,[ 0.17896349 -0.37329802  0.40364539 -0.27620241],144
graphs/main/nodes_9/depth_3//31.gml,0.7802924674053293,[-0.14147319  0.33646679],21,0.8411817704751005,[ 0.22792231 -0.37294718  0.32222513 -0.29748766],69
graphs/main/nodes_9/depth_3//32.gml,0.8137545182065372,[ 0.32659913 -0.32478354],27,0.8805730799779043,[ 0.15169067 -0.42691562  0.36082969 -0.21209876],56
graphs/main/nodes_9/depth_3//33.gml,0.7888928601864691,[ 0.24023131 -0.30073803],24,0.8407048181717853,[ 0.23077301 -0.33994891  0.39583215 -0.21289049],61
graphs/main/nodes_9/depth_3//34.gml,0.8164040380760955,[ 0.2 -0.2],21,0.8684632481186405,[ 0.11422152 -0.37702722  0.29590598 -0.24449583],68
graphs/main/nodes_9/depth_3//35.gml,0.8411194720552264,[ 0.2 -0.2],18,0.8673804746029214,[ 0.09659618 -0.25941292  0.378793   -0.17465688],66
graphs/main/nodes_9/depth_3//36.gml,0.7704504662900687,[0.26195087 1.22442376],24,0.7890371158864745,[ 0.2 -0.2  0.2 -0.2],73
