path,p_1,p_1_angles,p_1_nfev,p_2,p_2_angles,p_2_nfev,p_3,p_3_angles,p_3_nfev,p_4,p_4_angles,p_4_nfev,p_5,p_5_angles,p_5_nfev,p_6,p_6_angles,p_6_nfev,p_7,p_7_angles,p_7_nfev,p_8,p_8_angles,p_8_nfev
graphs/main/nodes_9/depth_3//0.gml,0.832169965152747,[ 0.18149206 -0.27072308],36,0.8731896135816591,[ 0.15136    -0.39309462  0.3463733  -0.22995714],98,0.9030449917911776,[ 0.13237798 -0.39598242  0.27587099 -0.28330102  0.32854747 -0.19047142],122,0.9224815470593636,[ 0.11737171 -0.40691409  0.25027035 -0.30253318  0.27147496 -0.25653158  0.37297136 -0.16157029],226,0.9366018008386524,[ 0.10811763 -0.42760116  0.2239702  -0.3046733   0.24378476 -0.27819973  0.29834876 -0.22466167  0.37222231 -0.15087948],397,0.9481384687301626,[ 0.10484439 -0.44070067  0.20707816 -0.3116855   0.2231815  -0.28305623  0.27047709 -0.24944134  0.29758473 -0.21550051  0.37227065 -0.13929269],654,0.9567593719772572,[ 0.09984422 -0.44328351  0.19722817 -0.31798405  0.21117365 -0.29094339  0.25195742 -0.25404909  0.27029103 -0.23923133  0.30026221 -0.19920181  0.37894684 -0.12315932],1019,0.9630815296262816,[ 0.09678743 -0.45517984  0.19195521 -0.32489227  0.20301181 -0.29747882  0.24275727 -0.26198763  0.25724879 -0.24773557  0.27658063 -0.22659224  0.31926256 -0.1818358   0.40066594 -0.10499239],808
graphs/main/nodes_9/depth_3//1.gml,0.8633556306257356,[ 0.20183117 -0.28629554],42,0.904693925698548,[ 0.1504243  -0.37588043  0.37298317 -0.20159342],82,0.9273285374973398,[ 0.13945818 -0.41951202  0.28928944 -0.26305011  0.38098492 -0.15950628],124,0.9399842894667868,[ 0.1237234  -0.43832134  0.27140637 -0.31374917  0.32312925 -0.22869441  0.43976984 -0.13919928],420,0.951528048959928,[ 0.11527484 -0.43846687  0.24077778 -0.30247271  0.2768225  -0.26063848  0.34403667 -0.20088577  0.42052163 -0.13825188],529,0.961387863265675,[ 0.11536711 -0.43625359  0.22520289 -0.29395265  0.24666547 -0.25259717  0.2845238  -0.22512798  0.33998813 -0.20435218  0.4125432  -0.12877267],508,0.9682489020012556,[ 0.10799312 -0.45967105  0.2249558  -0.30522277  0.23527864 -0.25413521  0.27361322 -0.23141692  0.29947723 -0.23495954  0.35360536 -0.19553992  0.4344556  -0.11111387],1107,0.9740063898014495,[ 0.10432433 -0.45461915  0.21317143 -0.31043639  0.23751986 -0.2610339   0.25257935 -0.22367351  0.27422985 -0.22583175  0.28215169 -0.21067796  0.34029567 -0.17572466  0.43004979 -0.10756749],677
graphs/main/nodes_9/depth_3//2.gml,0.8398355760129547,[ 0.23363796 -0.3257898 ],40,0.9004893938978975,[ 0.18610748 -0.43831592  0.37312553 -0.24971806],72,0.9364398332198172,[ 0.1640436  -0.47380728  0.32106896 -0.3362088   0.39557659 -0.19601581],131,0.95469369739305,[ 0.14154933 -0.50420595  0.29012786 -0.38285589  0.34925826 -0.28360457  0.40381394 -0.16151176],237,0.9670481880295846,[ 0.13160979 -0.52580688  0.26888187 -0.39899031  0.31580873 -0.32360871  0.36424851 -0.24872307  0.41404246 -0.13031655],766,0.9757635900992572,[ 0.12513351 -0.52558174  0.25740636 -0.41340837  0.30226468 -0.34103834  0.33203597 -0.30006804  0.37520783 -0.22372213  0.42186791 -0.1221709 ],781,0.9840656669374688,[ 0.12374509 -0.52837874  0.25408942 -0.41253231  0.29318743 -0.35649636  0.32539925 -0.32458583  0.34362933 -0.28201857  0.38812154 -0.22451004  0.42540611 -0.11987216],1359,0.9902951697707124,[ 0.11500274 -0.53356399  0.24152593 -0.40799832  0.27764882 -0.34583786  0.30674505 -0.3281576   0.33165644 -0.30046455  0.35223144 -0.27311163  0.38777293 -0.20973371  0.4260446  -0.10451087],882
graphs/main/nodes_9/depth_3//3.gml,0.7876649561393125,[ 0.2000583  -0.29617334],42,0.8650345404046655,[ 0.17840222 -0.46068205  0.30784911 -0.31962728],73,0.9137043569223564,[ 0.15349324 -0.48779203  0.2784435  -0.44065541  0.32542907 -0.25322523],230,0.9471315263915048,[ 0.13031633 -0.48719363  0.24369552 -0.42908934  0.26121989 -0.35444822  0.31230941 -0.22659923],411,0.9706336815500668,[ 0.11559448 -0.48344028  0.21892912 -0.39682585  0.21583352 -0.35078517  0.2593479  -0.32598069  0.31089233 -0.1941445 ],516,0.9841195850086036,[ 0.10303675 -0.49806792  0.20418927 -0.40014524  0.20581262 -0.34971047  0.22879262 -0.33039271  0.26266876 -0.2885307   0.32208652 -0.15259238],557,0.9907556246434246,[ 0.09085609 -0.50789576  0.18487458 -0.39346197  0.19718487 -0.36136693  0.22210724 -0.33444871  0.23123472 -0.29617749  0.2728764  -0.23847118  0.33164535 -0.11210104],1858,0.9942489332447421,[ 0.08233797 -0.51661078  0.16730067 -0.39074489  0.18589222 -0.35964395  0.21583336 -0.34597732  0.22337508 -0.30503006  0.23756478 -0.25674426  0.28767647 -0.19490334  0.35333276 -0.08269525],6305
graphs/main/nodes_9/depth_3//4.gml,0.8049135661037524,[ 0.2292402  -0.29865727],36,0.8698399912653185,[ 0.19833765 -0.34701817  0.47485207 -0.23359583],89,0.9021499249066728,[ 0.16205854 -0.40149206  0.36865591 -0.26303391  0.43544198 -0.17904283],128,0.9292323367818484,[ 0.16241551 -0.44152889  0.32789571 -0.28011006  0.37829344 -0.1989034   0.46902177 -0.15495608],222,0.947053752004567,[ 0.1428899  -0.47213785  0.30737548 -0.35586503  0.34721459 -0.24507715  0.40053406 -0.19727556  0.46032506 -0.1447835 ],395,0.9479228106123644,[ 0.14146164 -0.46980993  0.30649834 -0.36017953  0.34124069 -0.23278838  0.4044585  -0.18147067  0.55222731 -0.11966342  1.30053277  0.05132337],1052,0.9743449278303092,[ 0.11379151 -0.46403717  0.25379602 -0.36199476  0.29929737 -0.33050706  0.3527846  -0.27745799  0.37316336 -0.19660363  0.41788668 -0.17285198  0.51803353 -0.11118281],1353,0.9754296207356806,[ 0.11169583 -0.45780756  0.24721193 -0.35438428  0.29617674 -0.33361291  0.34459406 -0.28099932  0.37025209 -0.1929634   0.41174124 -0.16160655  0.59203447 -0.1003248   1.26083282  0.04682046],1602
graphs/main/nodes_9/depth_3//5.gml,0.7677533395860596,[ 0.25408734 -0.34350522],38,0.8462101440979544,[ 0.19379506 -0.46030715  0.35743008 -0.28671736],64,0.8873742120691107,[ 0.17644589 -0.51316916  0.32281433 -0.37966006  0.39614597 -0.20762115],134,0.9158131545016392,[ 0.16833064 -0.556748    0.30453754 -0.45979421  0.36579107 -0.32552354  0.39113727 -0.19914046],284,0.9413573742238774,[ 0.15924319 -0.54545481  0.28935389 -0.47093835  0.33385584 -0.37576127  0.34953041 -0.29450395  0.37736516 -0.17661362],629,0.9620473459646962,[ 0.14510608 -0.54633137  0.27925852 -0.46461478  0.30579983 -0.38222274  0.32077894 -0.34979445  0.34152049 -0.27197249  0.38417908 -0.16037821],636,0.9755825012130496,[ 0.13037888 -0.55540028  0.26129964 -0.45837732  0.29155362 -0.38245678  0.30058377 -0.35827147  0.31679777 -0.32986419  0.35397406 -0.2460776   0.3889232  -0.13278367],709,0.9838332613615954,[ 0.11776737 -0.55906844  0.24138112 -0.45530104  0.27214618 -0.37878132  0.29229377 -0.36399678  0.30228964 -0.34373609  0.32711916 -0.30403878  0.36028832 -0.21110289  0.39540756 -0.1089799 ],1082
graphs/main/nodes_9/depth_3//6.gml,0.8289610066483876,[ 0.22981789 -0.31900497],37,0.9055168148179888,[ 0.18755013 -0.44835844  0.34174775 -0.288678  ],73,0.9392401445311804,[ 0.15072091 -0.46830952  0.30117392 -0.35305735  0.33283006 -0.19444635],132,0.9589708061466542,[ 0.13339039 -0.49122421  0.26365778 -0.38125575  0.2925351  -0.2714161   0.34191176 -0.15945342],272,0.9705343574699188,[ 0.120411   -0.50955188  0.24303318 -0.40227862  0.26663092 -0.30747728  0.31019581 -0.2309182   0.34715895 -0.12291855],463,0.977703718658056,[ 0.11043017 -0.51003177  0.22190129 -0.39817795  0.24976905 -0.33748885  0.29373004 -0.27135555  0.32079849 -0.18824467  0.36373199 -0.09625909],922,0.977703718658056,[ 0.11043017 -0.51003177  0.22190129 -0.39817795  0.24976905 -0.33748885  0.29373004 -0.27135555  0.32079849 -0.18824467  0.36373199 -0.09625909  0.          0.        ],2556,0.977703718658056,[ 0.11043017 -0.51003177  0.22190129 -0.39817795  0.24976905 -0.33748885  0.29373004 -0.27135555  0.32079849 -0.18824467  0.36373199 -0.09625909  0.          0.          0.          0.        ],10147
graphs/main/nodes_9/depth_3//7.gml,0.8010984042982336,[ 0.22032225 -0.30281236],41,0.8600920931110458,[ 0.17970788 -0.41588924  0.37754013 -0.25454721],75,0.8959769577437349,[ 0.15334702 -0.43337203  0.30660147 -0.31462969  0.37097535 -0.19985087],197,0.9177078673563736,[ 0.13480747 -0.45657139  0.27434034 -0.33776743  0.30928329 -0.2743017   0.40670671 -0.17438511],199,0.9328304361597312,[ 0.12474919 -0.48686309  0.25531528 -0.36479194  0.27990071 -0.29854553  0.34177263 -0.25358733  0.4128009  -0.15450511],369,0.9456780722140667,[ 0.12056625 -0.48213749  0.23770489 -0.37024631  0.26144951 -0.32052077  0.30032542 -0.27237926  0.34002234 -0.23509605  0.42020923 -0.1443013 ],530,0.9559865324492078,[ 0.11581104 -0.48575694  0.22793471 -0.36821094  0.24639417 -0.33107756  0.28805778 -0.29619021  0.29991521 -0.25761189  0.35711304 -0.22386813  0.42854778 -0.13110698],786,0.9639087438978663,[ 0.1109652  -0.49039837  0.22154269 -0.36773023  0.23754045 -0.33079101  0.27500349 -0.30797398  0.29378582 -0.28035127  0.31348593 -0.24575017  0.37348107 -0.21340161  0.45110864 -0.11526552],1536
graphs/main/nodes_9/depth_3//8.gml,0.7924993125419326,[ 0.21855982 -0.31095282],35,0.8596746683585089,[ 0.18021737 -0.44958406  0.34079055 -0.2834671 ],80,0.9001615694562302,[ 0.15586185 -0.47253655  0.29978412 -0.37418911  0.35122366 -0.21610707],132,0.9292191799585816,[ 0.14555318 -0.50502694  0.27825189 -0.42103829  0.31632413 -0.32148539  0.3598231  -0.19789419],260,0.9501865767812292,[ 0.12797409 -0.49732585  0.25636097 -0.41639061  0.28500016 -0.35153245  0.32413718 -0.28888793  0.36391823 -0.16487264],393,0.965507954895602,[ 0.11905491 -0.5045268   0.23893861 -0.40343074  0.25952048 -0.35431823  0.29730986 -0.3266088   0.33135999 -0.2574858   0.37519484 -0.14325044],467,0.9756792141232832,[ 0.10911429 -0.51704083  0.22360636 -0.40391427  0.24539493 -0.34964541  0.27493501 -0.33267491  0.30605091 -0.29445027  0.35094224 -0.22228232  0.38897195 -0.11300776],1534,0.9829146485613535,[ 0.10293923 -0.5192862   0.20978083 -0.40463915  0.23229417 -0.35003709  0.26399447 -0.33391581  0.28481301 -0.30647037  0.32642231 -0.26153931  0.36956185 -0.18308843  0.40990782 -0.09303258],1253
graphs/main/nodes_9/depth_3//9.gml,0.7800469108938108,[ 0.26023416 -0.33774213],39,0.8383849079978128,[ 0.19317839 -0.44797975  0.38754473 -0.2501002 ],73,0.8751026071342388,[ 0.18126224 -0.50697412  0.33552138 -0.36190466  0.41634484 -0.20985915],128,0.9089537407335636,[ 0.18016511 -0.52514935  0.31895804 -0.43481387  0.35453213 -0.33579977  0.39270622 -0.2199449 ],224,0.9323857665402498,[ 0.15606681 -0.51409052  0.30236958 -0.42714246  0.3258339  -0.36383855  0.34691796 -0.30111406  0.39037267 -0.17050331],260,0.9471974611899288,[ 0.14286669 -0.53491098  0.28670138 -0.42786409  0.31909618 -0.37985209  0.33158518 -0.34842034  0.35558293 -0.25675466  0.42003417 -0.14080393],450,0.9566289759359156,[ 0.12845924 -0.53272426  0.26410673 -0.42206868  0.29924295 -0.37496051  0.32298616 -0.36715916  0.33761845 -0.30847591  0.37843439 -0.21993216  0.43011132 -0.11440298],868,0.9649431582340001,[ 0.12960028 -0.54426984  0.26058921 -0.42553245  0.29188052 -0.37633384  0.31612658 -0.37142616  0.3348576  -0.33645905  0.36742224 -0.27535612  0.39494402 -0.19665769  0.45592089 -0.10974401],2623
