path,p_1,p_1_angles,p_1_nfev,p_2,p_2_angles,p_2_nfev,p_3,p_3_angles,p_3_nfev,p_4,p_4_angles,p_4_nfev,p_5,p_5_angles,p_5_nfev,p_6,p_6_angles,p_6_nfev,p_7,p_7_angles,p_7_nfev,p_8,p_8_angles,p_8_nfev
graphs/main/nodes_9/depth_3//0.gml,0.8321699762930298,[ 0.18155814 -0.27067003],34,0.8731896440659265,[ 0.15142835 -0.39332218  0.34634098 -0.23009475],70,0.9030450023718468,[ 0.13235694 -0.39599947  0.27593826 -0.28330775  0.32855171 -0.19044115],154,0.9224816250376192,[ 0.11734644 -0.40694328  0.2502334  -0.30240447  0.271247   -0.25648024  0.37292343 -0.16167872],202,0.9366018412448658,[ 0.10815908 -0.42770394  0.22400211 -0.30483051  0.24378417 -0.27814719  0.29824288 -0.22467711  0.37217646 -0.15089379],240,0.9481385039156468,[ 0.10484783 -0.44079325  0.20706942 -0.31158298  0.22313853 -0.28304722  0.27054395 -0.24945154  0.29766604 -0.21559183  0.37232497 -0.13930721],308,0.9567594732632246,[ 0.0998511  -0.44323371  0.19718616 -0.31784256  0.21110861 -0.29088092  0.25190619 -0.25395278  0.27027143 -0.23933123  0.30050453 -0.19924116  0.37935472 -0.12305044],564,0.9630816450175619,[ 0.09676947 -0.45517166  0.19201485 -0.32492008  0.20296728 -0.29743558  0.24274067 -0.26204341  0.25731892 -0.24776875  0.27668414 -0.22659144  0.31953147 -0.18194191  0.40122787 -0.10494356],572
graphs/main/nodes_9/depth_3//1.gml,0.8633556523986939,[ 0.20176782 -0.28622592],34,0.9046939570841246,[ 0.15047153 -0.37578613  0.37286442 -0.20155426],67,0.927328568171628,[ 0.13947496 -0.41941014  0.28939459 -0.26311113  0.38109129 -0.15955561],123,0.9399843540349588,[ 0.12380922 -0.43849096  0.27164596 -0.31397748  0.3233072  -0.22874752  0.44010298 -0.13918773],193,0.9497793102783496,[ 0.12169037 -0.43863571  0.24540534 -0.30702848  0.28035332 -0.23111426  0.42847132 -0.87477684 -0.03841695  0.70359719],569,0.9613879690435144,[ 0.11535093 -0.43600209  0.2250288  -0.29370258  0.24650776 -0.25263872  0.28471959 -0.22544753  0.34038645 -0.20456523  0.412834   -0.12871796],316,0.9682494400110584,[ 0.10822404 -0.45985578  0.22483636 -0.30484202  0.23506859 -0.25448707  0.27430629 -0.23200233  0.30037493 -0.23595052  0.35487939 -0.19604206  0.43594425 -0.11116428],488,0.9740064460619865,[ 0.10430768 -0.45483416  0.21319707 -0.31049485  0.23752194 -0.2610319   0.25246273 -0.22357137  0.2741644  -0.22589593  0.28215282 -0.21059731  0.3401632  -0.17563469  0.42968781 -0.10759712],749
graphs/main/nodes_9/depth_3//2.gml,0.8398355929721327,[ 0.23370513 -0.32583618],33,0.9004894053287406,[ 0.18612789 -0.43829087  0.37309384 -0.24963805],74,0.9364398546875684,[ 0.16396903 -0.4738829   0.32105095 -0.33627394  0.39561443 -0.19607458],105,0.9546937206315272,[ 0.14152948 -0.5043504   0.29015945 -0.38289605  0.34928906 -0.28367841  0.40386203 -0.16159913],186,0.9670482052170816,[ 0.13160575 -0.52590321  0.26893846 -0.39904371  0.31584236 -0.32367457  0.36429068 -0.24878972  0.41411386 -0.13031222],313,0.97576366729896,[ 0.12507919 -0.52572281  0.25745644 -0.41368137  0.302423   -0.34124249  0.33221935 -0.30020005  0.37540789 -0.22380467  0.42199813 -0.12224242],402,0.9840657300016974,[ 0.12381034 -0.5284664   0.25417239 -0.41274849  0.29328166 -0.35664346  0.32555306 -0.32471384  0.3437167  -0.28198825  0.38807107 -0.22439925  0.42536564 -0.11975681],491,0.9902955797251788,[ 0.1150981  -0.53406248  0.24178071 -0.40866166  0.27821868 -0.34644071  0.3072738  -0.32874655  0.33202248 -0.30055208  0.3523929  -0.27317546  0.38805247 -0.2096776   0.42644982 -0.10436281],701
graphs/main/nodes_9/depth_3//3.gml,0.7876649655566853,[ 0.20004841 -0.29609859],32,0.8650346027355231,[ 0.17831952 -0.46055223  0.30784808 -0.31958853],65,0.9137044543427172,[ 0.15349398 -0.48789835  0.27835806 -0.44084538  0.32554441 -0.25339183],128,0.947132366504018,[ 0.13068833 -0.48830877  0.24413146 -0.43068477  0.26219769 -0.35479667  0.31231202 -0.22648485],241,0.9706338419872674,[ 0.11562272 -0.48370443  0.21915681 -0.39717246  0.21591748 -0.35041121  0.25913493 -0.325697    0.31088096 -0.19407466],283,0.984119761121196,[ 0.1030986  -0.49808109  0.20412743 -0.40012517  0.20580862 -0.34970818  0.2288487  -0.33065559  0.26277942 -0.28845914  0.32206657 -0.15234389],498,0.990756232198354,[ 0.09093152 -0.50894877  0.18539496 -0.39464707  0.19738178 -0.36074016  0.22176925 -0.33424907  0.23140199 -0.29656611  0.27336931 -0.23859175  0.33194026 -0.11196748],594,0.9942500799874657,[ 0.08233616 -0.51857336  0.16811874 -0.3929143   0.18651023 -0.35929456  0.21571969 -0.34620916  0.22364435 -0.30547445  0.23821327 -0.25693328  0.28809875 -0.19455762  0.3537874  -0.08243719],853
graphs/main/nodes_9/depth_3//4.gml,0.8049135781880619,[ 0.22927908 -0.29857766],33,0.8698400235600228,[ 0.19833418 -0.34689626  0.47499674 -0.23367764],74,0.902149966881549,[ 0.16198038 -0.4013872   0.36856691 -0.2630548   0.43545085 -0.17914154],101,0.9292323614692728,[ 0.1623838  -0.44155088  0.32795187 -0.28014411  0.37828509 -0.19883863  0.46897595 -0.15486551],158,0.9470537903406954,[ 0.14288023 -0.47216595  0.30739195 -0.35580291  0.3472922  -0.24493395  0.40056517 -0.19718932  0.46056661 -0.1446854 ],228,0.9479248307074848,[ 0.14142129 -0.46971476  0.30619412 -0.36010106  0.3405523  -0.23210596  0.40447342 -0.18044998  0.55783991 -0.11954931  1.29298438  0.05294727],488,0.9743451214475012,[ 0.11399997 -0.46472963  0.25451256 -0.36269132  0.29981084 -0.33048731  0.35310478 -0.27754052  0.37312401 -0.19646276  0.41818055 -0.17281421  0.5184577  -0.11107876],440,0.9754303772623668,[ 0.11160033 -0.45800121  0.24722819 -0.35446683  0.29610292 -0.33345257  0.34455151 -0.28118375  0.37017507 -0.19289129  0.41178923 -0.16194976  0.59232058 -0.09971096  1.26605009  0.0469605 ],797
graphs/main/nodes_9/depth_3//5.gml,0.7677533669553538,[ 0.25401578 -0.34361223],35,0.8462101563955958,[ 0.19385055 -0.46032084  0.35744033 -0.28675439],62,0.8873742396337246,[ 0.17638888 -0.51308545  0.32275867 -0.37962277  0.39615184 -0.20761923],115,0.9158132698571128,[ 0.16835814 -0.55686822  0.30461657 -0.45998696  0.36590664 -0.32583255  0.39115516 -0.19921835],191,0.9413574216936688,[ 0.15927236 -0.54555759  0.28945122 -0.47107072  0.3340084  -0.37588167  0.34964186 -0.29459352  0.37742055 -0.17662813],282,0.9620476341053508,[ 0.14517238 -0.54672887  0.27951899 -0.46504404  0.30615516 -0.38247428  0.32091043 -0.34987321  0.34160408 -0.27174794  0.38410542 -0.16031063],553,0.9755827442961844,[ 0.13033523 -0.55522864  0.26108407 -0.45796993  0.29118369 -0.38218979  0.30054476 -0.35852537  0.31694487 -0.33023454  0.35418628 -0.24628824  0.38893251 -0.13289241],539,0.9838336913859023,[ 0.11776299 -0.5594462   0.24145343 -0.45544923  0.27213064 -0.37865379  0.29220745 -0.36410895  0.302341   -0.34409667  0.3274187  -0.30466284  0.36054973 -0.21147024  0.39588468 -0.10916971],612
graphs/main/nodes_9/depth_3//6.gml,0.8289610169445492,[ 0.2298247  -0.31892661],36,0.9055168406203,[ 0.18751735 -0.44847029  0.34167885 -0.2887506 ],69,0.939240169371086,[ 0.15065927 -0.46838447  0.3011413  -0.35310194  0.33282379 -0.19440532],106,0.9589709338352028,[ 0.13342332 -0.49148265  0.2638325  -0.381513    0.29280834 -0.27141719  0.34203744 -0.15944977],192,0.9705344291606024,[ 0.12047465 -0.50975536  0.24325716 -0.40247824  0.26682862 -0.3074143   0.31016394 -0.2307697   0.34710841 -0.12281068],375,0.9777038895539606,[ 0.11034378 -0.51048805  0.22216081 -0.39876437  0.25001828 -0.33756926  0.29363656 -0.27140667  0.32090217 -0.18832929  0.3637835  -0.09630427],425,0.9777038895539606,[ 0.11034378 -0.51048805  0.22216081 -0.39876437  0.25001828 -0.33756926  0.29363656 -0.27140667  0.32090217 -0.18832929  0.3637835  -0.09630427  0.          0.        ],2142,0.9777038895539606,[ 0.11034378 -0.51048805  0.22216081 -0.39876437  0.25001828 -0.33756926  0.29363656 -0.27140667  0.32090217 -0.18832929  0.3637835  -0.09630427  0.          0.          0.          0.        ],3312
graphs/main/nodes_9/depth_3//7.gml,0.8010984294760476,[ 0.22025612 -0.30292384],37,0.8600921253315353,[ 0.17977955 -0.41581165  0.37746399 -0.2545152 ],70,0.8959769901333926,[ 0.15340866 -0.43331549  0.30664055 -0.31462879  0.37107874 -0.19992248],96,0.9177079091795116,[ 0.13478487 -0.45666667  0.27441241 -0.33774977  0.30923906 -0.27433265  0.40656931 -0.17443558],173,0.9328305399340114,[ 0.12479886 -0.48707254  0.25539009 -0.36504621  0.28009661 -0.29870813  0.34181653 -0.25371302  0.41285178 -0.15441244],309,0.9456783264124416,[ 0.12057967 -0.48230299  0.23784409 -0.37054506  0.2616954  -0.32075715  0.30051868 -0.27262692  0.34052081 -0.23524     0.4208022  -0.14419701],348,0.9520417961138044,[-0.19767351  0.09774981  0.35868371 -0.39104302  0.24889218 -0.37182162  0.28710315 -0.30170467  0.30264476 -0.26971467  0.35239694 -0.22960201  0.42597364 -0.13738453],564,0.9639090258670627,[ 0.11101552 -0.49018539  0.22147828 -0.36764855  0.23765199 -0.33112883  0.27531754 -0.30820384  0.29387251 -0.28037581  0.31373511 -0.24609002  0.37418792 -0.21364098  0.4517484  -0.11516524],733
graphs/main/nodes_9/depth_3//8.gml,0.7924993236072231,[ 0.21861416 -0.31099785],34,0.8596746897180216,[ 0.18020151 -0.44971457  0.34075952 -0.28345508],61,0.9001616685484164,[ 0.1558373  -0.47265638  0.29987403 -0.37449523  0.3512479  -0.21621268],127,0.9292192184055026,[ 0.14553733 -0.50506426  0.27819628 -0.42113353  0.31639976 -0.32158546  0.35984044 -0.19792925],210,0.9501866590828556,[ 0.1280088  -0.49754939  0.25641047 -0.41670803  0.28517375 -0.35169374  0.32423069 -0.28889817  0.36398167 -0.16480881],263,0.9655080237486402,[ 0.11901255 -0.50451571  0.23884573 -0.40342371  0.25951608 -0.35452066  0.29741319 -0.32681403  0.33147619 -0.25761003  0.37525976 -0.14318902],324,0.9756793505574164,[ 0.10914245 -0.51711591  0.22368396 -0.40407425  0.2454537  -0.34965961  0.2750361  -0.33279157  0.30621407 -0.29459003  0.35125202 -0.22217985  0.38934031 -0.11298812],578,0.9829147398391936,[ 0.10295526 -0.5196004   0.20992355 -0.40493581  0.23245383 -0.35008327  0.26405556 -0.33388975  0.28486472 -0.30639822  0.32655436 -0.26139579  0.36968423 -0.18294229  0.41007392 -0.09294286],787
graphs/main/nodes_9/depth_3//9.gml,0.7800469215885278,[ 0.26016282 -0.33776479],32,0.8383849209748071,[ 0.19315894 -0.44799117  0.38756637 -0.25019443],66,0.8751026290120305,[ 0.18132928 -0.50702416  0.33559216 -0.36196123  0.4164442  -0.20986383],109,0.9089537758420154,[ 0.18011326 -0.52520294  0.31895908 -0.43480876  0.35452185 -0.33588231  0.39263753 -0.22002487],179,0.9323858243288748,[ 0.15605559 -0.51414569  0.30245829 -0.4271473   0.32589571 -0.36388288  0.34692974 -0.30102391  0.39045498 -0.17037322],268,0.9471975593192764,[ 0.1429035  -0.53501313  0.28672488 -0.42807935  0.31931766 -0.3800595   0.33168779 -0.34844238  0.3556296  -0.25667866  0.41999522 -0.14072558],448,0.9566292678714174,[ 0.12858595 -0.53328894  0.26451718 -0.4227832   0.29980325 -0.37528763  0.32317725 -0.36725453  0.33780665 -0.3084167   0.37865464 -0.21996076  0.43044686 -0.11435586],570,0.9649433414825201,[ 0.12957493 -0.54411793  0.26059462 -0.42554805  0.2920534  -0.37658882  0.3164254  -0.37166175  0.33518867 -0.33659958  0.36762699 -0.27540093  0.3951543  -0.19675873  0.45636743 -0.10978962],652
