path,p_1,p_1_angles,p_1_nfev,p_2,p_2_angles,p_2_nfev,p_3,p_3_angles,p_3_nfev,p_4,p_4_angles,p_4_nfev,p_5,p_5_angles,p_5_nfev,p_6,p_6_angles,p_6_nfev,p_7,p_7_angles,p_7_nfev,p_8,p_8_angles,p_8_nfev
graphs/main/nodes_9/depth_3//0.gml,0.8321699762927111,[ 0.18155817 -0.27067053],80,0.873173313759404,[ 0.15200198 -0.38830433  0.34849363 -0.22626505],185,0.9030431677058216,[ 0.13203638 -0.39628185  0.27575489 -0.2839708   0.32855656 -0.19168519],268,0.9224590885731856,[ 0.11758812 -0.40425178  0.24621641 -0.29829044  0.26923645 -0.25724317  0.37299993 -0.16208915],526,0.9365637421455454,[ 0.10984946 -0.42840731  0.22610783 -0.30223203  0.23938988 -0.27194165  0.29495902 -0.22341184  0.37190457 -0.15096763],660,0.948123910962309,[ 0.10521932 -0.43886252  0.20782967 -0.31221819  0.22422682 -0.28186997  0.26750794 -0.24567032  0.29573954 -0.21519472  0.37222042 -0.13955242],909,0.956726895430097,[ 0.10133985 -0.44524285  0.19915339 -0.31747424  0.21079591 -0.29073984  0.254374   -0.25337604  0.26640134 -0.23379525  0.29687    -0.19819023  0.37898869 -0.12313562],1047,0.9630626975493735,[ 0.0964813  -0.45340077  0.19274955 -0.32630695  0.20342058 -0.29594194  0.24223186 -0.26254718  0.25895618 -0.24628649  0.27361058 -0.22298645  0.31744702 -0.18099423  0.40078071 -0.10453651],1528
graphs/main/nodes_9/depth_3//1.gml,0.8633556523987231,[ 0.20176794 -0.28622575],74,0.904693581231815,[ 0.15078591 -0.37526104  0.37302927 -0.20136687],175,0.9273246655416588,[ 0.13828373 -0.41926341  0.28786292 -0.26315688  0.38059866 -0.16003079],388,0.9399006825857052,[ 0.11689685 -0.44051557  0.26109823 -0.31181337  0.31568711 -0.22822333  0.43253648 -0.13934085],776,0.9514215322675372,[ 0.11820408 -0.43542039  0.23623234 -0.28868927  0.26461656 -0.2513089   0.33559734 -0.19690201  0.41916712 -0.13875465],972,0.9613096437053672,[ 0.11563111 -0.4416731   0.23226739 -0.30111549  0.24958769 -0.24566497  0.27796483 -0.21708173  0.33620001 -0.20000329  0.41140582 -0.1273624 ],1163,0.968088910088839,[ 0.10572889 -0.45782286  0.22404272 -0.31148963  0.24421241 -0.2618321   0.27591059 -0.22229232  0.28616671 -0.21834054  0.34487811 -0.18937338  0.4291829  -0.10847858],1494,0.97390637460715,[ 0.10424828 -0.45576477  0.21224778 -0.30771474  0.23377227 -0.25999962  0.256456   -0.23125564  0.27844834 -0.22623211  0.27807735 -0.20760855  0.33422174 -0.17225615  0.41247969 -0.10701658],2038
graphs/main/nodes_9/depth_3//2.gml,0.8398355929483818,[ 0.23370823 -0.32583565],68,0.9004892007823172,[ 0.18632696 -0.43793545  0.37315908 -0.24951925],174,0.9364387081276588,[ 0.16337404 -0.47360331  0.32080437 -0.33606896  0.39557801 -0.19605983],333,0.9546676042418536,[ 0.13938357 -0.5054956   0.28829715 -0.38351134  0.34561008 -0.28481859  0.4023686  -0.16474046],698,0.9669435815324194,[ 0.13009678 -0.51752536  0.26809352 -0.39015871  0.31523983 -0.3264209   0.36566058 -0.2479534   0.41611962 -0.12792128],1187,0.9755677478021856,[ 0.12412702  1.04821737  0.24968574 -0.40248955  0.28623993 -0.33268692  0.32366015 -0.30178251  0.37180863 -0.22848538  0.42209204 -0.12496635],1532,0.983996116345577,[ 0.12178127 -2.09581922  0.24813736 -0.40446325  0.28568632 -0.35401428  0.32380152 -0.32834411  0.34507993 -0.28664003  0.38985232 -0.22658865  0.42541049 -0.12103571],2060,0.9901447818639154,[ 0.11569588 -0.5375497   0.24460828 -0.4112707   0.27934636 -0.34343073  0.3028114  -0.31752014  0.32280047 -0.28639125  0.34699333 -0.27010553  0.38926573 -0.21094403  0.42872447 -0.10707627],2328
graphs/main/nodes_9/depth_3//3.gml,0.7876649655566912,[ 0.20004836 -0.29609863],85,0.8650332151997754,[ 0.17858966 -0.45960074  0.30812583 -0.31944847],178,0.9136900170043604,[ 0.1542086  -0.48525166  0.27960104 -0.44004756  0.32510259 -0.25196684],405,0.9471013047030352,[ 0.12851029 -0.48423125  0.24354483 -0.42326104  0.25958693 -0.35418503  0.31247223 -0.22686372],633,0.9705933289406832,[ 0.11678019 -0.48331918  0.21857073 -0.3919212   0.21122416 -0.34428196  0.25711283 -0.32671232  0.31121063 -0.1958666 ],762,0.9840475934027602,[ 0.09996663 -2.06046662  0.19984564 -0.39351336  0.20573312 -0.35461585  0.22913214 -0.33183741  0.2633154  -0.29148631  0.32261035 -0.15463163],1051,0.9906769702949276,[ 0.09079113 -0.49649184  0.1791393  -0.38039205  0.19472502 -0.36616267  0.22407454 -0.33590246  0.23099837 -0.29853237  0.27441666 -0.24075903  0.33293084 -0.11323936],1678,0.9928576553030459,[ 0.08150603 -0.4760719   0.13752712 -0.28603296  0.1430677  -0.32482705  0.19217353 -0.32936089  0.21278073 -0.30969436  0.22834878 -0.27586336  0.28098914 -0.21909294  0.34273371 -0.09636435],2092
graphs/main/nodes_9/depth_3//4.gml,0.8049135781884593,[ 0.22927953 -0.29857746],99,0.8698368715252113,[ 0.19717282 -0.34823424  0.47367292 -0.23384206],181,0.9021459456684262,[ 0.16082092 -0.40257252  0.36658291 -0.26338054  0.434922   -0.17978959],329,0.9292307450378984,[ 0.1614342  -0.44179814  0.32715227 -0.28036004  0.37817174 -0.19925743  0.46887359 -0.15490417],517,0.9470395469045146,[ 0.14262031 -0.47472148  0.30526135 -0.35705717  0.34626619 -0.2476392   0.4000334  -0.1986188   0.45840075 -0.14608335],972,0.9644263794124108,[ 0.13827646 -2.04025877  0.28417024 -0.36750473  0.32525058 -0.31256864  0.37622969 -0.21065257  0.4011409  -0.18992721  0.49870507 -0.1343228 ],1294,0.9738291828491734,[ 0.12067386 -0.43917436  0.22318195 -0.29978929  0.2550759  -0.30582618  0.32525714 -0.26939849  0.36866068 -0.19962802  0.39699088 -0.172024    0.49484351 -0.11627595],1496,0.9813073783116383,[ 0.11760236 -0.47528074  0.23331746 -0.31487366  0.23381103 -0.27682084  0.27323511 -0.2634537   0.32708719 -0.25174993  0.36262668 -0.17768075  0.40706229 -0.15814514  0.51204955 -0.10070897],1863
graphs/main/nodes_9/depth_3//5.gml,0.7677533577811004,[ 0.25408189 -0.34360443],46,0.8462101509577054,[ 0.19388106 -0.46026881  0.35744331 -0.28673826],174,0.8873734877802617,[ 0.17611534 -0.51247765  0.32261003 -0.3791144   0.39585551 -0.20741505],454,0.9157928686103046,[ 0.16846329 -2.12654348  0.30543596 -0.45644451  0.36583568 -0.3228598   0.39084739 -0.19593001],688,0.9413104798587646,[ 0.15671274 -2.11560525  0.28809765 -0.4725992   0.33120413 -0.37902164  0.35011429 -0.2978626   0.37744203 -0.18055643],1063,0.9619269044896944,[ 0.14260012 -2.11281035  0.27501968 -0.46003652  0.3019388  -0.38494826  0.32368708 -0.35983899  0.34436532 -0.27604761  0.3853162  -0.16261068],1273,0.9753100115880404,[ 0.13020294 -0.54861747  0.25717738 -0.44785457  0.28537484 -0.38024278  0.30474998 -0.3664298   0.3292135  -0.33582887  0.36252517 -0.24409862  0.3918409  -0.12834543],1641,0.9837319907407667,[ 0.11673812 -2.12439241  0.23721331 -0.44606423  0.2647917  -0.37148301  0.2859127  -0.359193    0.30066024 -0.34887179  0.32949396 -0.31028442  0.36171706 -0.21567055  0.39639948 -0.11246261],2023
graphs/main/nodes_9/depth_3//6.gml,0.8289610169445637,[ 0.22982468 -0.31892652],79,0.9055167428607126,[ 0.18756309 -0.44818154  0.34172862 -0.28867025],175,0.9392229128863544,[ 0.14912294 -0.46504855  0.29910991 -0.3511854   0.3310611  -0.19529012],389,0.9589301583953568,[ 0.13025413 -0.4871901   0.260474   -0.37782985  0.29213084 -0.27473398  0.34313507 -0.16149817],610,0.970357277609029,[ 0.11801431 -2.06727606  0.23313031 -0.38973802  0.26023293 -0.31449443  0.31749815 -0.23592226  0.34826698 -0.12442748],865,0.9776074249025296,[ 0.10943645 -2.0713952   0.21463821 -0.38583586  0.24488872 -0.34113924  0.29680423 -0.27445925  0.3256361  -0.18827899  0.36416878 -0.09499085],1164,0.9836307853267356,[ 0.11298758 -2.08682249  0.21720145 -0.39538192  0.23578567 -0.3416435   0.28787464 -0.31460484  0.31200024 -0.23680097  0.34398126 -0.16508054  0.37712688 -0.09342465],1782,0.9893278351477776,[ 0.10936396  2.62286028  0.2154743  -0.40345143  0.23410863 -0.34883753  0.27578375 -0.32388702  0.30313496 -0.28350639  0.33216775 -0.21718305  0.35377706 -0.16378957  0.37221411 -0.09034256],2355
graphs/main/nodes_9/depth_3//7.gml,0.8010984294760826,[ 0.22025611 -0.30292366],82,0.8600919652559703,[ 0.17980555 -0.41540244  0.37751933 -0.25437226],178,0.8959761427756014,[ 0.15311969 -0.43385643  0.30625608 -0.31488623  0.37107179 -0.20044106],335,0.9176898562540344,[ 0.13364868 -0.45407226  0.27152832 -0.33634013  0.3072567  -0.27608966  0.40662663 -0.17611465],610,0.932809539642026,[ 0.12415552 -0.48813572  0.2559379  -0.36473815  0.27818553 -0.29440228  0.33959698 -0.25165573  0.41235988 -0.15330504],868,0.945620755504636,[ 0.11929404 -0.47990079  0.23455104 -0.3683823   0.2589153  -0.3171342   0.29405421 -0.26850526  0.33438425 -0.23691787  0.41943383 -0.14688597],1152,0.9558544778224576,[ 0.11850525 -0.49155378  0.23006873 -0.36561997  0.24064448 -0.32411926  0.28379359 -0.29102529  0.29157325 -0.25163663  0.34492291 -0.22327918  0.42333813 -0.13436028],1481,0.9634455840645718,[ 0.10737673 -0.48618534  0.21852549 -0.37012414  0.23594408 -0.32067767  0.2564167  -0.28729781  0.2792979  -0.26683043  0.29107192 -0.22561461  0.33818    -0.20615694  0.42622934 -0.1188264 ],1843
graphs/main/nodes_9/depth_3//8.gml,0.7924993235883808,[ 0.21861703 -0.31099707],69,0.8596743645297626,[ 0.18030338 -0.44917038  0.34088067 -0.28329238],177,0.9001584145675896,[ 0.15505797 -0.47167257  0.29913756 -0.37396563  0.35066768 -0.21642343],387,0.929184203223846,[ 0.14373915 -0.50428026  0.27640904 -0.42261262  0.31326973 -0.32392409  0.3589749  -0.20117121],696,0.9501613502217696,[ 0.1256265  -0.49647559  0.25409983 -0.41555937  0.28201692 -0.35190478  0.32310981 -0.28983082  0.36321774 -0.16636369],981,0.9654728576797448,[ 0.1201737  -0.50246981  0.236616   -0.39639307  0.25476697 -0.35209629  0.29646089 -0.32833156  0.33153277 -0.25917153  0.37567122 -0.14437522],1291,0.9756280812871558,[ 0.10718664 -0.52083621  0.2224032  -0.40575139  0.2440366  -0.34761284  0.27090469 -0.33113542  0.30045469 -0.29632179  0.34742914 -0.22650643  0.38656385 -0.1169062 ],1654,0.9828703764498107,[ 0.10121621 -0.5151788   0.20460135 -0.40096547  0.23035662 -0.3528041   0.26302077 -0.33259217  0.28128184 -0.30788654  0.32307981 -0.26472874  0.36712511 -0.18724824  0.40896946 -0.09555379],2041
graphs/main/nodes_9/depth_3//9.gml,0.7800469215885323,[ 0.2601628  -0.33776475],86,0.8383848187100065,[ 0.19320259 -0.44771148  0.38768859 -0.25004694],137,0.8750936352389982,[ 0.18182778 -0.50576037  0.33588744 -0.35881394  0.41588753 -0.20852051],397,0.9089493266821784,[ 0.17942463 -2.09515187  0.31861749 -0.43418071  0.35486186 -0.33679285  0.39313639 -0.22105812],604,0.9323666414002832,[ 0.15392667 -2.08232217  0.30013875 -0.42613062  0.3244786  -0.36595734  0.34798568 -0.30249543  0.39025514 -0.17133848],949,0.9471574589818884,[ 0.14162399 -0.53258253  0.28269004 -0.4231098   0.31568591 -0.37976804  0.3322178  -0.35150193  0.35782283 -0.25884298  0.42013776 -0.14165728],1275,0.956546934765458,[ 0.1297232  -0.52917869  0.26112042 -0.41167415  0.29072252 -0.36829452  0.32009395 -0.36658575  0.33743688 -0.31043288  0.38131957 -0.2201752   0.42984743 -0.11379433],1770,0.9647943990417798,[ 0.13230266 -0.54529477  0.26057786 -0.41545491  0.28055796 -0.36303596  0.30730301 -0.36609664  0.33138784 -0.33667144  0.36795544 -0.27586079  0.39490454 -0.19645176  0.45612556 -0.10921187],2519
