path,p_1,p_1_angles,p_1_nfev,p_2,p_2_angles,p_2_nfev,p_3,p_3_angles,p_3_nfev,p_4,p_4_angles,p_4_nfev,p_5,p_5_angles,p_5_nfev,p_6,p_6_angles,p_6_nfev,p_7,p_7_angles,p_7_nfev,p_8,p_8_angles,p_8_nfev
graphs/main/nodes_9/depth_3//0.gml,0.8321699762239914,[ 0.18155991 -0.27067566],23,0.8731896427719473,[ 0.1514472  -0.39330753  0.3463655  -0.23009824],68,0.9030450021712476,[ 0.13236211 -0.39600304  0.27594381 -0.28330082  0.32855338 -0.19042974],95,0.92248160535077,[ 0.11731682 -0.40690308  0.25028846 -0.30241626  0.27128589 -0.25656957  0.37289973 -0.16165755],157,0.936601818435921,[ 0.10819336 -0.42752779  0.22399579 -0.30469879  0.24374067 -0.27815889  0.29827178 -0.22469243  0.37222374 -0.15092168],211,0.9481384766321156,[ 0.10489124 -0.44064174  0.20707255 -0.31149813  0.22317608 -0.28302051  0.2706046  -0.24940136  0.29765481 -0.21553908  0.37231064 -0.1392586 ],263,0.9567594473119132,[ 0.09991673 -0.44309855  0.19719753 -0.31773659  0.21108313 -0.29094764  0.25193941 -0.25395363  0.27028667 -0.23937492  0.30048514 -0.19921264  0.37930301 -0.12298561],347,0.9630816408698978,[ 0.09674809 -0.4552459   0.19201227 -0.32495135  0.2029705  -0.29741033  0.24271183 -0.26205959  0.2572979  -0.24776849  0.27668423 -0.2265923   0.31952624 -0.18196553  0.40122193 -0.10497771],445
graphs/main/nodes_9/depth_3//1.gml,0.8633556464348736,[ 0.20171863 -0.2862189 ],18,0.904693953398343,[ 0.1505048  -0.37578651  0.37285404 -0.20153908],61,0.9273285439500007,[ 0.13944372 -0.41941933  0.28946758 -0.26323581  0.38115433 -0.1595833 ],107,0.9399843448238542,[ 0.12376502 -0.43855389  0.27161667 -0.31401305  0.32325574 -0.22874254  0.44000056 -0.13924092],161,0.95152844699531,[ 0.11530045 -0.43896588  0.24140202 -0.30349121  0.27778373 -0.26117558  0.3449524  -0.2012565   0.42067299 -0.13826158],233,0.9613879587122606,[ 0.11536393 -0.43605734  0.2250162  -0.29374375  0.24651408 -0.2526375   0.28473661 -0.22540808  0.34035324 -0.20450037  0.41287754 -0.1286905 ],248,0.9682494103777756,[ 0.10824122 -0.45997029  0.22479436 -0.30485347  0.23501604 -0.25451321  0.27442891 -0.23205448  0.30045294 -0.23593709  0.3549615  -0.19597935  0.43615615 -0.11115432],343,0.9740064302140895,[ 0.10429917 -0.4546715   0.2131869  -0.3104382   0.23750908 -0.2610158   0.25238234 -0.22352943  0.27416925 -0.22587673  0.28220765 -0.21067646  0.34024797 -0.17568713  0.42976194 -0.10758863],423
graphs/main/nodes_9/depth_3//2.gml,0.8398355924044422,[ 0.23370017 -0.32581999],27,0.9004894032459719,[ 0.18610496 -0.43829448  0.37306888 -0.24964957],63,0.9364398535833784,[ 0.16396865 -0.47390326  0.32104732 -0.33626453  0.39559622 -0.19606436],103,0.9546936878179346,[ 0.14154576 -0.50423944  0.29019908 -0.3829046   0.34939009 -0.28371392  0.4040114  -0.16158805],155,0.9670482036494314,[ 0.13159847 -0.52592038  0.26893411 -0.39907068  0.3158683  -0.32369366  0.36431171 -0.24878626  0.41412554 -0.1303112 ],235,0.9757636571326722,[ 0.12507492 -0.52569268  0.25744352 -0.41363145  0.30241295 -0.34121611  0.33228573 -0.3002134   0.37548838 -0.22379264  0.42203375 -0.12223275],489,0.9840657042848552,[ 0.12381305 -0.52847024  0.2541972  -0.41277601  0.2932039  -0.35663409  0.32546912 -0.32467081  0.34368131 -0.28197977  0.38809056 -0.22436097  0.42534704 -0.11975045],455,0.9902955698807006,[ 0.11506534 -0.53406439  0.24174671 -0.40863559  0.27820328 -0.34640538  0.30728662 -0.3287552   0.3320436  -0.30062287  0.35241089 -0.27324384  0.38803604 -0.20974781  0.42641169 -0.10439658],461
graphs/main/nodes_9/depth_3//3.gml,0.7876649655388187,[ 0.20004893 -0.29609519],19,0.8650345843133963,[ 0.1783345  -0.46045167  0.30785454 -0.31952174],76,0.9137044505817666,[ 0.15347103 -0.48786378  0.2783503  -0.44081118  0.32554596 -0.25338102],119,0.9471323570529064,[ 0.13068219 -0.48834492  0.24411138 -0.43075894  0.26223154 -0.35482381  0.31230455 -0.22651161],177,0.9706338310660216,[ 0.11558903 -0.48372841  0.21916465 -0.39723522  0.2159682  -0.35048305  0.25913497 -0.32566718  0.31083291 -0.19404051],306,0.9841197426930356,[ 0.1030972  -0.49817049  0.20418342 -0.40022338  0.20580859 -0.34961172  0.22880634 -0.3306581   0.26280588 -0.28849443  0.32215037 -0.15230621],415,0.9907562119668564,[ 0.09096299 -0.50904273  0.18546124 -0.39480983  0.19744186 -0.36068792  0.22176401 -0.3343065   0.23145715 -0.29661294  0.27343228 -0.23857613  0.33195923 -0.11195775],430,0.9942500576527983,[ 0.0823756  -0.51860864  0.16815116 -0.39279591  0.18645061 -0.3592021   0.21569415 -0.34616762  0.22361504 -0.30542159  0.23823164 -0.25691259  0.28800713 -0.19444261  0.35363538 -0.08241704],467
graphs/main/nodes_9/depth_3//4.gml,0.8049135780740584,[ 0.2292872 -0.2985741],21,0.8698400066788851,[ 0.19840865 -0.34688234  0.47502618 -0.23360913],63,0.902149965705806,[ 0.16198764 -0.40137536  0.36857114 -0.263075    0.43542267 -0.17914995],99,0.9292323590246232,[ 0.16238666 -0.44157223  0.32795649 -0.28016232  0.37826395 -0.1988377   0.46890274 -0.15487136],152,0.94705377411766,[ 0.14292017 -0.47228449  0.30744284 -0.35591173  0.34736502 -0.24492086  0.40057943 -0.19721553  0.46054943 -0.14471662],231,0.9644473555073728,[ 0.14142624 -0.46968746  0.28762232 -0.3663604   0.32570418 -0.31077236  0.37727709 -0.21045876  0.4009439  -0.18940216  0.49862664 -0.1333356 ],285,0.9743450935578069,[ 0.11392743 -0.46466733  0.25438253 -0.36261931  0.29973166 -0.33049476  0.35308631 -0.27751117  0.37307344 -0.19644585  0.41824622 -0.1727724   0.51860958 -0.11107126],402,0.9815129574765841,[ 0.11651359 -0.46681214  0.21800401 -0.29299638  0.22907175 -0.29646436  0.29584638 -0.28317893  0.34082494 -0.26179136  0.36907061 -0.17915137  0.4140163  -0.15781651  0.51873694 -0.10094464],475
graphs/main/nodes_9/depth_3//5.gml,0.7677533667109548,[ 0.25401448 -0.34360001],25,0.8462101512183502,[ 0.19387756 -0.46029858  0.35741352 -0.2867237 ],62,0.8873742387173584,[ 0.17638604 -0.51308583  0.32276388 -0.37964319  0.39614402 -0.20761563],131,0.915813255889568,[ 0.16838955 -0.55692179  0.30459565 -0.46001506  0.36595515 -0.3258122   0.39112127 -0.19920218],180,0.9413573868228394,[ 0.15919823 -0.54555124  0.28941246 -0.47110735  0.33393426 -0.37591184  0.3496793  -0.29471582  0.37745093 -0.17671392],251,0.9620476261711682,[ 0.14515757 -0.54672581  0.27949011 -0.46498586  0.30610223 -0.38243537  0.32087889 -0.34985476  0.34156953 -0.27176858  0.38409072 -0.16031556],308,0.9755827186478836,[ 0.13030893 -0.55520491  0.26102898 -0.45788255  0.29107072 -0.38211677  0.30053555 -0.35850837  0.31691927 -0.33021275  0.35421542 -0.24630715  0.38892046 -0.13286826],352,0.983833685041957,[ 0.11776162 -0.55937672  0.24144157 -0.45536639  0.2720886  -0.37861872  0.29220336 -0.36410215  0.30232869 -0.34412058  0.3274017  -0.30466955  0.36051955 -0.21147265  0.39588906 -0.1091758 ],416
graphs/main/nodes_9/depth_3//6.gml,0.8289610168378678,[ 0.22982289 -0.31891909],25,0.905516840563024,[ 0.18752105 -0.44846716  0.34167786 -0.28875115],65,0.9392401613008194,[ 0.15067114 -0.46836551  0.3011277  -0.35314851  0.33279813 -0.19445792],108,0.9589709303049156,[ 0.13339762 -0.49154248  0.2638274  -0.38155461  0.2928203  -0.271431    0.34202437 -0.15946263],166,0.970534405828312,[ 0.12054371 -0.50975822  0.24329858 -0.40240752  0.26677644 -0.30733082  0.31010774 -0.2308229   0.34713225 -0.12286662],233,0.9777038594870622,[ 0.11033697 -0.51049663  0.22211733 -0.39877698  0.25005998 -0.33766048  0.29372911 -0.27149168  0.32095054 -0.18835938  0.36364539 -0.0963476 ],261,0.9836708235712692,[ 0.11053218 -0.51839472  0.2183581  -0.4046684   0.23977374 -0.34454234  0.28634977 -0.312884    0.31110029 -0.23757067  0.34406096 -0.16535112  0.3763339  -0.09233357],362,0.9893509904659259,[ 0.10903857 -0.51974453  0.21778778 -0.40788298  0.23555033 -0.34907124  0.27444279 -0.32336623  0.30345249 -0.28538948  0.33141625 -0.21863888  0.35032619 -0.1657042   0.37096958 -0.09285462],581
graphs/main/nodes_9/depth_3//7.gml,0.8010984152108626,[ 0.2203388  -0.30288822],21,0.8600921085542929,[ 0.1797026  -0.41582101  0.37748617 -0.25447848],55,0.895976983899089,[ 0.15340126 -0.43338994  0.30664422 -0.31465635  0.37106145 -0.19993034],101,0.917707905616054,[ 0.13479915 -0.45669316  0.2744156  -0.33776584  0.30926304 -0.27432504  0.40656179 -0.17446501],156,0.9328305053309348,[ 0.12474519 -0.48693833  0.25532784 -0.36494349  0.27999665 -0.29867783  0.34177098 -0.25362969  0.41270081 -0.15438685],202,0.9456783208553914,[ 0.12055788 -0.48235029  0.23783002 -0.37054112  0.26169058 -0.3207304   0.30051066 -0.27260003  0.34054916 -0.23521795  0.42083873 -0.14417567],308,0.955986640159034,[ 0.11574771 -0.48583648  0.22787969 -0.36830273  0.24656842 -0.33136665  0.28819337 -0.29628293  0.30001932 -0.25771776  0.35752658 -0.22400355  0.42907378 -0.13108014],363,0.9639090214993653,[ 0.11102937 -0.49017423  0.22149473 -0.36765003  0.23766303 -0.33113814  0.27535831 -0.30822045  0.29388574 -0.28035362  0.31376183 -0.24610578  0.37427181 -0.2136294   0.45183375 -0.11514924],636
graphs/main/nodes_9/depth_3//8.gml,0.7924993234881663,[ 0.21860986 -0.31100544],22,0.859674689263062,[ 0.18019566 -0.4497175   0.3407465  -0.28345885],57,0.900161668079017,[ 0.15583646 -0.47265768  0.29986315 -0.37448487  0.35124988 -0.21621467],104,0.9292192144563948,[ 0.14553216 -0.50508759  0.27818001 -0.4210984   0.31637774 -0.3215798   0.35982816 -0.19791192],157,0.9501866556775777,[ 0.12801457 -0.49755325  0.25641724 -0.41670717  0.2851638  -0.35170073  0.32420793 -0.28892088  0.36396463 -0.16479063],227,0.9655080161430528,[ 0.11902999 -0.50454267  0.2388412  -0.40346039  0.25950383 -0.35451699  0.29738597 -0.32682133  0.33144092 -0.25758803  0.37524238 -0.14317382],265,0.9756793262700044,[ 0.10907551 -0.51700535  0.22360089 -0.40402316  0.24545587 -0.34974377  0.27509102 -0.33286877  0.30625603 -0.29465175  0.35121007 -0.22220628  0.38927995 -0.11300391],350,0.9829147374881391,[ 0.10296131 -0.51960968  0.20993544 -0.40495482  0.23246341 -0.35007904  0.26405136 -0.33389488  0.28486515 -0.3063942   0.32652671 -0.26138531  0.36964364 -0.18294355  0.41007567 -0.09292806],416
graphs/main/nodes_9/depth_3//9.gml,0.7800469214126379,[ 0.26016148 -0.33775475],25,0.8383849204934788,[ 0.19316763 -0.44798713  0.38755653 -0.2501994 ],60,0.8751026275189322,[ 0.18132494 -0.50704536  0.33559112 -0.36198622  0.41642594 -0.20988349],155,0.9089537610413214,[ 0.18013112 -0.5251499   0.31896696 -0.43475289  0.35451869 -0.33590109  0.3925752  -0.22003814],167,0.9323858206871384,[ 0.15607125 -0.51415648  0.30247583 -0.42715714  0.32592081 -0.36389968  0.34692259 -0.3010255   0.39046994 -0.17033539],227,0.9471975553771737,[ 0.14292903 -0.53501937  0.28675099 -0.42809895  0.31933766 -0.38005321  0.33167175 -0.34843625  0.35562699 -0.25668094  0.41995629 -0.14073488],278,0.95662924897733,[ 0.12851864 -0.53334294  0.26451135 -0.42278754  0.29983199 -0.37531256  0.32319306 -0.36726616  0.33781749 -0.30840061  0.37867091 -0.21993694  0.43053891 -0.11430939],347,0.9649433183858014,[ 0.12959199 -0.54412282  0.26066803 -0.42562891  0.29220793 -0.3767122   0.31649069 -0.37170858  0.33527275 -0.33660536  0.36767228 -0.27539937  0.39522151 -0.19674148  0.45631935 -0.10978638],618
