path,p_1,p_1_angles,p_1_nfev,p_2,p_2_angles,p_2_nfev,p_3,p_3_angles,p_3_nfev,p_4,p_4_angles,p_4_nfev,p_5,p_5_angles,p_5_nfev,p_6,p_6_angles,p_6_nfev,p_7,p_7_angles,p_7_nfev,p_8,p_8_angles,p_8_nfev
graphs/main/nodes_9/depth_3//0.gml,0.8321699762853905,[ 0.18155983 -0.27067058],132,0.873170405685214,[ 0.15456625 -0.39574179  0.34455119 -0.23245674],675,0.9030263991637912,[ 0.13428633 -0.39265034  0.2768646  -0.2809023   0.32821687 -0.1908678 ],1183,0.9223786676420986,[ 0.11260898 -0.4045989   0.24536321 -0.30049306  0.26938271 -0.2592708   0.3662506  -0.15950022],4086,0.9362025769080768,[ 0.10174909 -0.43056087  0.21228615 -0.300882    0.24034252 -0.2745976   0.29295122 -0.21482103  0.36101758 -0.15461821],9790,0.9424850905367982,[ 0.08943722 -0.37091583  0.18383992 -0.24380113  0.19191799 -0.25385688  0.23860166 -0.24706334  0.30067195 -0.19826338  0.37619035 -0.143912  ],4693,0.9563912950339792,[ 0.09952865 -0.45145491  0.19307353 -0.30773814  0.20266049 -0.28880476  0.25075904 -0.25724646  0.26080402 -0.23617746  0.29621489 -0.19622832  0.37046748 -0.13360066],14460,0.9571748407711844,[ 0.0854967  -0.38880708  0.12760403 -0.26543926  0.19130201 -0.27891023  0.20324325 -0.22711311  0.22884395 -0.22189506  0.25161745 -0.21275044  0.25452014 -0.16397457  0.33687513 -0.12664613],5984
graphs/main/nodes_9/depth_3//1.gml,0.8633556523972438,[ 0.20176709 -0.28622609],105,0.9045890117826088,[ 0.14399921 -0.37915297  0.37052776 -0.20406972],580,0.9266067258073386,[ 0.12092732 -0.42463134  0.27292041 -0.2638149   0.37239094 -0.16400253],5362,0.938631796991452,[ 0.11623634 -0.41888415  0.24311411 -0.27218243  0.26885853 -0.20060087  0.37652251 -0.13330073],8982,0.9512592553949614,[ 0.11420197 -0.43149048  0.23127705 -0.28057932  0.2589768  -0.25340081  0.32722998 -0.19984126  0.41140238 -0.13954014],4774,0.9512592553949614,[ 0.11420197 -0.43149048  0.23127705 -0.28057932  0.2589768  -0.25340081  0.32722998 -0.19984126  0.41140238 -0.13954014  0.          0.        ],6396,0.9632909028893956,[ 0.08379927 -0.30125484  0.12041248 -0.27836984  0.23327959 -0.28431195  0.25810722 -0.23948474  0.28262714 -0.19278081  0.29444013 -0.19101994  0.39722312 -0.12798962],10080,0.9663148072411787,[ 0.09283499 -0.22684125  0.01562779 -0.24806926  0.22074149 -0.33862307  0.2702754  -0.26837728  0.24966714 -0.18300294  0.25279443 -0.21339694  0.31939768 -0.17753765  0.38045139 -0.1102356 ],12903
graphs/main/nodes_9/depth_3//2.gml,0.839835592972017,[ 0.23370491 -0.32583623],96,0.900483576401036,[ 0.18586923 -0.43837679  0.37480011 -0.24989366],1885,0.9364109553928114,[ 0.16071423 -0.47439209  0.31910579 -0.33702231  0.39507715 -0.19778543],3542,0.9543613564426652,[ 0.1351311  -0.5015669   0.28388499 -0.37637421  0.33956168 -0.27873789  0.38561342 -0.1615307 ],7704,0.9570953936639176,[ 0.10482203 -0.26653565  0.08619146 -0.3147669   0.2757063  -0.35022673  0.34886333 -0.27405026  0.40628376 -0.15793219],3916,0.966982114069254,[ 0.11254812 -0.44496977  0.15777942 -0.24993587  0.2039524  -0.30872046  0.26245873 -0.23354257  0.29161394 -0.19362996  0.36198617 -0.12391274],8164,0.97577024010144,[ 0.10226795 -0.38178429  0.11242484 -0.27405873  0.22692032 -0.35422079  0.29316112 -0.30359961  0.28179224 -0.22659609  0.31936302 -0.19998019  0.40536306 -0.11864152],6060,0.9775900331066639,[ 0.08843689 -0.39373951  0.14180806 -0.30997138  0.20547126 -0.25865105  0.17625118 -0.21839923  0.25560002 -0.26487549  0.29272107 -0.20210848  0.27739121 -0.15036004  0.33825278 -0.10748251],7548
graphs/main/nodes_9/depth_3//3.gml,0.787664965450192,[ 0.20004378 -0.29610591],147,0.8649029692275292,[ 0.17725628 -0.47029782  0.30511894 -0.32316809],585,0.913604512375628,[ 0.15064126 -0.48250435  0.27823046 -0.43299167  0.31989219 -0.24518314],1064,0.9469259945466584,[ 0.12314118 -0.47846816  0.2419535  -0.42660417  0.26124716 -0.36697361  0.31855206 -0.23119873],5904,0.9580286722325762,[ 0.12730215 -0.43375959  0.19331688 -0.31290313  0.18424362 -0.30001778  0.22006075 -0.22741132  0.25343151 -0.17874367],1848,0.9807907780050412,[ 0.10809157 -0.46738848  0.17848284 -0.33023541  0.17967283 -0.36147792  0.23778105 -0.31719551  0.23672882 -0.25087877  0.28427333 -0.162361  ],9035,0.984284655443695,[ 0.08929051 -0.41021262  0.15435476 -0.35198325  0.20506482 -0.37719689  0.19737967 -0.24381103  0.14871225 -0.22650297  0.21536626 -0.2472939   0.31101683 -0.1522501 ],11100,0.9895717911458214,[ 0.07906235 -0.45755759  0.14369501 -0.32022216  0.14842469 -0.28993677  0.16318114 -0.27384039  0.18081292 -0.25531775  0.19772722 -0.2311343   0.20504861 -0.18380784  0.27958248 -0.11693698],4063
graphs/main/nodes_9/depth_3//4.gml,0.8049135781787928,[ 0.22927729 -0.2985774 ],201,0.8698394676276665,[ 0.19885455 -0.34657802  0.47535503 -0.23382342],940,0.9020854904031964,[ 0.15627502 -0.40476037  0.36410488 -0.26276976  0.43463881 -0.18099496],3318,0.9287870942110068,[ 0.16437113 -0.44690489  0.32057776 -0.280426    0.36835152 -0.1842751   0.47916905 -0.15533912],4545,0.9469259632366516,[ 0.13601698 -0.4692217   0.2981956  -0.35249077  0.34310087 -0.24804157  0.397411   -0.19540234  0.46558741 -0.14255884],5786,0.9546622996629808,[ 0.14222932 -0.44831329  0.29136212 -0.33131947  0.27993409 -0.21772277  0.26596609 -0.16684346  0.34026361 -0.17367549  0.42827776 -0.13571227],4940,0.9675976194465198,[ 0.1128776  -0.43354337  0.22576336 -0.32055053  0.27789294 -0.30101804  0.23295516 -0.18850641  0.30896946 -0.18557955  0.34321025 -0.1837482   0.44181902 -0.13555374],17730,0.9729207229739806,[ 0.10266908 -0.20478499  0.05132056 -0.30277554  0.24661968 -0.3081519   0.24981209 -0.25633455  0.27850303 -0.23260122  0.34597962 -0.19228015  0.36789064 -0.16336518  0.45476907 -0.11745418],14994
graphs/main/nodes_9/depth_3//5.gml,0.7677266980827302,[ 0.25127786 -0.34118914],444,0.8462033441429957,[ 0.19332897 -0.46259695  0.35733183 -0.28683283],800,0.8871769232854195,[ 0.17040387 -0.51845736  0.3220606  -0.38059176  0.38772949 -0.21084099],2856,0.9153613313296264,[ 0.16046117 -0.55729638  0.29637414 -0.45899795  0.35418649 -0.31574247  0.38652145 -0.20095022],7650,0.94106769145925,[ 0.15515443 -0.53845858  0.28448525 -0.46816746  0.32643826 -0.38109593  0.34874308 -0.30496704  0.38097346 -0.18964705],21010,0.9574726923388264,[ 0.13915381 -0.51580403  0.27273619 -0.45339193  0.29005492 -0.34113298  0.29334782 -0.30562409  0.30080862 -0.24620883  0.36985085 -0.16844286],20891,0.9677672984679724,[ 0.13087276 -0.50577601  0.2229292  -0.35643872  0.21256687 -0.32664233  0.25651059 -0.29238091  0.26711734 -0.29400024  0.32347637 -0.25282479  0.38576068 -0.15338994],5700,0.9733431454099863,[ 0.10751267 -0.41666498  0.13135581 -0.28957667  0.21346983 -0.36463923  0.22284678 -0.27852953  0.25345213 -0.32082872  0.2949453  -0.30834423  0.35230922 -0.22216007  0.34674558 -0.11824928],4760
graphs/main/nodes_9/depth_3//6.gml,0.8289567732322538,[ 0.2291356  -0.32039944],171,0.9054945797227394,[ 0.18504216 -0.44819042  0.34247768 -0.28718278],695,0.939195659611404,[ 0.14652674 -0.46831534  0.2997976  -0.35354367  0.33291768 -0.19751324],1169,0.9588339489711616,[ 0.1290005  -0.48987819  0.2598689  -0.38235506  0.29270034 -0.28080442  0.34865139 -0.16787368],6507,0.9613950571073676,[ 0.08331977 -0.24267005  0.094399   -0.34514589  0.24656239 -0.34851919  0.28423301 -0.25277233  0.33998778 -0.15679587],3674,0.9683608455523492,[ 0.07437906 -0.23326175  0.06120939 -0.2867137   0.16828369 -0.30911527  0.23903291 -0.3245404   0.31275698 -0.23062872  0.33472081 -0.12471071],4927,0.975688269992526,[ 0.09132152 -0.39432113  0.10830171 -0.27149988  0.18086443 -0.27750307  0.18926442 -0.26076326  0.25076915 -0.23055082  0.26610796 -0.16311858  0.34292939 -0.10138414],7125,0.9815064327228912,[ 0.07684334 -0.38351952  0.12079361 -0.32286734  0.1847072  -0.30420897  0.19688058 -0.263333    0.23308412 -0.2303667   0.246753   -0.19522587  0.29449695 -0.15270812  0.34228354 -0.08429003],5491
graphs/main/nodes_9/depth_3//7.gml,0.8010984294757221,[ 0.22025599 -0.30292327],117,0.8600620990811965,[ 0.18325688 -0.41690477  0.37729528 -0.25566175],1455,0.8958022741621482,[ 0.15178806 -0.42789969  0.29898778 -0.30675359  0.35846758 -0.20025263],2646,0.90843954044877,[ 0.1237093  -0.37326698  0.16937042 -0.23414013  0.26377815 -0.28783399  0.38918632 -0.1827855 ],3159,0.9313056718745736,[ 0.11828651 -0.47333007  0.24233833 -0.3345572   0.25487442 -0.26926232  0.30226842 -0.2231807   0.37859931 -0.15966757],11341,0.9423818057486368,[ 0.11522842 -0.45876043  0.20087418 -0.29821899  0.23410197 -0.32487702  0.29028997 -0.25803975  0.30646018 -0.22886929  0.37414884 -0.14725893],9438,0.9531009800437896,[ 0.10066069 -0.47537883  0.20472402 -0.3546455   0.23010824 -0.32317454  0.27157213 -0.2816127   0.28415657 -0.21530759  0.26784718 -0.19139461  0.38661928 -0.14375168],8130,0.9598179520910636,[ 0.09603403 -0.43961551  0.16459604 -0.28956647  0.18996765 -0.306629    0.22767564 -0.27782511  0.25956951 -0.25731667  0.25834277 -0.22411226  0.32279169 -0.21546891  0.40939813 -0.13113183],14042
graphs/main/nodes_9/depth_3//8.gml,0.7924993236001531,[ 0.21861569 -0.31099635],132,0.8596649742122107,[ 0.18193419 -0.44933267  0.34076609 -0.2842849 ],760,0.9001288491807056,[ 0.15375755 -0.46829313  0.29893444 -0.37406314  0.34962982 -0.21772976],2156,0.9288325965191396,[ 0.14030137 -0.49875477  0.27092449 -0.40896736  0.30078517 -0.31393315  0.35651659 -0.19561676],4968,0.9444502104065982,[ 0.13401995 -0.4893225   0.23843134 -0.34060831  0.20134418 -0.27285879  0.28201662 -0.28789829  0.34944686 -0.18098648],7227,0.9557324075667846,[ 0.0851365  -0.33173836  0.11562616 -0.31428101  0.23378365 -0.38331125  0.29161033 -0.34562429  0.32913462 -0.27350001  0.37389329 -0.15761253],8086,0.9618883713926244,[-0.05943602 -0.38801952  0.08167694 -0.68793261  0.21889083 -0.39514453  0.22742994 -0.32524138  0.26823836 -0.31944114  0.31471058 -0.29302446  0.37117318 -0.16460221],4140,0.9760879523313543,[ 0.10598321 -0.49197247  0.17198562 -0.281462    0.16723681 -0.28590378  0.18739029 -0.24493389  0.21906561 -0.28406851  0.28450417 -0.29715474  0.34187271 -0.24445222  0.3693931  -0.12197219],15283
graphs/main/nodes_9/depth_3//9.gml,0.780046919936816,[ 0.26016709 -0.33779533],168,0.8383767910541179,[ 0.19161584 -0.44655543  0.38672965 -0.24952736],720,0.8750999220272362,[ 0.18073759 -0.50696578  0.33546893 -0.36281821  0.41631723 -0.21108774],1701,0.9089104905157251,[ 0.18133379 -0.52301153  0.31896912 -0.42998028  0.35146067 -0.33172488  0.3916088  -0.2208887 ],7983,0.9322150566580458,[ 0.15831403 -0.50506813  0.30222709 -0.42752379  0.33037031 -0.3687025   0.35075178 -0.3029188   0.38672628 -0.16717124],14289,0.9468547148941876,[ 0.14001826 -0.5265241   0.28498612 -0.42324855  0.31180204 -0.37333698  0.32359322 -0.34113116  0.34495335 -0.24871814  0.41240574 -0.13982288],14326,0.9468547148941876,[ 0.14001826 -0.5265241   0.28498612 -0.42324855  0.31180204 -0.37333698  0.32359322 -0.34113116  0.34495335 -0.24871814  0.41240574 -0.13982288  0.          0.        ],12390,0.9468547148941876,[ 0.14001826 -0.5265241   0.28498612 -0.42324855  0.31180204 -0.37333698  0.32359322 -0.34113116  0.34495335 -0.24871814  0.41240574 -0.13982288  0.          0.          0.          0.        ],7378
