path,p_1,p_1_angles,p_1_nfev,p_2,p_2_angles,p_2_nfev,p_3,p_3_angles,p_3_nfev,p_4,p_4_angles,p_4_nfev,p_5,p_5_angles,p_5_nfev
graphs/main/nodes_9/depth_3//0.gml,0.8242509640421845,[ 0.2 -0.2],27,0.865934826008954,[ 0.11518398 -0.42651153  0.34216525 -0.17679388],81,0.8936481157483159,[ 0.17182301 -0.3622899   0.28945425 -0.2         0.31343662 -0.2       ],111,0.9136437900215024,[ 0.12998113 -0.36903586  0.2        -0.2         0.21676855 -0.20226833  0.36197836 -0.16597524],175,0.9136437900215024,[ 0.12998113 -0.36903586  0.2        -0.2         0.21676855 -0.20226833  0.36197836 -0.16597524  0.          0.        ],243
graphs/main/nodes_9/depth_3//1.gml,0.8614108371175765,[0.21178897 1.31804425],23,0.8904535750278645,[ 0.13606534 -0.29176053  0.23690487 -0.17462704],70,0.92185190096971,[ 0.14172816 -0.3740571   0.27218445 -0.2         0.29386392 -0.14563475],114,0.92185190096971,[ 0.14172816 -0.3740571   0.27218445 -0.2         0.29386392 -0.14563475  0.          0.        ],174,0.933235716327762,[ 0.12636109 -0.34077875  0.20471423 -0.14520758  0.09597799 -0.14448547  0.24960982 -0.16966942  0.26492161 -0.10116698],260
graphs/main/nodes_9/depth_3//2.gml,0.8375691664050494,[ 0.21905365 -0.29676105],36,0.8892127881769729,[ 0.2        -0.35826225  0.31218603 -0.2       ],77,0.9039598848656694,[ 0.17723598 -0.32148094  0.2        -0.12919729  0.30744681 -0.2       ],119,0.9222579237820866,[ 0.09537062 -0.24858217  0.2        -0.4016751   0.26932567 -0.24983308  0.30074486 -0.1645085 ],174,0.948626570298275,[ 0.08510643 -0.48066297  0.17142162 -0.28826364  0.2        -0.2         0.2        -0.22469807  0.3312222  -0.18191182],261
graphs/main/nodes_9/depth_3//3.gml,0.7865864799472823,[-0.17995518  0.31152755],22,0.8622125442933791,[ 0.18098863 -0.4229719   0.30446298 -0.33101106],87,0.8999980459524676,[ 0.13939334 -0.46211839  0.22246655 -0.31936765  0.248643   -0.20811707],135,0.8999980459524676,[ 0.13939334 -0.46211839  0.22246655 -0.31936765  0.248643   -0.20811707  0.          0.        ],189,0.958046570833458,[ 0.14962524 -0.48357159  0.24450103 -0.40403274  0.16714336 -0.2203563   0.24160041 -0.29069515  0.29315612 -0.19344532],337
graphs/main/nodes_9/depth_3//4.gml,0.799661542330328,[ 0.21174851 -0.24961931],30,0.8621647886835536,[ 0.26183456  1.29039276  0.60360748 -0.22838941],77,0.8946870854960541,[ 0.1885499  -0.36291135  0.30676384 -0.2         0.35575875 -0.19762132],113,0.8987927948049143,[ 0.10807868 -0.34576999  0.25934492 -0.2         0.21139415 -0.08857468  0.27375734 -0.2       ],174,0.9083930162697169,[ 0.07089959 -0.2         0.1299994  -0.33115937  0.38896793 -0.2064627   0.4020256   1.46865521  0.21412314 -0.06867078],261
graphs/main/nodes_9/depth_3//5.gml,0.7651411314839065,[ 0.23737999 -0.30914545],35,0.8358307080410791,[ 0.2        -0.41973941  0.3103539  -0.21504787],70,0.8745453480305277,[ 0.13709166 -0.45357407  0.26944916 -0.2860942   0.31789299 -0.18997437],145,0.8863749708678009,[ 0.16724189 -0.50189571  0.2         1.30253035  0.2571739  -0.23547784  0.30664059 -0.19429237],205,0.8969251816849743,[ 0.16811834 -0.32153796  0.06060386 -0.16928218  0.2        -0.22038472  0.207074   -0.28425554  0.35503704 -0.2       ],282
graphs/main/nodes_9/depth_3//6.gml,0.8255385877010012,[ 0.20239082 -0.35588881],32,0.8849802203926905,[ 0.2        -0.38933809  0.2604834  -0.26900277],71,0.9220547281876976,[ 0.11036718 -0.3860072   0.26631954 -0.37126692  0.3205187  -0.31126214],125,0.9412339524391956,[ 0.11835426 -0.34992481  0.2        -0.29479244  0.25003573 -0.26099195  0.26081062 -0.19675045],189,0.9442297500527231,[-0.17328284 -0.2         0.08638486  0.59534117  0.2300016  -0.22837659  0.26759867 -0.27542769  0.30370664 -0.21237067],260
graphs/main/nodes_9/depth_3//7.gml,0.7839868105487964,[ 0.22968021 -0.2       ],25,0.8507229463067039,[ 0.14481218 -0.48186616  0.39826834 -0.25251628],62,0.8659988049091853,[ 0.1694246  -0.31319875  0.2        -0.13633762  0.37619623 -0.23088057],113,0.8919882139146663,[ 0.15991004 -0.34149259  0.2        -0.23416626  0.28322039 -0.16436499  0.17512257 -0.13464163],175,0.8985865859022549,[ 0.11538965 -0.37107289  0.2        -0.17897067  0.17721323 -0.2         0.26296773 -0.03855928  0.18777634 -0.14412027],224
graphs/main/nodes_9/depth_3//8.gml,0.7729428882778218,[ 0.21642014 -0.2       ],25,0.8291238629340882,[ 0.2        -0.30719938  0.23950621 -0.2       ],63,0.8866028172402685,[ 0.1231271  -0.4204253   0.25468287 -0.4086103   0.34592195 -0.2       ],120,0.8994519085271702,[ 0.14901276 -0.41874849  0.21730576 -0.19460782  0.09159883 -0.19328542  0.32064622 -0.21984303],178,0.9127449784983207,[ 0.12447244 -0.37643714  0.15440615 -0.1913117   0.19314513 -0.30142219  0.2493614  -0.10360703  0.2        -0.13451963],242
graphs/main/nodes_9/depth_3//9.gml,0.7739884750440154,[ 0.20758547 -0.35184968],29,0.8201332954287657,[ 0.21501542 -0.23515105 -0.53265123  0.2357553 ],72,0.8566480107175614,[ 0.18241921  1.15573407  0.24603959 -0.26960417  0.30105305 -0.22397885],164,0.874387472367479,[ 0.2         1.16590014  0.2        -0.25566583  0.26371062 -0.24317059  0.30175459 -0.2       ],188,0.8919100578005288,[ 0.12204008 -0.39146777  0.23787797 -0.31785034  0.15990088 -0.22568151  0.25535257 -0.2         0.3557877  -0.2       ],259
graphs/main/nodes_9/depth_3//10.gml,0.8297696074365037,[ 0.2        -0.35638545],31,0.8845168005807339,[ 0.2        -0.35571898  0.37160184 -0.2       ],66,0.9106644627032904,[ 0.16796183 -0.38069056  0.25642582 -0.2         0.28736998 -0.14020004],114,0.9217020088556448,[ 0.12180841 -0.44226056  0.21156262 -0.28683668  0.23991205 -0.16709617  0.23040916 -0.16524163],177,0.9302991554458396,[ 0.07483075 -0.27704662  0.15850392 -0.29152427  0.20005338 -0.15853147  0.18529631 -0.14555676  0.27072702 -0.11806808],244
graphs/main/nodes_9/depth_3//11.gml,0.792247562689441,[ 0.2        -0.21299294],26,0.8428597415996182,[ 0.14565159 -0.30747593  0.2        -0.2       ],64,0.890522995380802,[ 0.2        -0.44175311  0.23301182 -0.26350865  0.22518032 -0.21526965],111,0.8955050484450936,[ 0.15786775 -0.34943987  0.2        -0.2         0.24520576 -0.1245988   0.29689655 -0.17419453],175,0.9344305648830087,[ 0.13509873 -0.40364529  0.1313934  -0.2         0.19186674 -0.24756618  0.2        -0.28713654  0.38806709 -0.21271955],280
graphs/main/nodes_9/depth_3//12.gml,0.8550101426610531,[ 0.2        -0.26722192],27,0.8775920846972198,[ 0.10856884 -0.22496938  0.24410262 -0.19946364],73,0.912025469530344,[ 0.10654088 -0.40162148  0.2        -0.15263491  0.24355326 -0.17876922],122,0.9285801522061972,[ 0.11704704 -0.45086469  0.2146872  -0.27229226  0.2        -0.24980727  0.29760232 -0.2       ],160,0.9340836860136037,[ 0.1019054  -0.27531657  0.06082718 -0.18558914  0.21161324 -0.2         0.2        -0.12313191  0.28815114 -0.15695586],223
graphs/main/nodes_9/depth_3//13.gml,0.8207537845532514,[ 0.24114468 -0.26326587],30,0.8914051057382587,[ 0.2        -0.31077598  0.30243962 -0.21194447],80,0.9348828050768988,[ 0.2        -0.43446429  0.22535751 -0.20672748  0.2901866  -0.18102331],147,0.9483100385783636,[ 0.14398876 -0.42356136  0.1885263  -0.25791445  0.25599949 -0.20068906  0.30357658 -0.17582184],231,0.9483100385783636,[ 0.14398876 -0.42356136  0.1885263  -0.25791445  0.25599949 -0.20068906  0.30357658 -0.17582184  0.          0.        ],415
graphs/main/nodes_9/depth_3//14.gml,0.7737712604979514,[0.2474578  1.26171633],32,0.8255033154349702,[ 0.2        -0.39570566  0.2746011  -0.2       ],72,0.8876637388308671,[ 0.18101443 -0.51907667  0.29372481 -0.42780184  0.36299336 -0.20022836],143,0.8982727781704529,[ 0.12202001 -0.29416969  0.2        -0.35086804  0.25772854 -0.28991236  0.35973971 -0.2       ],174,0.9348731087956873,[ 0.14335912 -0.47305537  0.27291408 -0.38892069  0.2        -0.21136778  0.2        -0.20950325  0.29087335 -0.17754181],244
graphs/main/nodes_9/depth_3//15.gml,0.8393665526625929,[ 0.2        -0.25629981],22,0.8740011697201424,[ 0.11487312 -0.32273333  0.30197483 -0.2       ],76,0.8913924108873774,[ 0.12652307 -0.32028572  0.2        -0.19197601  0.44420462 -0.13305579],123,0.8993523160513688,[ 0.17992123 -0.35192024  0.25355622 -0.14880811  0.14769779 -0.06271929  0.34708187 -0.14893259],191,0.9121417273849025,[ 0.08352521  1.16414969  0.2        -0.22164268  0.34893181 -0.27627085  0.36304381 -0.10852916 -0.32083892  0.04858635],244
graphs/main/nodes_9/depth_3//16.gml,0.8046860455716015,[ 0.27415143 -0.2       ],30,0.8743869381396513,[ 0.18134029 -0.37549242  0.28539736 -0.21611811],79,0.8938298657410384,[ 0.2        -0.40978987  0.23881265 -0.1949071   0.31763108 -0.2       ],125,0.9010125755640476,[ 0.125358    1.21289783  0.2        -0.25398517  0.28996774 -0.22937169 -0.25689788  0.10018704],175,0.9096454810734992,[ 0.08890252 -0.49815638  0.22337498 -0.29585019  0.25707925 -0.14498731  0.07620414 -1.55164291  0.11796426 -0.11295335],411
graphs/main/nodes_9/depth_3//17.gml,0.7965439451487434,[ 0.2        -0.23762095],21,0.8341317364628262,[ 0.14563966 -0.22011802  0.25228392 -0.2       ],74,0.8887314079254561,[ 0.14766772 -0.39203989  0.22179536 -0.2         0.31622185 -0.17222863],117,0.9228437840442664,[ 0.10835272  1.13535819  0.1998476  -0.3666931   0.25890678 -0.30525809  0.30092364 -0.2       ],190,0.9410878376005266,[ 0.15820837  1.09049542  0.2        -0.27723993  0.24279085 -0.32151564  0.33752429 -0.1974101   0.31824943 -0.15010561],225
graphs/main/nodes_9/depth_3//18.gml,0.807872933108341,[ 0.2        -0.23474922],28,0.860266848561634,[ 0.17455289 -0.40928694  0.33685273 -0.28601311],81,0.8843804489078383,[ 0.169475    1.21278636  0.25191229 -0.22592521  0.304875   -0.2       ],111,0.8891335092671555,[ 0.15689998 -0.42333189  0.1269488  -0.05249213  0.13413548 -0.30269495  0.29279864 -0.2       ],177,0.8964448121094267,[ 0.06600768 -0.25298756 -0.18900007  0.10369204  0.2886728  -0.2         0.23782859 -0.2557978   0.2620998  -0.20056194],224
graphs/main/nodes_9/depth_3//19.gml,0.826767199659629,[ 0.2 -0.2],26,0.8646249696386639,[ 0.13019978 -0.28287056  0.3009775  -0.12650815],74,0.897598512254883,[ 0.1976084  -0.34193736  0.25867269 -0.2         0.28757984 -0.2       ],119,0.926171630322296,[ 0.11452265 -0.33847078  0.22883582 -0.2         0.24501209 -0.2627951   0.31600709 -0.19527902],174,0.9324998166083545,[ 0.11967411 -0.36424641  0.2        -0.2         0.09878471 -0.19150269  0.18664291 -0.2150166   0.34129967 -0.12437362],239
graphs/main/nodes_9/depth_3//20.gml,0.8756483265767927,[ 0.2        -0.28411833],33,0.9166731508180902,[ 0.16766382 -0.30140773  0.42637029 -0.19829024],66,0.9310764128867228,[ 0.12289417 -0.2306563   0.2        -0.2         0.30389234 -0.1955184 ],110,0.9464748027671082,[ 0.10481845 -0.2         0.09514767 -0.2         0.2        -0.19521252  0.24877828 -0.18449199],173,0.9684180748946045,[ 0.08976599 -0.30488057  0.10155794 -0.21823725  0.2        -0.28129764  0.26107794 -0.2         0.34864031 -0.09835836],241
graphs/main/nodes_9/depth_3//21.gml,0.8570317456639862,[ 0.2 -0.2],28,0.9153026281056326,[ 0.2        -0.34923435  0.45980837 -0.15728501],72,0.937008441129242,[ 0.14452177 -0.37505595  0.25908071 -0.17535811  0.35269285 -0.2       ],116,0.9507427619038468,[ 0.12538247  1.16009332  0.28821322 -0.28216772  0.33241127 -0.1147494   0.24747563 -0.12091964],158,0.9507427619038468,[ 0.12538247  1.16009332  0.28821322 -0.28216772  0.33241127 -0.1147494   0.24747563 -0.12091964  0.          0.        ],225
