path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev
graphs/main/nodes_9/depth_3/0.gml,[-1.10610651  1.12230564],[ 1.06440976 -0.37702929  1.26739547 -0.63477563],[ 0.21943174 -0.62874959 -0.53399092 -1.54071823 -0.81379308 -1.16867256],[-0.97977782  1.44904006  1.19671392 -0.06618719  0.7629597  -1.08610314  1.30483251 -0.48980894],[ 0.41159305  0.58245514  0.9024522   0.76613502 -1.08131753  0.31884134  0.14839319  0.49583536  1.28632465  0.67268466],[-1.22219178 -0.79430784 -0.35820824  0.39932027  1.05092269 -1.03587952  0.16199113 -0.05395621  0.39426325 -1.09166603 -1.4680215  -0.03342427],[ 0.44331211 -1.54783753  0.57874204  1.56368351  0.13046325 -1.55586219 -0.36317194  1.16441738 -1.16413564  0.66033126  1.15189355 -1.09806074  0.97559731  0.93363172],[-1.24196352 -0.77493089 -1.56700075 -1.22065974 -0.73131773 -0.35847888  0.78333177  0.13690602  1.11244555  0.13100506  1.50922089  0.61294517 -0.95322242 -0.35325814 -0.30847567  1.54005013],0.7362805368935686,36
graphs/main/nodes_9/depth_3/1.gml,[-0.24857044  0.36911138],[ 0.98926013 -0.35876724  1.53831355  1.11480484],[-0.78315687  0.73096481  0.07617795  1.38612415  0.80835424 -1.21549056],[ 1.53093509 -0.97234929  0.21803897  0.5146878   0.80960675  0.27828912 -0.51927413 -1.10880943],[ 0.46661217 -0.95850314  1.09315324 -0.56577744  0.17650726  1.27366673 -1.13660017 -0.23361502  0.21329007  0.77630306],[-0.41902371 -0.19112992  1.12016465 -0.4234957   1.16464036  1.00099304 -0.46012671  1.48463956 -1.35922067 -0.9826568   1.45617853 -0.29216767],[ 0.40853911  0.62447059  0.09963883 -0.20167747  1.35188081 -0.6639446  -0.88228377  1.03510019  1.10704171  0.18896189  0.20111049 -1.39952932  0.6762225   0.90818392],[-0.69241981 -0.0276571   0.11508383  0.59709906 -0.91575822 -0.64286339  0.9315626   0.84518563 -0.90479046 -0.42044817  0.41251812 -1.00772848 -1.09717258  0.26830916  1.29673541  0.97573715],0.8437274668089577,38
graphs/main/nodes_9/depth_3/2.gml,[-0.25726676 -1.24587787],[ 0.19226682 -1.49384231  0.20455767  1.25091157],[-0.79840386 -0.79937538 -0.83340105 -0.86697258 -1.38294398  1.22043343],[-0.64638382 -0.39939992 -0.72008941 -0.87818446 -0.065957   -1.52261473 -0.99187329 -1.0468239 ],[ 1.25757407 -0.15220182  0.07701496  0.53290028  0.83821342 -1.08421823  1.44890512  0.5355162   1.38832491  1.14095973],[ 0.0339889   1.51081211  1.08390095 -0.20918359  0.60666957 -1.22246758 -0.45149373 -0.40244967 -1.47593888  0.14618893  0.26707594 -1.03938279],[-1.09899004  0.90394519  0.59221599  0.38850016 -0.31824527 -0.69201963 -1.44889165 -0.86221076  1.48162853 -0.72556816 -0.47339468 -0.42872593 -0.09335327 -0.40046525],[-1.17232669  0.13614606  0.52329268  0.57934783 -0.66555341  1.40676376 -1.03311758  1.20663633 -0.11035306 -1.35639914  1.52476554  0.31320667 -0.44315514  0.97697254 -0.95440846  0.36494722],0.838498511094811,34
graphs/main/nodes_9/depth_3/3.gml,[ 0.24011926 -0.31911549],[-0.99931555  1.37565537  0.99840676 -1.14895175],[ 0.60340819 -1.0226063   0.04156143  1.22638579  0.53372375  1.18309474],[-0.00240977  0.8667072   1.15099397  0.33683673  0.17382829  1.21161183 -0.01254987 -1.06861299],[-1.2037065   1.1467249  -0.05574587  0.15387728  1.29731432  1.48626558  0.04154912  1.51824678  1.40920322  0.49613707],[-1.19490099 -1.36450788  0.87344141 -1.56962723 -1.48161974 -1.31425116  1.14589953  1.56626135 -0.37146712 -0.30780903 -1.50672417  0.25609606],[-0.48534345 -0.28088841  1.23138663  0.59021372  0.14500689  0.33292712  0.24896132 -1.25390612  0.13642902  1.49998276  1.27074965 -0.41824746 -0.43066919 -1.02408175],[ 0.5080073  -0.61229081  0.74539783 -0.80676721  0.25235239  0.23193911 -0.79034424  0.60822169 -1.46740654  0.8876357  -1.21476966  0.58641518 -0.14793053 -0.05756323  0.42390336 -1.39751291],0.7829105831640343,35
graphs/main/nodes_9/depth_3/4.gml,[ 1.40496173 -0.41111985],[-1.09947905 -1.18875289 -1.41368983  1.4900827 ],[ 0.62605355 -1.54941572  1.35719974  0.7244593  -0.32767063  1.02752478],[ 0.69709115 -0.25109974  1.47386484 -0.79205429  1.37444761  0.80366162  1.04995663 -0.11425673],[-0.26842105  0.71891336 -0.28895585 -1.26603406 -0.25506789 -0.7540972  -1.04218137  0.53794513  0.87816208 -0.26204788],[-0.92977497  1.00581442 -0.15491824  0.56898277  0.98760398 -0.23771256 -0.58753461 -1.03418124 -1.40492609  1.0813824   0.86539013  0.01136381],[-0.42043748 -0.47201098 -0.97637863 -0.98267377  0.18254424  0.33779121  1.51870774 -0.2618589   1.38278295 -0.92771936 -0.05615637  0.30463543 -1.12414921  0.35733825],[-1.26863867  0.51507886 -0.62589341  0.0344149   0.04026154 -1.03161872  0.94240698 -0.10453731  0.27586709 -0.75718477 -0.47485111 -0.7352697   0.2414918  -0.20056384 -0.98491008  0.58760836],0.7729375658700947,32
graphs/main/nodes_9/depth_3/5.gml,[ 0.27488869 -0.30122078],[-1.23492702 -1.26732676  0.623832   -1.1076621 ],[-0.16884417 -0.06859977  1.51193616  1.47192019 -0.85862706 -0.93648898],[ 0.37061462 -0.77483917 -1.22796807 -0.19968722 -1.56647242  1.36777318 -0.33109579  1.18856914],[ 1.41023802  0.51998019 -0.38192978  0.84801915 -0.34614008 -1.36803429 -1.46171029  1.16725501 -0.37709181 -0.59470392],[ 1.30401487  0.62513766 -0.68191754  0.1264006  -1.11223864 -0.38685536  0.34313255  1.46029768  0.23946446 -1.24096889  0.22041901  1.00168109],[ 1.56950017  0.24660624  0.55361121  0.94695829 -0.72232115 -0.53151554 -0.19591506  1.34387489  0.29535285 -0.60822     1.19040269 -1.31635607 -0.59905114  0.69875611],[ 0.18389722 -0.81843233 -0.67504546 -0.77254613 -1.45853584 -0.82866905  1.29784823  0.21704286 -0.73993747 -0.81815292  0.12948055  0.06434031 -1.23998086  1.42845359 -0.97033506  0.54295855],0.7641592171195571,30
graphs/main/nodes_9/depth_3/6.gml,[1.32933005 0.3529427 ],[-1.48324527  0.16977552 -1.43019135 -1.5665501 ],[ 1.53430515 -0.42538379  1.0927071   1.51765819 -1.54357461  0.7029748 ],[ 0.94772664  0.10124954  0.27405752 -0.9066942   0.75810317  0.68598755 -1.34067529  0.60351241],[ 0.48611915 -0.03749088 -1.38990664  1.51273902 -0.04453558 -1.47754588  0.55567477  0.86187684 -0.85876992 -1.54043628],[ 0.6624312   0.00411165  1.15762972  1.31393055  0.13145553  0.14037376  0.85088535  0.11155138  1.10120906  1.13512831 -0.89192623  0.83109309],[-0.4442896   0.01905623  0.7804713  -0.97273082  0.89318634  0.19009053  1.45143624  1.18336756  0.27547804  1.34299323 -0.20071386  0.39035059  1.14735451 -1.50642365],[ 0.8081432   1.3178501  -0.47271804  1.07395551  1.09954298  0.21298946  1.47324913  1.0948179  -1.32081894  0.39526389  1.28627277  1.5563837  -1.12209585 -0.29536695  0.30316723 -0.19066047],0.777178395082265,37
graphs/main/nodes_9/depth_3/7.gml,[-0.11583449  0.28044762],[-0.23594411 -0.15996969 -0.40078154 -1.46329998],[-0.23262223  0.36091731 -1.51654121  1.13391136  0.76971783 -0.94609112],[-0.17247447 -1.31972609  1.15599113 -0.43833343  0.44611038 -0.83400577  1.38150342 -0.14781887],[-0.97883193 -1.56648142  0.0119989   0.46503214 -0.15608137  0.56272813 -1.31797986 -0.24260542 -1.11864081  1.513445  ],[-0.00997318 -1.31295347  1.08183925 -0.2446961   1.16133418  0.2823989   0.1957503  -0.22979902 -1.2013165   0.92078979  0.78528947 -0.81279527],[-0.76612876 -0.68971216 -0.10570813  0.84245767 -0.77571998 -0.57718468  0.99276614 -0.76439411  0.56151273 -0.0456579   0.5169295  -0.90153517  1.09036159 -1.35154433],[ 0.5841596   0.25028108 -0.21806826  0.93480627  0.22719993 -1.45951326 -0.57562669 -1.54682737 -1.20734533 -1.24921007  1.23522347 -0.46756756 -1.55750891  0.76800593  1.13960744 -0.1214048 ],0.7720423241250781,23
graphs/main/nodes_9/depth_3/8.gml,[-0.24567188 -1.26571955],[ 0.22015411  1.39556388 -0.23714778  0.40813199],[ 0.13779138 -0.36941707 -0.72629739 -0.90697271 -0.71031252 -0.14198729],[ 0.78193856 -0.31121619  1.42409215 -1.31042175 -0.83227633  0.03634052  0.21413156 -0.44025864],[ 0.68509205  1.50553073  0.54245207  0.16145462 -1.02194037  1.43427907  0.54522911  1.43532259 -1.55139513  0.03978677],[-1.36710474 -0.85291854 -0.87893314  0.099231   -0.70240679 -1.26232072 -0.37799773  1.29236581 -0.92270379 -1.25899179  1.35712589  0.52613466],[ 0.3291002  -0.21343792 -0.58779609  0.80109087  0.12107829  0.39833352  1.26525199  0.59456645 -0.40429561  1.52014779  1.21976662 -0.84935732 -1.43707073  1.194103  ],[-1.30427224 -1.28245021 -0.31540505 -1.15394051  0.8819926   0.18000342  0.82449896  0.794692    1.5628503  -1.47596724  0.80037901 -1.38020568  1.41033198  0.3707269   0.16206749 -0.00784457],0.7909875799056222,26
graphs/main/nodes_9/depth_3/9.gml,[-0.26628325 -1.23390682],[ 1.5106825   0.91668837 -1.3661479   1.46795282],[-0.29798713 -1.5008755   0.75813802  1.54595429 -0.54709683 -0.80584087],[-0.21504411  1.13109078  0.19986111 -1.23490549 -0.8496218   0.95377039  0.70828457  1.17819525],[-0.43887102 -1.37538352  0.63097973 -0.90578018  0.80831309  0.83414287 -0.6608807  -0.8982058   0.81596341  0.66632296],[ 0.73432335  0.89840815 -0.45260321  0.45632421  1.49085995  0.08424669  0.60939161 -0.64579966 -0.15536367 -1.42502444  0.97805137  0.84398352],[ 1.21411518 -1.4966125  -1.54979744  1.43241478 -1.07582632 -0.02886347 -1.06640416 -0.36432355 -0.35414452  0.15337288 -0.34195463 -0.99958098  1.46730249 -1.50143092],[ 1.26059005  1.18457927 -0.8579402   0.44152657 -1.41969506  0.29437439  0.0609893   0.13386064 -1.24082122 -1.55041455  1.37377944 -0.56345505 -0.92733614  0.89227812  0.13092748 -0.56704927],0.7799720036983738,39
