path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev,p_6,p_6_nfev,p_7,p_7_nfev,p_8,p_8_nfev
graphs/main/nodes_9/depth_3/0.gml,[-0.18348042 -1.30168241],[-0.18348042 -1.30168241  0.          0.        ],[-0.18348042 -1.30168241  0.          0.          0.          0.        ],[-0.18348042 -1.30168241  0.          0.          0.          0.          0.          0.        ],[-0.18348042 -1.30168241  0.          0.          0.          0.          0.          0.          0.          0.        ],[-0.18348042 -1.30168241  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],[-0.18348042 -1.30168241  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],[-0.18348042 -1.30168241  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],0.8321605225345854,17,0.8321605225345854,28,0.8321605225345854,42,0.8321605225345854,33,0.8321605225345854,41,0.8321605225345854,35,0.8321605225345854,49,0.8321605225345854,43
graphs/main/nodes_9/depth_3/1.gml,[-0.20249883 -1.33692615],[-0.20249883 -1.33692615  0.          0.        ],[-0.20249883 -1.33692615  0.          0.          0.          0.        ],[-0.20249883 -1.33692615  0.          0.          0.          0.          0.          0.        ],[-0.20249883 -1.33692615  0.          0.          0.          0.          0.          0.          0.          0.        ],[-0.20249883 -1.33692615  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],[-0.20249883 -1.33692615  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],[-0.20249883 -1.33692615  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],0.8585423668021792,17,0.8585423668021792,22,0.8585423668021792,25,0.8585423668021792,37,0.8585423668021792,31,0.8585423668021792,39,0.8585423668021792,39,0.8585423668021792,43
graphs/main/nodes_9/depth_3/2.gml,[1.30083727 0.36411123],[-1.0349551  -1.49920006  1.31537188 -0.3749549 ],[-1.0349551  -1.49920006  1.31537188 -0.3749549   0.          0.        ],[-1.0349551  -1.49920006  1.31537188 -0.3749549   0.          0.          0.          0.        ],[-1.0349551  -1.49920006  1.31537188 -0.3749549   0.          0.          0.          0.          0.          0.        ],[-1.0349551  -1.49920006  1.31537188 -0.3749549   0.          0.          0.          0.          0.          0.          0.          0.        ],[-1.0349551  -1.49920006  1.31537188 -0.3749549   0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],[-1.0349551  -1.49920006  1.31537188 -0.3749549   0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],0.7812813064868926,17,0.8387655682423673,19,0.8387655682423673,31,0.8387655682423673,40,0.8387655682423673,51,0.8387655682423673,43,0.8387655682423673,39,0.8387655682423673,44
graphs/main/nodes_9/depth_3/3.gml,[-1.40861563  1.00345179],[-1.41115847 -0.57325389 -0.34626323  0.38820755],[-1.41115847 -0.57325389 -0.34626323  0.38820755  0.          0.        ],[-0.42498177  1.23292823 -0.47126915  0.12977151  0.55137812 -0.96273789 -1.17784317  0.52602191],[ 0.2250274  -0.3134802  -1.14172284 -0.4299233   0.26324659  1.55983836  0.27978401 -0.10594038  1.29328004 -1.45963785],[-0.19205397  0.59620415  1.38375338 -1.1767399   0.24296846 -0.02095913  1.29815745  0.43809836 -1.50219639  0.84177021 -1.38103944 -0.08190772],[-1.48438296 -0.34184255  0.49926758  0.01310717  0.61699583  1.57079633  0.54951277 -0.46409946  0.30720457 -0.44364509  0.3091246  -0.42356809  0.39607592 -0.15810162],[-1.48438296 -0.34184255  0.49926758  0.01310717  0.61699583  1.57079633  0.54951277 -0.46409946  0.30720457 -0.44364509  0.3091246  -0.42356809  0.39607592 -0.15810162  0.          0.        ],0.7044128419168771,17,0.7163890985801411,20,0.7163890985801411,25,0.723086063589539,29,0.7339500237630262,31,0.7858081026668642,42,0.9091243644291817,57,0.9091243644291817,43
graphs/main/nodes_9/depth_3/4.gml,[ 1.33352886 -0.19447273],[ 1.33352886 -0.19447273  0.          0.        ],[ 1.33352886 -0.19447273  0.          0.          0.          0.        ],[ 0.32265799  1.5559378  -0.67803961  0.82060726  0.08458818  1.12599586 -0.45423155 -1.49934729],[ 0.32265799  1.5559378  -0.67803961  0.82060726  0.08458818  1.12599586 -0.45423155 -1.49934729  0.          0.        ],[ 0.32265799  1.5559378  -0.67803961  0.82060726  0.08458818  1.12599586 -0.45423155 -1.49934729  0.          0.          0.          0.        ],[-1.33871192  0.47924915  0.1460898  -0.78962686  1.57079633 -0.37566367 -1.36691271 -1.15619443 -1.08204755  1.39642568  0.68348036 -0.02745587 -1.13659072  0.07927625],[-1.33871192  0.47924915  0.1460898  -0.78962686  1.57079633 -0.37566367 -1.36691271 -1.15619443 -1.08204755  1.39642568  0.68348036 -0.02745587 -1.13659072  0.07927625  0.          0.        ],0.7629757946132906,24,0.7629757946132906,19,0.7629757946132906,23,0.8261760573111516,52,0.8261760573111516,31,0.8261760573111516,41,0.8697904181172499,69,0.8697904181172499,43
graphs/main/nodes_9/depth_3/5.gml,[-0.27384598 -1.19975987],[-0.27384598 -1.19975987  0.          0.        ],[-0.27384598 -1.19975987  0.          0.          0.          0.        ],[-0.27384598 -1.19975987  0.          0.          0.          0.          0.          0.        ],[-0.27384598 -1.19975987  0.          0.          0.          0.          0.          0.          0.          0.        ],[-0.27384598 -1.19975987  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],[-0.27384598 -1.19975987  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],[-0.27384598 -1.19975987  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],0.7656543753843419,21,0.7656543753843419,22,0.7656543753843419,23,0.7656543753843419,27,0.7656543753843419,34,0.7656543753843419,35,0.7656543753843419,71,0.7656543753843419,43
graphs/main/nodes_9/depth_3/6.gml,[ 0.23784355 -0.34532812],[ 0.23784355 -0.34532812  0.          0.        ],[ 1.30278537  1.57079633 -1.08042648  1.16426343  0.34885691 -0.36857238],[ 1.30278537  1.57079633 -1.08042648  1.16426343  0.34885691 -0.36857238  0.          0.        ],[ 1.30278537  1.57079633 -1.08042648  1.16426343  0.34885691 -0.36857238  0.          0.          0.          0.        ],[ 1.30278537  1.57079633 -1.08042648  1.16426343  0.34885691 -0.36857238  0.          0.          0.          0.          0.          0.        ],[-1.57079633 -1.25776592 -0.31727073 -1.37260143 -1.00350987  0.75025951  0.92935914  0.04024999 -1.00215442  0.33730911  0.35036916  1.05183434 -0.06156584  0.41535967],[-1.57079633 -1.25776592 -0.31727073 -1.37260143 -1.00350987  0.75025951  0.92935914  0.04024999 -1.00215442  0.33730911  0.35036916  1.05183434 -0.06156584  0.41535967  0.          0.        ],0.8275458120624835,48,0.8275458120624835,33,0.8898213059003445,42,0.8898213059003445,36,0.8898213059003445,71,0.8898213059003445,47,0.8957332798781875,101,0.8957332798781875,58
graphs/main/nodes_9/depth_3/7.gml,[-0.28981538  0.27251417],[-0.28981538  0.27251417  0.          0.        ],[-0.28981538  0.27251417  0.          0.          0.          0.        ],[-0.28981538  0.27251417  0.          0.          0.          0.          0.          0.        ],[-0.20607118 -1.50509348 -0.87040642 -0.04647366  0.95514918  0.19495344 -0.31773574 -1.15120732  0.03622299 -0.17633035],[-0.20607118 -1.50509348 -0.87040642 -0.04647366  0.95514918  0.19495344 -0.31773574 -1.15120732  0.03622299 -0.17633035  0.          0.        ],[-0.20607118 -1.50509348 -0.87040642 -0.04647366  0.95514918  0.19495344 -0.31773574 -1.15120732  0.03622299 -0.17633035  0.          0.          0.          0.        ],[-0.20607118 -1.50509348 -0.87040642 -0.04647366  0.95514918  0.19495344 -0.31773574 -1.15120732  0.03622299 -0.17633035  0.          0.          0.          0.          0.          0.        ],0.7918035524623069,31,0.7918035524623069,20,0.7918035524623069,24,0.7918035524623069,27,0.8461269959648738,46,0.8461269959648738,42,0.8461269959648738,39,0.8461269959648738,66
graphs/main/nodes_9/depth_3/8.gml,[-1.39615035 -1.31615166],[-1.0359873   1.52640187  1.27684822 -0.4026327 ],[-1.0359873   1.52640187  1.27684822 -0.4026327   0.          0.        ],[-1.0359873   1.52640187  1.27684822 -0.4026327   0.          0.          0.          0.        ],[-1.0359873   1.52640187  1.27684822 -0.4026327   0.          0.          0.          0.          0.          0.        ],[ 1.57079633  0.72635659  1.14988153  1.40029935 -1.35295625 -0.19027103  1.5302535  -1.06706245  1.57079633  0.45548304  0.52863532  0.26188873],[ 1.57079633  0.72635659  1.14988153  1.40029935 -1.35295625 -0.19027103  1.5302535  -1.06706245  1.57079633  0.45548304  0.52863532  0.26188873  0.          0.        ],[ 1.57079633  0.72635659  1.14988153  1.40029935 -1.35295625 -0.19027103  1.5302535  -1.06706245  1.57079633  0.45548304  0.52863532  0.26188873  0.          0.          0.          0.        ],0.7134113113010745,18,0.7834258655015052,34,0.7834258655015052,28,0.7834258655015052,30,0.7834258655015052,31,0.7881653505668196,41,0.7881653505668196,39,0.7881653505668196,43
graphs/main/nodes_9/depth_3/9.gml,[-0.2799406   0.28053279],[-0.2799406   0.28053279  0.          0.        ],[-0.2799406   0.28053279  0.          0.          0.          0.        ],[ 0.17887037  1.36371585  1.24806377 -0.35459629  0.00975838  0.7899893   1.34313764 -1.30006552],[ 0.17887037  1.36371585  1.24806377 -0.35459629  0.00975838  0.7899893   1.34313764 -1.30006552  0.          0.        ],[ 0.17887037  1.36371585  1.24806377 -0.35459629  0.00975838  0.7899893   1.34313764 -1.30006552  0.          0.          0.          0.        ],[ 0.17887037  1.36371585  1.24806377 -0.35459629  0.00975838  0.7899893   1.34313764 -1.30006552  0.          0.          0.          0.          0.          0.        ],[ 0.17887037  1.36371585  1.24806377 -0.35459629  0.00975838  0.7899893   1.34313764 -1.30006552  0.          0.          0.          0.          0.          0.          0.          0.        ],0.7740584483375594,17,0.7740584483375594,21,0.7740584483375594,33,0.7896849777574905,37,0.7896849777574905,31,0.7896849777574905,39,0.7896849777574905,42,0.7896849777574905,43
