path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev,p_6,p_6_nfev,p_7,p_7_nfev,p_8,p_8_nfev
graphs/main/nodes_9/depth_3/0.gml,[-0.18155815  0.27067013],[ 2.98708802  0.18487518 -2.65316505  1.38794802],[-0.15258862  0.39657182 -0.3441852  -1.3367198  -1.37723738 -0.02319251],[-0.15258862  0.39657182 -0.3441852  -1.3367198  -1.37723738 -0.02319251  0.          0.        ],[-0.15258862  0.39657182 -0.3441852  -1.3367198  -1.37723738 -0.02319251  0.          0.          0.          0.        ],[-0.15258862  0.39657182 -0.3441852  -1.3367198  -1.37723738 -0.02319251  0.          0.          0.          0.          0.          0.        ],[-0.15258862  0.39657182 -0.3441852  -1.3367198  -1.37723738 -0.02319251  0.          0.          0.          0.          0.          0.          0.          0.        ],[-0.15258862  0.39657182 -0.3441852  -1.3367198  -1.37723738 -0.02319251  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],0.8321699762930347,75,0.8599183833225115,240,0.8734746328241463,1407,0.8734746328241463,3582,0.8734746328241463,2618,0.8734746328241463,7124,0.8734746328241463,3255,0.8734746328241463,4760
graphs/main/nodes_9/depth_3/1.gml,[-0.20176804 -2.85536687],[ 0.1621281  -0.31195707  1.90125435  1.39502785],[ 0.1621281  -0.31195707  1.90125435  1.39502785  0.          0.        ],[ 1.86828463 -1.31128932  1.50469899  0.62714914  1.5776348   1.2513634  -1.62343566  0.63942323],[ 0.2846549  -0.95180768  0.57683636 -0.01350236  0.48838008  1.54438759 -0.97593999 -0.11804795 -0.15957937  0.71185132],[-0.49397251 -0.01791583  0.63988349 -0.19891207  1.41337849  0.1647734  -0.29157369  2.06625313 -1.72061678 -1.3667788   1.77041664 -0.3084211 ],[-0.49397251 -0.01791583  0.63988349 -0.19891207  1.41337849  0.1647734  -0.29157369  2.06625313 -1.72061678 -1.3667788   1.77041664 -0.3084211   0.          0.        ],[-0.49397251 -0.01791583  0.63988349 -0.19891207  1.41337849  0.1647734  -0.29157369  2.06625313 -1.72061678 -1.3667788   1.77041664 -0.3084211   0.          0.          0.          0.        ],0.8633556523986889,60,0.8816211132135511,395,0.8816211132135511,630,0.8978907853434263,3240,0.9024864707802366,5456,0.9136608313653044,5018,0.9136608313653044,20370,0.9136608313653044,103666
graphs/main/nodes_9/depth_3/2.gml,[-1.30311888 -0.37019987],[ 0.18612793 -2.009087    0.37309413  1.32115798],[ 0.18612793 -2.009087    0.37309413  1.32115798  0.          0.        ],[ 0.18612793 -2.009087    0.37309413  1.32115798  0.          0.          0.          0.        ],[ 1.78000397 -0.14957971  1.02395797  1.10887914  1.65563897 -0.82086105  0.7444714  -0.70036839  1.57682238  0.66135084],[ 0.18807521  1.33442309  1.49014857 -0.40354586  0.25130977 -0.48863678 -1.45303747 -0.25393236 -1.29809025 -0.31779366  0.42561747 -0.15078989],[-1.23995335  1.53554379  1.09154383  0.47058565 -0.31954368 -0.6851938  -1.86817214 -1.53997236  1.92227963 -0.49744639 -0.53113372 -0.51369133  0.05343174 -0.86451887],[-1.23995335  1.53554379  1.09154383  0.47058565 -0.31954368 -0.6851938  -1.86817214 -1.53997236  1.92227963 -0.49744639 -0.53113372 -0.51369133  0.05343174 -0.86451887  0.          0.        ],0.7813207487814083,63,0.9004894053290596,190,0.9004894053290596,2051,0.9004894053290596,1485,0.909516970625457,1628,0.9333056660295908,1274,0.956398612170604,9060,0.956398612170604,18173
graphs/main/nodes_9/depth_3/3.gml,[1.82890332 0.95962282],[-1.80871016  1.21536882  0.3327642  -0.96184017],[-1.80871016  1.21536882  0.3327642  -0.96184017  0.          0.        ],[ 0.21440397  1.25300366  1.56297206  0.49615906  0.06518331  0.45959465  0.04695086 -0.93713186],[-1.3373146   0.98388813  0.05179967  0.58714167  1.50831591  1.09795605  0.31641297  1.24868947  1.42699487  0.00684323],[-0.74004706 -1.55624493  0.58864024 -1.08835645 -1.7355486  -1.54989242  1.45641672  2.01064152 -0.32283673  0.25329118 -1.60616116  0.00972203],[-0.17641287  0.09158275  0.41158777  0.45887977 -0.06486046  0.57344489  0.29128456 -1.94344635  0.26618594  1.24918942  0.72374574 -1.62693006 -0.4113248  -0.2083796 ],[-0.17641287  0.09158275  0.41158777  0.45887977 -0.06486046  0.57344489  0.29128456 -1.94344635  0.26618594  1.24918942  0.72374574 -1.62693006 -0.4113248  -0.2083796   0.          0.        ],0.7158815004874833,75,0.7314836118375803,195,0.7314836118375803,329,0.7956010783942311,2376,0.8674976210277978,6490,0.914566185660334,4914,0.9788044582838216,46770,0.9788044582838216,4675
graphs/main/nodes_9/depth_3/4.gml,[-1.32885958 -1.23218005],[-1.37223008 -1.19368466 -1.13358807  1.34388154],[-1.37223008 -1.19368466 -1.13358807  1.34388154  0.          0.        ],[ 0.7700783  -0.05207392  1.15076832 -0.08651786  1.43247493  1.15959088  0.47868747 -0.2428617 ],[-0.23608605  1.13943123  0.06200574 -2.1993027  -0.41263146 -1.35980377 -0.94721331  0.11563673  0.54422359  0.14977855],[-0.23608605  1.13943123  0.06200574 -2.1993027  -0.41263146 -1.35980377 -0.94721331  0.11563673  0.54422359  0.14977855  0.          0.        ],[-0.23608605  1.13943123  0.06200574 -2.1993027  -0.41263146 -1.35980377 -0.94721331  0.11563673  0.54422359  0.14977855  0.          0.          0.          0.        ],[-1.20988587 -0.25425804 -0.37342419 -0.041329    0.23579245 -1.41322882  0.09749929  0.21960977  1.02793281 -1.23671869 -0.4578628  -0.50018516  0.07383826 -0.7894996  -0.64703446  0.1625044 ],0.7880488535449177,66,0.8434388874023679,150,0.8434388874023679,1330,0.8809710766438471,1449,0.9267422682948868,2981,0.9267422682948868,5096,0.9267422682948868,1500,0.9339352566601159,15215
graphs/main/nodes_9/depth_3/5.gml,[-2.88757687  1.22718413],[-0.34247088 -1.94187042  0.11762014 -0.82172086],[ 0.21476359 -0.15380062  2.57946433  2.68670653  0.09862432  0.78688804],[ 0.2730237  -0.1093745  -1.68546383 -1.50474828 -1.96466679  0.39150057 -0.34376279  1.81795108],[ 0.2730237  -0.1093745  -1.68546383 -1.50474828 -1.96466679  0.39150057 -0.34376279  1.81795108  0.          0.        ],[ 1.61178676  0.43308919 -0.23137851  0.01828538 -1.11061157 -0.10719622 -0.46641529  0.4473784  -0.33772054 -1.36175474  0.53340001  1.43662015],[ 1.61178676  0.43308919 -0.23137851  0.01828538 -1.11061157 -0.10719622 -0.46641529  0.4473784  -0.33772054 -1.36175474  0.53340001  1.43662015  0.          0.        ],[ 1.61178676  0.43308919 -0.23137851  0.01828538 -1.11061157 -0.10719622 -0.46641529  0.4473784  -0.33772054 -1.36175474  0.53340001  1.43662015  0.          0.          0.          0.        ],0.7677533669553566,111,0.8263693856622341,505,0.856176184170402,1127,0.8700759214157677,1413,0.8700759214157677,4147,0.8869525119226109,12870,0.8869525119226109,19230,0.8869525119226109,3468
graphs/main/nodes_9/depth_3/6.gml,[-0.22982467  0.3189265 ],[-2.08162998 -0.06043433 -1.29331024 -2.79411701],[ 1.78824766 -0.25706095  1.13535684  1.93535171 -1.47260529 -0.17649466],[ 0.18257118 -0.46950986  0.32387857 -1.86989626  1.46337101  0.05908567 -0.39560306  0.08919406],[ 0.18257118 -0.46950986  0.32387857 -1.86989626  1.46337101  0.05908567 -0.39560306  0.08919406  0.          0.        ],[ 0.19811548 -0.37323244  1.42583739  0.92260694 -0.19302306  0.17246975  0.3948465  -0.33230223  1.17370198  0.26256908 -1.03708421  1.4430006 ],[-0.13381538  0.48481612  1.3387598  -1.17958104  1.49971134  0.38084856  1.65988194  1.27092454  1.09341913  1.07295772  0.05576648  0.71930159  1.19577373 -1.56011377],[-0.13381538  0.48481612  1.3387598  -1.17958104  1.49971134  0.38084856  1.65988194  1.27092454  1.09341913  1.07295772  0.05576648  0.71930159  1.19577373 -1.56011377  0.          0.        ],0.8289610169445601,93,0.8326847840321128,255,0.875368514089072,560,0.912297106213886,729,0.912297106213886,2993,0.9188783316294944,2301,0.958067635656432,5070,0.958067635656432,7004
graphs/main/nodes_9/depth_3/7.gml,[-1.26469718 -0.58723775],[ 0.28086201  0.4586474  -0.07212756 -0.80100244],[-0.17707083  0.42040462 -1.30510169  1.52697315  0.93101959 -1.31633996],[-0.17707083  0.42040462 -1.30510169  1.52697315  0.93101959 -1.31633996  0.          0.        ],[-0.17707083  0.42040462 -1.30510169  1.52697315  0.93101959 -1.31633996  0.          0.          0.          0.        ],[-0.15198107 -1.14133395  0.8546214  -0.0185005   1.11004033 -0.03570936  0.86829685  0.30993999 -0.85830367  1.59985306  0.48791875  0.20494915],[-0.15198107 -1.14133395  0.8546214  -0.0185005   1.11004033 -0.03570936  0.86829685  0.30993999 -0.85830367  1.59985306  0.48791875  0.20494915  0.          0.        ],[-0.15198107 -1.14133395  0.8546214  -0.0185005   1.11004033 -0.03570936  0.86829685  0.30993999 -0.85830367  1.59985306  0.48791875  0.20494915  0.          0.          0.          0.        ],0.7082953257015515,33,0.8413118031930098,390,0.8611475081684683,525,0.8611475081684683,1359,0.8611475081684683,4730,0.8995857819636562,4043,0.8995857819636562,26835,0.8995857819636562,48450
graphs/main/nodes_9/depth_3/8.gml,[ 2.92297861 -2.83059509],[-0.18020155  2.02051079 -0.34075972  0.28345537],[ 0.2136249  -0.13224012 -0.44581101 -1.20185489 -0.32215167  0.25430624],[ 0.15043627 -0.44381434  1.14994656 -1.55711956 -0.76450784  0.47532022 -0.07571372 -0.79459463],[ 0.15043627 -0.44381434  1.14994656 -1.55711956 -0.76450784  0.47532022 -0.07571372 -0.79459463  0.          0.        ],[ 0.15043627 -0.44381434  1.14994656 -1.55711956 -0.76450784  0.47532022 -0.07571372 -0.79459463  0.          0.          0.          0.        ],[ 0.15043627 -0.44381434  1.14994656 -1.55711956 -0.76450784  0.47532022 -0.07571372 -0.79459463  0.          0.          0.          0.          0.          0.        ],[ 0.15043627 -0.44381434  1.14994656 -1.55711956 -0.76450784  0.47532022 -0.07571372 -0.79459463  0.          0.          0.          0.          0.          0.          0.          0.        ],0.7924993236073632,141,0.8596746897181585,380,0.8844054612477632,637,0.8868992400332786,2502,0.8868992400332786,4620,0.8868992400332786,1274,0.8868992400332786,11625,0.8868992400332786,6613
graphs/main/nodes_9/depth_3/9.gml,[-1.1303065  -2.01051009],[ 1.62249049  0.89596561 -1.32040478  1.22888633],[-0.24624401 -2.9420565   1.27368877  1.54595224 -0.68959262 -1.81234372],[-0.30185502  1.20010773  0.12717438 -0.63076732 -0.5793305   2.66014172  0.09851596 -0.81057786],[-0.30185502  1.20010773  0.12717438 -0.63076732 -0.5793305   2.66014172  0.09851596 -0.81057786  0.          0.        ],[-0.30185502  1.20010773  0.12717438 -0.63076732 -0.5793305   2.66014172  0.09851596 -0.81057786  0.          0.          0.          0.        ],[ 0.16616784 -0.58185406 -1.56682515  1.5975109  -1.16488136 -0.1294192  -0.53689159 -1.19231194 -0.40467132  0.32157488 -0.39843466 -1.35183605  1.52891428 -1.55558954],[ 0.16616784 -0.58185406 -1.56682515  1.5975109  -1.16488136 -0.1294192  -0.53689159 -1.19231194 -0.40467132  0.32157488 -0.39843466 -1.35183605  1.52891428 -1.55558954  0.          0.        ],0.6434920099894641,42,0.7819096262155848,155,0.8230287543536541,1057,0.8901187083622867,3096,0.8901187083622867,1914,0.8901187083622867,10218,0.9082027436867204,7170,0.9082027436867204,12648
