path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev,p_6,p_6_nfev,p_7,p_7_nfev,p_8,p_8_nfev
graphs/main/nodes_9/depth_3/0.gml,[-0.18155512  0.27066799],[ 0.17935215 -0.27128015  1.93749166 -0.03022278],[-0.152568    0.39659053 -0.34416896 -1.33671044 -1.37568993 -0.02328058],[-0.152568    0.39659053 -0.34416896 -1.33671044 -1.37568993 -0.02328058  0.          0.        ],[ 0.25397533  0.16105668  1.38049346  1.60705701 -1.44908997  0.58561126 -0.02735026  0.37187206  0.44155339 -0.21094133],[-1.91388939 -0.01743489  0.33195382  0.43977591  1.44144092 -1.18546854 -0.36487334 -0.60062348  0.05083526 -0.68932285 -1.29622153 -0.0182189 ],[-1.91388939 -0.01743489  0.33195382  0.43977591  1.44144092 -1.18546854 -0.36487334 -0.60062348  0.05083526 -0.68932285 -1.29622153 -0.0182189   0.          0.        ],[-1.91388939 -0.01743489  0.33195382  0.43977591  1.44144092 -1.18546854 -0.36487334 -0.60062348  0.05083526 -0.68932285 -1.29622153 -0.0182189   0.          0.          0.          0.        ],0.8321699762566342,36,0.8325593290932759,77,0.8734746167368487,194,0.8734746167368487,389,0.8913101003968311,896,0.8983579899482881,1574,0.8983579899482881,2359,0.8983579899482881,1221
graphs/main/nodes_9/depth_3/1.gml,[2.93982817 1.8570171 ],[0.15046892 1.19500356 0.37289401 1.3692324 ],[0.15046892 1.19500356 0.37289401 1.3692324  0.         0.        ],[ 1.5237574   0.4365532   1.34070172 -0.3928602   0.05302503  0.79172863 -0.46707516  0.16968337],[ 0.13814369 -2.05096391  0.25771307  2.96110574  0.41355001  1.48728576 -0.8171786  -1.39236683 -0.49328358  1.69611567],[ 0.13814369 -2.05096391  0.25771307  2.96110574  0.41355001  1.48728576 -0.8171786  -1.39236683 -0.49328358  1.69611567  0.          0.        ],[ 0.13814369 -2.05096391  0.25771307  2.96110574  0.41355001  1.48728576 -0.8171786  -1.39236683 -0.49328358  1.69611567  0.          0.          0.          0.        ],[ 0.13814369 -2.05096391  0.25771307  2.96110574  0.41355001  1.48728576 -0.8171786  -1.39236683 -0.49328358  1.69611567  0.          0.          0.          0.          0.          0.        ],0.8633556523111813,38,0.9046939560453438,93,0.9046939560453438,383,0.9188878111009904,561,0.9364421828190136,1376,0.9364421828190136,823,0.9364421828190136,1163,0.9364421828190136,628
graphs/main/nodes_9/depth_3/2.gml,[-1.30312272 -0.37020768],[ 0.18617241 -2.00907628  0.37312692  1.32119295],[ 0.18617241 -2.00907628  0.37312692  1.32119295  0.          0.        ],[ 0.18617241 -2.00907628  0.37312692  1.32119295  0.          0.          0.          0.        ],[ 1.81896023 -0.07884595 -0.41271694  0.43061293  1.46983857 -1.18719506  1.32466946  0.26587906  2.01272731  1.37682314],[-0.22913703  1.67672354  0.3425337   0.52930492 -0.10830104 -0.8397547  -0.29034658 -1.19640323 -0.38636292 -1.30731211 -0.41045683  0.14799449],[-1.2720666   1.52582937  1.1295216   0.48710723 -0.27853678 -1.20828041 -1.46873551 -1.52839378  1.15016584  0.28947085 -0.44573372 -0.50566589  0.04623675 -0.8783822 ],[-1.2720666   1.52582937  1.1295216   0.48710723 -0.27853678 -1.20828041 -1.46873551 -1.52839378  1.15016584  0.28947085 -0.44573372 -0.50566589  0.04623675 -0.8783822   0.          0.        ],0.7813207487078255,34,0.9004893982144885,128,0.9004893982144885,103,0.9004893982144885,284,0.9129954492576616,578,0.9590708067091296,1666,0.9618323308789518,1087,0.9618323308789518,3528
graphs/main/nodes_9/depth_3/3.gml,[2.9415051  1.86689254],[-1.41035313  1.46789998  1.20548046 -1.27981245],[ 0.26253765 -1.12445205 -0.06981059  0.76939895  1.02873029  0.03481389],[ 0.26253765 -1.12445205 -0.06981059  0.76939895  1.02873029  0.03481389  0.          0.        ],[-1.71194329  0.23635136  0.33510447  0.15998198  1.54486079  1.09054116  0.30536072  1.25112718  1.56007047  0.01919276],[-1.86578866 -1.58436685  1.70830751 -1.0725755  -1.62531357 -1.53624856  1.34758042  2.019359   -0.33521589  0.26148764 -0.82121256 -0.03490991],[-1.86578866 -1.58436685  1.70830751 -1.0725755  -1.62531357 -1.53624856  1.34758042  2.019359   -0.33521589  0.26148764 -0.82121256 -0.03490991  0.          0.        ],[-1.86578866 -1.58436685  1.70830751 -1.0725755  -1.62531357 -1.53624856  1.34758042  2.019359   -0.33521589  0.26148764 -0.82121256 -0.03490991  0.          0.          0.          0.        ],0.78766496211386,35,0.7891445426839045,74,0.8359639691121179,188,0.8359639691121179,342,0.8716265429369915,764,0.914825032637676,928,0.914825032637676,583,0.914825032637676,2025
graphs/main/nodes_9/depth_3/4.gml,[-0.22920285 -1.27214348],[-1.37234773 -1.19358205 -1.13361598  1.34392131],[ 0.15524572  2.75824246  0.43823209  2.13827248 -0.05961351 -2.40488845],[ 0.15524572  2.75824246  0.43823209  2.13827248 -0.05961351 -2.40488845  0.          0.        ],[-0.25071081  1.24229358  0.07985993 -0.73616664 -0.39066001 -1.31428807 -0.46848181 -0.57744122  0.04945931  0.77687819],[-0.25071081  1.24229358  0.07985993 -0.73616664 -0.39066001 -1.31428807 -0.46848181 -0.57744122  0.04945931  0.77687819  0.          0.        ],[-0.17425518 -0.98072158 -0.31009137 -1.43141341  0.42379364  1.20589453  0.40744777 -0.3769645   1.91860623  0.15513628  1.09773703  0.2379565  -0.55644054  0.13156773],[-0.17425518 -0.98072158 -0.31009137 -1.43141341  0.42379364  1.20589453  0.40744777 -0.3769645   1.91860623  0.15513628  1.09773703  0.2379565  -0.55644054  0.13156773  0.          0.        ],0.8049135607920649,32,0.8434388566604335,66,0.8881806924579276,181,0.8881806924579276,264,0.9256113609243942,341,0.9256113609243942,1021,0.9497001561693038,1945,0.9497001561693038,1591
graphs/main/nodes_9/depth_3/5.gml,[-2.8874918 -1.9143983],[-1.48737245 -0.86596924  1.29641076 -1.2221917 ],[ 0.94028916  0.01715641  2.39590721  1.1131737   0.3571291  -0.28324488],[-1.38790167  0.10948941 -1.90609942  0.45279937 -0.38647449 -0.4558186   0.0790713  -2.37292146],[-1.38790167  0.10948941 -1.90609942  0.45279937 -0.38647449 -0.4558186   0.0790713  -2.37292146  0.          0.        ],[-1.38790167  0.10948941 -1.90609942  0.45279937 -0.38647449 -0.4558186   0.0790713  -2.37292146  0.          0.          0.          0.        ],[-1.38790167  0.10948941 -1.90609942  0.45279937 -0.38647449 -0.4558186   0.0790713  -2.37292146  0.          0.          0.          0.          0.          0.        ],[-1.38790167  0.10948941 -1.90609942  0.45279937 -0.38647449 -0.4558186   0.0790713  -2.37292146  0.          0.          0.          0.          0.          0.          0.          0.        ],0.7677533517603958,30,0.7714710263335461,123,0.8467326690173643,125,0.8681313322893237,450,0.8681313322893237,576,0.8681313322893237,825,0.8681313322893237,1198,0.8681313322893237,798
graphs/main/nodes_9/depth_3/6.gml,[-1.30841814  2.75452   ],[-1.79807834  0.21954833 -1.07517641 -1.85506724],[ 1.78816643 -0.25701179  1.13538352  1.93533121 -1.47256147 -0.17651114],[ 0.14723993 -0.43588762  0.40777696 -1.2042655   1.26825129 -0.05047167 -1.35522285 -0.66386618],[ 0.14723993 -0.43588762  0.40777696 -1.2042655   1.26825129 -0.05047167 -1.35522285 -0.66386618  0.          0.        ],[-0.14406595  0.48370292  1.57495259  1.20893297 -0.04203633 -1.11274156 -0.01297569 -0.09051097  1.28854486  0.34879663 -0.33637672  1.76734997],[-0.13427012  0.48395369  1.33903666 -1.1899789   1.49718833  0.38460853  1.65956509  1.27061311  1.08854267  1.05813212  0.0560204   0.73947249  1.49809485 -1.59281331],[-0.13427012  0.48395369  1.33903666 -1.1899789   1.49718833  0.38460853  1.65956509  1.27061311  1.08854267  1.05813212  0.0560204   0.73947249  1.49809485 -1.59281331  0.          0.        ],0.7787781031178567,37,0.8613345299187124,95,0.8753684879456622,184,0.9310150634538764,318,0.9310150634538764,398,0.9410236127589876,644,0.9582477206261366,1223,0.9582477206261366,1265
graphs/main/nodes_9/depth_3/7.gml,[-1.26475486 -0.58721581],[ 0.19573928  1.37756241 -0.54246195 -1.35035514],[-0.16084402  0.41891347 -0.39947257  0.9977088   0.06758535 -0.70671244],[-0.16084402  0.41891347 -0.39947257  0.9977088   0.06758535 -0.70671244  0.          0.        ],[-0.16084402  0.41891347 -0.39947257  0.9977088   0.06758535 -0.70671244  0.          0.          0.          0.        ],[-0.16084402  0.41891347 -0.39947257  0.9977088   0.06758535 -0.70671244  0.          0.          0.          0.          0.          0.        ],[-0.19327378 -1.46131847  0.36108406 -0.38509346 -2.4810428  -1.58699669  2.73916261 -0.36247841  0.31321553 -0.28449234  0.34433529 -1.81775911  0.41852181 -1.72044753],[-0.19327378 -1.46131847  0.36108406 -0.38509346 -2.4810428  -1.58699669  2.73916261 -0.36247841  0.31321553 -0.28449234  0.34433529 -1.81775911  0.41852181 -1.72044753  0.          0.        ],0.7082953228935547,23,0.8408863879539868,80,0.8884167216186263,244,0.8884167216186263,265,0.8884167216186263,482,0.8884167216186263,764,0.9413962860634104,2266,0.9413962860634104,3410
graphs/main/nodes_9/depth_3/8.gml,[ 1.35670089 -0.37550222],[ 0.20666502  1.38840955 -0.52717753  0.24471571],[ 0.20533746 -0.1820703  -0.5122936  -1.30845287 -1.43000394  0.05732931],[ 0.15044884 -0.44374482  1.14975499 -1.55711486 -0.76431018  0.47530977 -0.0757548  -0.79458791],[ 0.15044884 -0.44374482  1.14975499 -1.55711486 -0.76431018  0.47530977 -0.0757548  -0.79458791  0.          0.        ],[ 0.15044884 -0.44374482  1.14975499 -1.55711486 -0.76431018  0.47530977 -0.0757548  -0.79458791  0.          0.          0.          0.        ],[ 0.20349152 -0.15883091 -0.52056588  1.27991057  0.17155078 -0.84939911  1.39170067  0.31068662 -0.02306326  1.26758135  0.41723695  0.00155021 -1.54372097  1.32580182],[-1.40621758 -1.57380509  0.35326685  0.01673081  0.79986725  0.1124256   0.54822595  0.5265449   1.69864964 -1.51392347  1.35414721 -0.82867851  2.15046246  1.65231421  0.50659886 -1.41239501],0.723533697449336,26,0.8347201283591315,74,0.8363976301936352,180,0.8868992266101725,332,0.8868992266101725,401,0.8868992266101725,568,0.8943195635374411,1123,0.9005523214716866,2591
graphs/main/nodes_9/depth_3/9.gml,[ 0.26015501 -1.90856389],[ 1.62243685  0.89657488 -1.32042295  1.22889262],[-0.27960402 -2.09183314  0.40589276  1.65017859 -0.30046304 -0.68102267],[-0.27990337  0.12345491  0.50692769  1.14614915  0.33312202  1.22217914 -2.72490282  2.92757891],[-0.27990337  0.12345491  0.50692769  1.14614915  0.33312202  1.22217914 -2.72490282  2.92757891  0.          0.        ],[-0.27990337  0.12345491  0.50692769  1.14614915  0.33312202  1.22217914 -2.72490282  2.92757891  0.          0.          0.          0.        ],[ 2.84204812e-01 -1.68864318e+00 -6.17390110e-01  1.08967472e+00 -2.07715424e+00  8.86771993e-05 -9.43965531e-01  1.01014866e+00 -4.45276300e-01  3.34771727e-01 -3.95604375e-01 -1.35346791e+00  1.37825332e+00 -1.54884292e+00],[ 2.84204812e-01 -1.68864318e+00 -6.17390110e-01  1.08967472e+00 -2.07715424e+00  8.86771993e-05 -9.43965531e-01  1.01014866e+00 -4.45276300e-01  3.34771727e-01 -3.95604375e-01 -1.35346791e+00  1.37825332e+00 -1.54884292e+00  0.00000000e+00  0.00000000e+00],0.7800469214588511,39,0.7819096139068762,50,0.8339461752809587,201,0.8950339200871782,1432,0.8950339200871782,433,0.8950339200871782,1007,0.9167650287095722,1206,0.9167650287095722,1449
