path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev
graphs/main/nodes_9/depth_3/0.gml,[1.33050943 0.48306138],[1.33050943 0.48306138 0.         0.        ],[-1.42961255  1.07890834 -1.41708658 -1.77363069  1.2536093  -1.53801764],[-1.42961255  1.07890834 -1.41708658 -1.77363069  1.2536093  -1.53801764  0.          0.        ],[ 0.12782076 -0.18267767 -1.37765094 -1.17676763 -0.30592417 -1.55328113  0.31700537  1.16777001  0.91459517  1.74476717],[-1.22219178 -0.79430784 -0.35820824  0.39932027  1.05092269 -1.03587952  0.16199113 -0.05395621  0.39426325 -1.09166603 -1.4680215  -0.03342427],[ 0.44331211 -1.54783753  0.57874204  1.56368351  0.13046325 -1.55586219 -0.36317194  1.16441738 -1.16413564  0.66033126  1.15189355 -1.09806074  0.97559731  0.93363172],[-1.24196352 -0.77493089 -1.56700075 -1.22065974 -0.73131773 -0.35847888  0.78333177  0.13690602  1.11244555  0.13100506  1.50922089  0.61294517 -0.95322242 -0.35325814 -0.30847567  1.54005013],0.7477200581200177,50,0.7477200581200177,89,0.8159972651391963,217,0.8159972651391963,414,0.8579046566767901,947
graphs/main/nodes_9/depth_3/1.gml,[ 0.18478246 -0.50859903],[-1.35450843 -0.31770084 -1.0383481  -0.00656195],[-0.19098238 -0.63418439  0.91774542  1.50397828 -0.87259876  0.94410567],[-0.25408615 -1.52659815  0.0217947   1.64991906 -1.08922737  1.3069804  -1.2529563   1.40000324],[ 0.19530225  1.44400138  1.02294743 -0.02358312  0.16201078  0.18510672  1.43286892  0.18537284  1.17750965  0.10548656],[-0.41902371 -0.19112992  1.12016465 -0.4234957   1.16464036  1.00099304 -0.46012671  1.48463956 -1.35922067 -0.9826568   1.45617853 -0.29216767],[ 0.40853911  0.62447059  0.09963883 -0.20167747  1.35188081 -0.6639446  -0.88228377  1.03510019  1.10704171  0.18896189  0.20111049 -1.39952932  0.6762225   0.90818392],[-0.69241981 -0.0276571   0.11508383  0.59709906 -0.91575822 -0.64286339  0.9315626   0.84518563 -0.90479046 -0.42044817  0.41251812 -1.00772848 -1.09717258  0.26830916  1.29673541  0.97573715],0.7865291666144013,51,0.8299972397158103,106,0.8797398342060532,394,0.8866048564697017,598,0.9028400003545798,1403
graphs/main/nodes_9/depth_3/2.gml,[-1.40667597 -0.34599225],[ 0.17157966  1.15785717  0.36183203 -0.29812073],[ 0.17157966  1.15785717  0.36183203 -0.29812073  0.          0.        ],[ 0.17157966  1.15785717  0.36183203 -0.29812073  0.          0.          0.          0.        ],[ 0.17157966  1.15785717  0.36183203 -0.29812073  0.          0.          0.          0.          0.          0.        ],[ 0.0339889   1.51081211  1.08390095 -0.20918359  0.60666957 -1.22246758 -0.45149373 -0.40244967 -1.47593888  0.14618893  0.26707594 -1.03938279],[-1.09899004  0.90394519  0.59221599  0.38850016 -0.31824527 -0.69201963 -1.44889165 -0.86221076  1.48162853 -0.72556816 -0.47339468 -0.42872593 -0.09335327 -0.40046525],[-1.17232669  0.13614606  0.52329268  0.57934783 -0.66555341  1.40676376 -1.03311758  1.20663633 -0.11035306 -1.35639914  1.52476554  0.31320667 -0.44315514  0.97697254 -0.95440846  0.36494722],0.7634449027402301,50,0.8946649427187484,142,0.8946649427187484,130,0.8946649427187484,298,0.8946649427187484,605
graphs/main/nodes_9/depth_3/3.gml,[-1.40755218  1.04631752],[-0.56922695  1.47397975  0.31937714  0.44050471],[ 1.63874096  1.07848236  1.31776528  0.47970998 -0.27952751 -1.29124484],[ 1.63874096  1.07848236  1.31776528  0.47970998 -0.27952751 -1.29124484  0.          0.        ],[ 1.63874096  1.07848236  1.31776528  0.47970998 -0.27952751 -1.29124484  0.          0.          0.          0.        ],[-1.19490099 -1.36450788  0.87344141 -1.56962723 -1.48161974 -1.31425116  1.14589953  1.56626135 -0.37146712 -0.30780903 -1.50672417  0.25609606],[-0.48534345 -0.28088841  1.23138663  0.59021372  0.14500689  0.33292712  0.24896132 -1.25390612  0.13642902  1.49998276  1.27074965 -0.41824746 -0.43066919 -1.02408175],[ 0.5080073  -0.61229081  0.74539783 -0.80676721  0.25235239  0.23193911 -0.79034424  0.60822169 -1.46740654  0.8876357  -1.21476966  0.58641518 -0.14793053 -0.05756323  0.42390336 -1.39751291],0.7038906819980411,51,0.7869514509014275,88,0.8515514404660391,214,0.8515514404660391,358,0.8515514404660391,795
graphs/main/nodes_9/depth_3/4.gml,[0.24310014 1.28970228],[0.24310014 1.28970228 0.         0.        ],[0.24310014 1.28970228 0.         0.         0.         0.        ],[ 0.17974013  1.13634385  1.594718   -0.94725541  1.49402948  0.52111885  1.34861761 -0.13166884],[-0.29511789  0.06190152  0.05669536  0.15933724 -0.98784446  0.06771987  0.16811151  0.35431332  0.35686902 -1.44192065],[-0.92977497  1.00581442 -0.15491824  0.56898277  0.98760398 -0.23771256 -0.58753461 -1.03418124 -1.40492609  1.0813824   0.86539013  0.01136381],[-0.42043748 -0.47201098 -0.97637863 -0.98267377  0.18254424  0.33779121  1.51870774 -0.2618589   1.38278295 -0.92771936 -0.05615637  0.30463543 -1.12414921  0.35733825],[-1.26863867  0.51507886 -0.62589341  0.0344149   0.04026154 -1.03161872  0.94240698 -0.10453731  0.27586709 -0.75718477 -0.47485111 -0.7352697   0.2414918  -0.20056384 -0.98491008  0.58760836],0.8041642500901679,50,0.8041642500901679,86,0.8041642500901679,197,0.819133435058553,298,0.8376908478435032,376
graphs/main/nodes_9/depth_3/5.gml,[-0.07871605 -1.20370741],[ 1.05333741  0.08021176 -0.79412374  1.22497079],[ 1.05333741  0.08021176 -0.79412374  1.22497079  0.          0.        ],[-0.13960047  0.46444607  0.16144781 -0.27285622  0.69009578 -1.23747038 -0.08246713  1.11735636],[-0.13960047  0.46444607  0.16144781 -0.27285622  0.69009578 -1.23747038 -0.08246713  1.11735636  0.          0.        ],[ 1.30401487  0.62513766 -0.68191754  0.1264006  -1.11223864 -0.38685536  0.34313255  1.46029768  0.23946446 -1.24096889  0.22041901  1.00168109],[ 1.56950017  0.24660624  0.55361121  0.94695829 -0.72232115 -0.53151554 -0.19591506  1.34387489  0.29535285 -0.60822     1.19040269 -1.31635607 -0.59905114  0.69875611],[ 0.18389722 -0.81843233 -0.67504546 -0.77254613 -1.45853584 -0.82866905  1.29784823  0.21704286 -0.73993747 -0.81815292  0.12948055  0.06434031 -1.23998086  1.42845359 -0.97033506  0.54295855],0.6915715740760555,48,0.7687543701257693,141,0.7687543701257693,153,0.8108792895609513,477,0.8108792895609513,605
graphs/main/nodes_9/depth_3/6.gml,[1.2847568  0.27974941],[ 0.22899421 -0.26302928  1.54536556  1.40930539],[ 1.30719022 -0.22664873  0.16889016  0.3076819  -1.67652943  0.35443143],[ 1.26335178  1.48109404 -1.13705266 -0.00153136 -0.30887067 -0.99375111 -0.31257813  0.27238286],[ 1.26335178  1.48109404 -1.13705266 -0.00153136 -0.30887067 -0.99375111 -0.31257813  0.27238286  0.          0.        ],[ 0.6624312   0.00411165  1.15762972  1.31393055  0.13145553  0.14037376  0.85088535  0.11155138  1.10120906  1.13512831 -0.89192623  0.83109309],[-0.4442896   0.01905623  0.7804713  -0.97273082  0.89318634  0.19009053  1.45143624  1.18336756  0.27547804  1.34299323 -0.20071386  0.39035059  1.14735451 -1.50642365],[ 0.8081432   1.3178501  -0.47271804  1.07395551  1.09954298  0.21298946  1.47324913  1.0948179  -1.32081894  0.39526389  1.28627277  1.5563837  -1.12209585 -0.29536695  0.30316723 -0.19066047],0.7688488311556662,49,0.8219404087842996,105,0.8470357995612218,196,0.8985858124270578,357,0.8985858124270578,415
graphs/main/nodes_9/depth_3/7.gml,[-1.23460173 -0.7783024 ],[-0.07909699  0.35841318  0.50880636  1.13289018],[ 0.15822537  1.15129702 -0.14353947  0.15489634 -1.19503046 -0.10476882],[ 0.15822537  1.15129702 -0.14353947  0.15489634 -1.19503046 -0.10476882  0.          0.        ],[ 0.15822537  1.15129702 -0.14353947  0.15489634 -1.19503046 -0.10476882  0.          0.          0.          0.        ],[-0.00997318 -1.31295347  1.08183925 -0.2446961   1.16133418  0.2823989   0.1957503  -0.22979902 -1.2013165   0.92078979  0.78528947 -0.81279527],[-0.76612876 -0.68971216 -0.10570813  0.84245767 -0.77571998 -0.57718468  0.99276614 -0.76439411  0.56151273 -0.0456579   0.5169295  -0.90153517  1.09036159 -1.35154433],[ 0.5841596   0.25028108 -0.21806826  0.93480627  0.22719993 -1.45951326 -0.57562669 -1.54682737 -1.20734533 -1.24921007  1.23522347 -0.46756756 -1.55750891  0.76800593  1.13960744 -0.1214048 ],0.6991026630909971,35,0.751379884377886,89,0.81901236353189,260,0.81901236353189,298,0.81901236353189,529
graphs/main/nodes_9/depth_3/8.gml,[-0.23965773 -1.27687922],[-0.23965773 -1.27687922  0.          0.        ],[-0.84321886 -1.60632083  1.04916828  1.21399301 -1.22203023  0.24964579],[ 1.50926935 -0.4208189  -0.24904883 -0.12877745 -0.83748711  1.40430637 -0.87439912 -1.40074602],[-0.15514166  0.4947116  -0.27436125 -1.32124412 -1.07270224  1.55474413 -1.68122583  1.49726281 -1.82592372  0.03518158],[-1.36710474 -0.85291854 -0.87893314  0.099231   -0.70240679 -1.26232072 -0.37799773  1.29236581 -0.92270379 -1.25899179  1.35712589  0.52613466],[ 0.3291002  -0.21343792 -0.58779609  0.80109087  0.12107829  0.39833352  1.26525199  0.59456645 -0.40429561  1.52014779  1.21976662 -0.84935732 -1.43707073  1.194103  ],[-1.30427224 -1.28245021 -0.31540505 -1.15394051  0.8819926   0.18000342  0.82449896  0.794692    1.5628503  -1.47596724  0.80037901 -1.38020568  1.41033198  0.3707269   0.16206749 -0.00784457],0.7912683893518753,48,0.7912683893518753,88,0.7922889234753604,196,0.8009667724860867,357,0.8652334703141519,453
graphs/main/nodes_9/depth_3/9.gml,[-0.29850499  0.328093  ],[-0.29850499  0.328093    0.          0.        ],[ 1.40366791 -1.57076172 -1.17047875 -0.48864892  0.38727604  1.30694659],[ 0.45381802  0.84075938  0.02075995  0.94740579 -0.2489333  -0.63345364 -0.26694426 -1.39829352],[ 0.45381802  0.84075938  0.02075995  0.94740579 -0.2489333  -0.63345364 -0.26694426 -1.39829352  0.          0.        ],[ 0.73432335  0.89840815 -0.45260321  0.45632421  1.49085995  0.08424669  0.60939161 -0.64579966 -0.15536367 -1.42502444  0.97805137  0.84398352],[ 1.21411518 -1.4966125  -1.54979744  1.43241478 -1.07582632 -0.02886347 -1.06640416 -0.36432355 -0.35414452  0.15337288 -0.34195463 -0.99958098  1.46730249 -1.50143092],[ 1.26059005  1.18457927 -0.8579402   0.44152657 -1.41969506  0.29437439  0.0609893   0.13386064 -1.24082122 -1.55041455  1.37377944 -0.56345505 -0.92733614  0.89227812  0.13092748 -0.56704927],0.7771691337418313,43,0.7771691337418313,71,0.8328024081588524,218,0.8435976490464394,1465,0.8435976490464394,453
