path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev
graphs/main/nodes_9/depth_3/0.gml,[ 0.16525909 -0.32152236],[ 0.16525909 -0.32152236  0.          0.        ],[ 0.15792848 -0.38322533 -1.02171893 -1.54864093  1.37777425 -0.23219988],[ 0.17590004  1.45064636 -0.36298548  0.28659013 -0.26262253 -1.11485492  0.04719025 -0.23530254],[ 0.17590004  1.45064636 -0.36298548  0.28659013 -0.26262253 -1.11485492  0.04719025 -0.23530254  0.          0.        ],[-1.22219178 -0.79430784 -0.35820824  0.39932027  1.05092269 -1.03587952  0.16199113 -0.05395621  0.39426325 -1.09166603 -1.4680215  -0.03342427],[ 0.44331211 -1.54783753  0.57874204  1.56368351  0.13046325 -1.55586219 -0.36317194  1.16441738 -1.16413564  0.66033126  1.15189355 -1.09806074  0.97559731  0.93363172],[-1.24196352 -0.77493089 -1.56700075 -1.22065974 -0.73131773 -0.35847888  0.78333177  0.13690602  1.11244555  0.13100506  1.50922089  0.61294517 -0.95322242 -0.35325814 -0.30847567  1.54005013],0.8283657061454258,38,0.8283657061454258,87,0.8731848228438864,201,0.8997255433574184,401,0.8997255433574184,907
graphs/main/nodes_9/depth_3/1.gml,[-1.3276179   1.16986498],[-1.3276179   1.16986498  0.          0.        ],[-1.36211103 -0.49723825  0.32977509 -0.53147142 -0.0575632   0.29746375],[-1.4723391  -0.38990084 -1.44804899  1.32498513  0.37011464  1.45226056  1.54482954 -0.10417114],[-0.13166349  0.17440349 -0.0924304   0.02739453  0.42348296 -0.35687086 -0.09748486 -1.3183117  -0.59727365  0.10031226],[-0.41902371 -0.19112992  1.12016465 -0.4234957   1.16464036  1.00099304 -0.46012671  1.48463956 -1.35922067 -0.9826568   1.45617853 -0.29216767],[ 0.40853911  0.62447059  0.09963883 -0.20167747  1.35188081 -0.6639446  -0.88228377  1.03510019  1.10704171  0.18896189  0.20111049 -1.39952932  0.6762225   0.90818392],[-0.69241981 -0.0276571   0.11508383  0.59709906 -0.91575822 -0.64286339  0.9315626   0.84518563 -0.90479046 -0.42044817  0.41251812 -1.00772848 -1.09717258  0.26830916  1.29673541  0.97573715],0.8344292144684161,42,0.8344292144684161,101,0.8634070338546699,391,0.906079435683748,571,0.9118318942494505,1387
graphs/main/nodes_9/depth_3/2.gml,[ 1.28510304 -1.26247666],[-0.15141375  0.58457126  0.1500511   1.32070742],[-0.74881827  1.5015542   0.47449652  0.46173287 -0.40158562  0.16182219],[-0.21230016  0.29181989 -1.5165944  -0.21650478  0.30899096  1.28714783 -1.33184775  1.35014144],[ 1.51933131  0.49393953  1.42094496 -1.17441798  0.65424717 -1.61507367 -0.95438484  0.3022896  -0.36517195  0.19576264],[ 0.0339889   1.51081211  1.08390095 -0.20918359  0.60666957 -1.22246758 -0.45149373 -0.40244967 -1.47593888  0.14618893  0.26707594 -1.03938279],[-1.09899004  0.90394519  0.59221599  0.38850016 -0.31824527 -0.69201963 -1.44889165 -0.86221076  1.48162853 -0.72556816 -0.47339468 -0.42872593 -0.09335327 -0.40046525],[-1.17232669  0.13614606  0.52329268  0.57934783 -0.66555341  1.40676376 -1.03311758  1.20663633 -0.11035306 -1.35639914  1.52476554  0.31320667 -0.44315514  0.97697254 -0.95440846  0.36494722],0.7775457139885388,39,0.8599019064406341,130,0.8678053491747052,118,0.8905982387575617,295,0.9378193541031522,586
graphs/main/nodes_9/depth_3/3.gml,[ 1.29686855 -0.93478212],[ 0.28126335 -0.12390337 -0.62550029  0.24601194],[-1.13620321  0.03067807  1.41458718  0.43487588 -0.06745257 -0.74476878],[-1.13620321  0.03067807  1.41458718  0.43487588 -0.06745257 -0.74476878  0.          0.        ],[-1.14318244  1.26070706  0.02142199  0.34945305  1.30776618  1.10663796  0.29918827  1.24632589  1.25520826 -0.02567132],[-1.19490099 -1.36450788  0.87344141 -1.56962723 -1.48161974 -1.31425116  1.14589953  1.56626135 -0.37146712 -0.30780903 -1.50672417  0.25609606],[-0.48534345 -0.28088841  1.23138663  0.59021372  0.14500689  0.33292712  0.24896132 -1.25390612  0.13642902  1.49998276  1.27074965 -0.41824746 -0.43066919 -1.02408175],[ 0.5080073  -0.61229081  0.74539783 -0.80676721  0.25235239  0.23193911 -0.79034424  0.60822169 -1.46740654  0.8876357  -1.21476966  0.58641518 -0.14793053 -0.05756323  0.42390336 -1.39751291],0.7154798375313044,39,0.8141408844115736,81,0.831484695670555,197,0.831484695670555,352,0.8629883651886895,776
graphs/main/nodes_9/depth_3/4.gml,[0.21034151 1.26557224],[-1.36743898 -1.1951081  -1.02567973  1.35687443],[-1.18475897 -1.6611121   1.40406964 -0.44734518  0.5341753   1.40066932],[-1.18475897 -1.6611121   1.40406964 -0.44734518  0.5341753   1.40066932  0.          0.        ],[-0.13032421 -1.47059347  1.64203397  0.84146312  0.09027216  0.45771615  0.41920828  0.20492876  0.56041528  1.7487437 ],[-0.92977497  1.00581442 -0.15491824  0.56898277  0.98760398 -0.23771256 -0.58753461 -1.03418124 -1.40492609  1.0813824   0.86539013  0.01136381],[-0.42043748 -0.47201098 -0.97637863 -0.98267377  0.18254424  0.33779121  1.51870774 -0.2618589   1.38278295 -0.92771936 -0.05615637  0.30463543 -1.12414921  0.35733825],[-1.26863867  0.51507886 -0.62589341  0.0344149   0.04026154 -1.03161872  0.94240698 -0.10453731  0.27586709 -0.75718477 -0.47485111 -0.7352697   0.2414918  -0.20056384 -0.98491008  0.58760836],0.8042211700478533,41,0.8385709963513858,75,0.8649780903439771,195,0.8649780903439771,276,0.8793146442249009,351
graphs/main/nodes_9/depth_3/5.gml,[-0.55780208 -1.07881554],[ 1.22761884 -1.04916158  0.54508368 -0.31675691],[-0.24892575  0.857848    0.0831576  -0.34849565  0.01276729 -0.15539641],[ 1.43620051  1.39484245  0.19338445 -0.08571453  1.69766556 -0.43350378  0.36394583 -0.26822019],[ 1.43620051  1.39484245  0.19338445 -0.08571453  1.69766556 -0.43350378  0.36394583 -0.26822019  0.          0.        ],[ 1.30401487  0.62513766 -0.68191754  0.1264006  -1.11223864 -0.38685536  0.34313255  1.46029768  0.23946446 -1.24096889  0.22041901  1.00168109],[ 1.56950017  0.24660624  0.55361121  0.94695829 -0.72232115 -0.53151554 -0.19591506  1.34387489  0.29535285 -0.60822     1.19040269 -1.31635607 -0.59905114  0.69875611],[ 0.18389722 -0.81843233 -0.67504546 -0.77254613 -1.45853584 -0.82866905  1.29784823  0.21704286 -0.73993747 -0.81815292  0.12948055  0.06434031 -1.23998086  1.42845359 -0.97033506  0.54295855],0.6577223344499389,34,0.6672567731074945,137,0.810835543801734,135,0.8487888113476295,459,0.8487888113476295,589
graphs/main/nodes_9/depth_3/6.gml,[-1.05227606  1.14606088],[-0.76017723 -1.5946948   0.53711761  0.33206548],[-1.38049527 -0.76364414 -0.05079418  0.51413637  1.11760829  0.25474749],[-1.21111966  1.47380578 -1.12998958  1.56606553 -1.01968682 -1.14384147 -0.33477707  0.25055574],[-1.21111966  1.47380578 -1.12998958  1.56606553 -1.01968682 -1.14384147 -0.33477707  0.25055574  0.          0.        ],[ 0.6624312   0.00411165  1.15762972  1.31393055  0.13145553  0.14037376  0.85088535  0.11155138  1.10120906  1.13512831 -0.89192623  0.83109309],[-0.4442896   0.01905623  0.7804713  -0.97273082  0.89318634  0.19009053  1.45143624  1.18336756  0.27547804  1.34299323 -0.20071386  0.39035059  1.14735451 -1.50642365],[ 0.8081432   1.3178501  -0.47271804  1.07395551  1.09954298  0.21298946  1.47324913  1.0948179  -1.32081894  0.39526389  1.28627277  1.5563837  -1.12209585 -0.29536695  0.30316723 -0.19066047],0.7268367257742795,45,0.8319238972780608,105,0.8631006230311462,198,0.9124986787171974,333,0.9124986787171974,412
graphs/main/nodes_9/depth_3/7.gml,[-1.26427395 -0.52495164],[-0.98782625  0.1578853   0.78298204  0.34820165],[ 1.51513369 -1.31172252 -1.07467368  0.09112217 -0.20450657 -0.37537548],[-0.18542277 -1.19690857  1.1134104  -0.51061588 -1.34034119 -1.34847854  1.39134293  0.63474863],[ 1.38741021 -1.57602252 -1.57921747  0.42982914 -0.36495182  0.27573346 -1.12692857 -0.07680595 -0.63221725 -0.04575341],[-0.00997318 -1.31295347  1.08183925 -0.2446961   1.16133418  0.2823989   0.1957503  -0.22979902 -1.2013165   0.92078979  0.78528947 -0.81279527],[-0.76612876 -0.68971216 -0.10570813  0.84245767 -0.77571998 -0.57718468  0.99276614 -0.76439411  0.56151273 -0.0456579   0.5169295  -0.90153517  1.09036159 -1.35154433],[ 0.5841596   0.25028108 -0.21806826  0.93480627  0.22719993 -1.45951326 -0.57562669 -1.54682737 -1.20734533 -1.24921007  1.23522347 -0.46756756 -1.55750891  0.76800593  1.13960744 -0.1214048 ],0.7075478273022676,30,0.7665785545120433,86,0.8216806598943021,253,0.833275948171146,272,0.8591033277234795,494
graphs/main/nodes_9/depth_3/8.gml,[ 1.30909349 -0.52440384],[ 1.34939972  0.79502007  0.07259607 -1.15154041],[-0.19669848  0.11231331  0.32161169  1.30210947 -0.23801341 -1.37831588],[-0.19669848  0.11231331  0.32161169  1.30210947 -0.23801341 -1.37831588  0.          0.        ],[ 0.73601235  1.56094902  0.54910946 -0.06814105 -1.08478686  1.13511376  0.33618137  1.30735818 -1.89864356 -0.02110565],[-1.36710474 -0.85291854 -0.87893314  0.099231   -0.70240679 -1.26232072 -0.37799773  1.29236581 -0.92270379 -1.25899179  1.35712589  0.52613466],[ 0.3291002  -0.21343792 -0.58779609  0.80109087  0.12107829  0.39833352  1.26525199  0.59456645 -0.40429561  1.52014779  1.21976662 -0.84935732 -1.43707073  1.194103  ],[-1.30427224 -1.28245021 -0.31540505 -1.15394051  0.8819926   0.18000342  0.82449896  0.794692    1.5628503  -1.47596724  0.80037901 -1.38020568  1.41033198  0.3707269   0.16206749 -0.00784457],0.7096569919681661,28,0.733485519860604,82,0.8355774887124441,193,0.8355774887124441,340,0.8637878547760901,410
graphs/main/nodes_9/depth_3/9.gml,[ 0.23924186 -0.31682238],[ 0.23924186 -0.31682238  0.          0.        ],[ 0.17110224  1.07421449  0.3098224   1.20130716  0.39545388 -0.25893434],[ 0.17110224  1.07421449  0.3098224   1.20130716  0.39545388 -0.25893434  0.          0.        ],[ 0.17110224  1.07421449  0.3098224   1.20130716  0.39545388 -0.25893434  0.          0.          0.          0.        ],[ 0.73432335  0.89840815 -0.45260321  0.45632421  1.49085995  0.08424669  0.60939161 -0.64579966 -0.15536367 -1.42502444  0.97805137  0.84398352],[ 1.21411518 -1.4966125  -1.54979744  1.43241478 -1.07582632 -0.02886347 -1.06640416 -0.36432355 -0.35414452  0.15337288 -0.34195463 -0.99958098  1.46730249 -1.50143092],[ 1.26059005  1.18457927 -0.8579402   0.44152657 -1.41969506  0.29437439  0.0609893   0.13386064 -1.24082122 -1.55041455  1.37377944 -0.56345505 -0.92733614  0.89227812  0.13092748 -0.56704927],0.7782604774509306,46,0.7782604774509306,62,0.870649661690806,209,0.870649661690806,1444,0.870649661690806,447
