path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev
graphs/main/nodes_9/depth_3/0.gml,[-1.27897372 -0.4831749 ],[ 0.17122597  1.24756299 -0.56646848  1.54833084],[-0.05035706  0.18878142  0.33654113  1.31507978  0.6394922   1.5211486 ],[-0.05035706  0.18878142  0.33654113  1.31507978  0.6394922   1.5211486   0.          0.        ],[-0.14804513 -1.21191555 -1.93698182 -1.41885112 -1.51946194  1.82249469 -1.5577958  -0.17064658  1.16656047 -1.39570035],[-1.22219178 -0.79430784 -0.35820824  0.39932027  1.05092269 -1.03587952  0.16199113 -0.05395621  0.39426325 -1.09166603 -1.4680215  -0.03342427],[ 0.44331211 -1.54783753  0.57874204  1.56368351  0.13046325 -1.55586219 -0.36317194  1.16441738 -1.16413564  0.66033126  1.15189355 -1.09806074  0.97559731  0.93363172],[-1.24196352 -0.77493089 -1.56700075 -1.22065974 -0.73131773 -0.35847888  0.78333177  0.13690602  1.11244555  0.13100506  1.50922089  0.61294517 -0.95322242 -0.35325814 -0.30847567  1.54005013],0.7467320228191842,45,0.8248905281161001,106,0.841102575499886,224,0.841102575499886,420,0.8951994262532984,969
graphs/main/nodes_9/depth_3/1.gml,[-0.24358477 -1.26353436],[-1.50574167 -0.12065889 -1.44962375 -0.26370412],[-1.36980461  1.36453228 -0.34782157 -1.31320567  1.29480575  0.18110406],[-1.36980461  1.36453228 -0.34782157 -1.31320567  1.29480575  0.18110406  0.          0.        ],[-0.12137037 -1.18710295  1.3450671   0.03460013  0.44976851  0.01665473  1.07319867  0.23492307 -0.41352472  0.17562168],[-0.41902371 -0.19112992  1.12016465 -0.4234957   1.16464036  1.00099304 -0.46012671  1.48463956 -1.35922067 -0.9826568   1.45617853 -0.29216767],[ 0.40853911  0.62447059  0.09963883 -0.20167747  1.35188081 -0.6639446  -0.88228377  1.03510019  1.10704171  0.18896189  0.20111049 -1.39952932  0.6762225   0.90818392],[-0.69241981 -0.0276571   0.11508383  0.59709906 -0.91575822 -0.64286339  0.9315626   0.84518563 -0.90479046 -0.42044817  0.41251812 -1.00772848 -1.09717258  0.26830916  1.29673541  0.97573715],0.8582464837817662,42,0.8653273315894793,118,0.8878814007173548,414,0.8878814007173548,615,0.9236413457746792,1457
graphs/main/nodes_9/depth_3/2.gml,[ 0.23619484 -0.28591583],[0.14852793 1.13984921 0.3122648  1.30717618],[0.14852793 1.13984921 0.3122648  1.30717618 0.         0.        ],[0.14852793 1.13984921 0.3122648  1.30717618 0.         0.         0.         0.        ],[ 0.06092743  1.43990603 -0.211984    0.13723895  0.35148575 -1.85942249 -1.42995587  1.45066169 -1.41248507 -1.7734336 ],[ 0.0339889   1.51081211  1.08390095 -0.20918359  0.60666957 -1.22246758 -0.45149373 -0.40244967 -1.47593888  0.14618893  0.26707594 -1.03938279],[-1.09899004  0.90394519  0.59221599  0.38850016 -0.31824527 -0.69201963 -1.44889165 -0.86221076  1.48162853 -0.72556816 -0.47339468 -0.42872593 -0.09335327 -0.40046525],[-1.17232669  0.13614606  0.52329268  0.57934783 -0.66555341  1.40676376 -1.03311758  1.20663633 -0.11035306 -1.35639914  1.52476554  0.31320667 -0.44315514  0.97697254 -0.95440846  0.36494722],0.8370830866027644,43,0.8925254390739317,153,0.8925254390739317,137,0.8925254390739317,341,0.8984026618325957,626
graphs/main/nodes_9/depth_3/3.gml,[ 0.0449165  -0.35553509],[ 0.10181651 -0.30816068 -0.27638728 -1.36750795],[-1.5524778  -1.38365192  1.32879358  0.31637038 -0.34035795 -1.27495803],[-1.5524778  -1.38365192  1.32879358  0.31637038 -0.34035795 -1.27495803  0.          0.        ],[-1.5524778  -1.38365192  1.32879358  0.31637038 -0.34035795 -1.27495803  0.          0.          0.          0.        ],[-1.19490099 -1.36450788  0.87344141 -1.56962723 -1.48161974 -1.31425116  1.14589953  1.56626135 -0.37146712 -0.30780903 -1.50672417  0.25609606],[-0.48534345 -0.28088841  1.23138663  0.59021372  0.14500689  0.33292712  0.24896132 -1.25390612  0.13642902  1.49998276  1.27074965 -0.41824746 -0.43066919 -1.02408175],[ 0.5080073  -0.61229081  0.74539783 -0.80676721  0.25235239  0.23193911 -0.79034424  0.60822169 -1.46740654  0.8876357  -1.21476966  0.58641518 -0.14793053 -0.05756323  0.42390336 -1.39751291],0.7189299975240262,42,0.8126927655985424,104,0.8320322604248275,224,0.8320322604248275,380,0.8320322604248275,822
graphs/main/nodes_9/depth_3/4.gml,[ 0.24679907 -0.29967596],[ 0.24679907 -0.29967596  0.          0.        ],[ 1.36326272 -0.47025587  0.00638232  0.1673305  -1.09052789 -0.18398392],[ 1.36326272 -0.47025587  0.00638232  0.1673305  -1.09052789 -0.18398392  0.          0.        ],[ 1.36326272 -0.47025587  0.00638232  0.1673305  -1.09052789 -0.18398392  0.          0.          0.          0.        ],[-0.92977497  1.00581442 -0.15491824  0.56898277  0.98760398 -0.23771256 -0.58753461 -1.03418124 -1.40492609  1.0813824   0.86539013  0.01136381],[-0.42043748 -0.47201098 -0.97637863 -0.98267377  0.18254424  0.33779121  1.51870774 -0.2618589   1.38278295 -0.92771936 -0.05615637  0.30463543 -1.12414921  0.35733825],[-1.26863867  0.51507886 -0.62589341  0.0344149   0.04026154 -1.03161872  0.94240698 -0.10453731  0.27586709 -0.75718477 -0.47485111 -0.7352697   0.2414918  -0.20056384 -0.98491008  0.58760836],0.8043430030417333,43,0.8043430030417333,85,0.834342164694958,226,0.834342164694958,304,0.834342164694958,381
graphs/main/nodes_9/depth_3/5.gml,[-0.27214768 -1.1840488 ],[-0.15054739 -1.07261271  0.21019844 -0.21399881],[-0.2134851  -1.06008155 -0.35855207  0.35569863  0.45242927  1.39350483],[ 0.20953751  1.10147507  0.33052447 -0.26496466 -0.75003846 -1.53000084  1.2750176  -0.13219607],[ 0.20953751  1.10147507  0.33052447 -0.26496466 -0.75003846 -1.53000084  1.2750176  -0.13219607  0.          0.        ],[ 1.30401487  0.62513766 -0.68191754  0.1264006  -1.11223864 -0.38685536  0.34313255  1.46029768  0.23946446 -1.24096889  0.22041901  1.00168109],[ 1.56950017  0.24660624  0.55361121  0.94695829 -0.72232115 -0.53151554 -0.19591506  1.34387489  0.29535285 -0.60822     1.19040269 -1.31635607 -0.59905114  0.69875611],[ 0.18389722 -0.81843233 -0.67504546 -0.77254613 -1.45853584 -0.82866905  1.29784823  0.21704286 -0.73993747 -0.81815292  0.12948055  0.06434031 -1.23998086  1.42845359 -0.97033506  0.54295855],0.7639739286054515,37,0.7915644198624312,141,0.8371784327668677,167,0.8636038109763289,498,0.8636038109763289,625
graphs/main/nodes_9/depth_3/6.gml,[1.35325244 0.42171787],[-1.17809179  1.45920061  0.91957081  0.31883113],[ 0.34152484  1.42887368 -0.75812864  0.32320174  1.07069919  1.58320344],[ 1.37114174 -0.36911944  0.04641465 -1.1645788   1.51040012 -1.3607051   0.60884327 -0.19627721],[ 1.37114174 -0.36911944  0.04641465 -1.1645788   1.51040012 -1.3607051   0.60884327 -0.19627721  0.          0.        ],[ 0.6624312   0.00411165  1.15762972  1.31393055  0.13145553  0.14037376  0.85088535  0.11155138  1.10120906  1.13512831 -0.89192623  0.83109309],[-0.4442896   0.01905623  0.7804713  -0.97273082  0.89318634  0.19009053  1.45143624  1.18336756  0.27547804  1.34299323 -0.20071386  0.39035059  1.14735451 -1.50642365],[ 0.8081432   1.3178501  -0.47271804  1.07395551  1.09954298  0.21298946  1.47324913  1.0948179  -1.32081894  0.39526389  1.28627277  1.5563837  -1.12209585 -0.29536695  0.30316723 -0.19066047],0.7748807296934872,48,0.8479385630246039,116,0.8534651128575209,213,0.8770679269452529,381,0.8770679269452529,479
graphs/main/nodes_9/depth_3/7.gml,[ 1.33370995 -0.8745833 ],[-0.22545804  0.37398831 -1.12070347 -0.18307262],[ 0.18223316 -0.16076699 -0.35838164 -1.16768632  0.0683633  -0.21666612],[ 0.18534885 -0.3496308   0.18972551  1.51675229 -0.04320732 -0.33159878 -0.10129871  0.25472406],[ 0.18534885 -0.3496308   0.18972551  1.51675229 -0.04320732 -0.33159878 -0.10129871  0.25472406  0.          0.        ],[-0.00997318 -1.31295347  1.08183925 -0.2446961   1.16133418  0.2823989   0.1957503  -0.22979902 -1.2013165   0.92078979  0.78528947 -0.81279527],[-0.76612876 -0.68971216 -0.10570813  0.84245767 -0.77571998 -0.57718468  0.99276614 -0.76439411  0.56151273 -0.0456579   0.5169295  -0.90153517  1.09036159 -1.35154433],[ 0.5841596   0.25028108 -0.21806826  0.93480627  0.22719993 -1.45951326 -0.57562669 -1.54682737 -1.20734533 -1.24921007  1.23522347 -0.46756756 -1.55750891  0.76800593  1.13960744 -0.1214048 ],0.7046429273227398,26,0.7954227543191094,94,0.8402023650076854,281,0.8544529664287345,304,0.8544529664287345,528
graphs/main/nodes_9/depth_3/8.gml,[ 0.32203536 -0.23496243],[-0.33586281 -0.25651615  0.02360929 -1.02571835],[-0.33586281 -0.25651615  0.02360929 -1.02571835  0.          0.        ],[-1.38149189  1.44207358 -1.61581264 -1.38253935  0.13054332  0.45120152 -0.11015999 -1.01308318],[ 0.1302432   1.36443675 -0.79175442 -0.08196339  0.80216879  1.5313517   0.34009142  1.33346577  0.02044521 -1.61238282],[-1.36710474 -0.85291854 -0.87893314  0.099231   -0.70240679 -1.26232072 -0.37799773  1.29236581 -0.92270379 -1.25899179  1.35712589  0.52613466],[ 0.3291002  -0.21343792 -0.58779609  0.80109087  0.12107829  0.39833352  1.26525199  0.59456645 -0.40429561  1.52014779  1.21976662 -0.84935732 -1.43707073  1.194103  ],[-1.30427224 -1.28245021 -0.31540505 -1.15394051  0.8819926   0.18000342  0.82449896  0.794692    1.5628503  -1.47596724  0.80037901 -1.38020568  1.41033198  0.3707269   0.16206749 -0.00784457],0.7668272848378699,34,0.7908986317362299,101,0.7908986317362299,222,0.7974888889881782,381,0.80343019690515,479
graphs/main/nodes_9/depth_3/9.gml,[ 1.12210144 -1.16219021],[ 1.5106825   0.93787148 -1.32662302  1.28085624],[ 0.08285907 -0.1420655  -0.53080404  0.06523186  0.77767123 -0.28715767],[ 0.18791016 -0.48561524 -1.36955365  0.02880964 -1.44947345 -0.35592668  0.41356046  1.37490276],[ 0.18791016 -0.48561524 -1.36955365  0.02880964 -1.44947345 -0.35592668  0.41356046  1.37490276  0.          0.        ],[ 0.73432335  0.89840815 -0.45260321  0.45632421  1.49085995  0.08424669  0.60939161 -0.64579966 -0.15536367 -1.42502444  0.97805137  0.84398352],[ 1.21411518 -1.4966125  -1.54979744  1.43241478 -1.07582632 -0.02886347 -1.06640416 -0.36432355 -0.35414452  0.15337288 -0.34195463 -0.99958098  1.46730249 -1.50143092],[ 1.26059005  1.18457927 -0.8579402   0.44152657 -1.41969506  0.29437439  0.0609893   0.13386064 -1.24082122 -1.55041455  1.37377944 -0.56345505 -0.92733614  0.89227812  0.13092748 -0.56704927],0.6433067835978735,44,0.7673805913206285,70,0.8099809734204416,223,0.8737887068306378,1473,0.8737887068306378,479
