path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev
graphs/main/nodes_9/depth_3/0.gml,[-1.35101868  1.08924564],[ 0.72697822 -1.56169887 -0.52836704  1.3195534 ],[ 0.72697822 -1.56169887 -0.52836704  1.3195534   0.          0.        ],[ 0.15791497 -0.05324881 -0.3496336  -1.39377596  0.5276644  -0.69839909 -0.04170605 -1.01419449],[ 0.15791497 -0.05324881 -0.3496336  -1.39377596  0.5276644  -0.69839909 -0.04170605 -1.01419449  0.          0.        ],[-1.22219178 -0.79430784 -0.35820824  0.39932027  1.05092269 -1.03587952  0.16199113 -0.05395621  0.39426325 -1.09166603 -1.4680215  -0.03342427],[ 0.44331211 -1.54783753  0.57874204  1.56368351  0.13046325 -1.55586219 -0.36317194  1.16441738 -1.16413564  0.66033126  1.15189355 -1.09806074  0.97559731  0.93363172],[-1.24196352 -0.77493089 -1.56700075 -1.22065974 -0.73131773 -0.35847888  0.78333177  0.13690602  1.11244555  0.13100506  1.50922089  0.61294517 -0.95322242 -0.35325814 -0.30847567  1.54005013],0.7474971807831768,44,0.8315449569785054,89,0.8315449569785054,208,0.8791904074092637,403,0.8791904074092637,928
graphs/main/nodes_9/depth_3/1.gml,[-0.20061945 -1.25067225],[-0.1788003  -0.78076797  0.0607117   1.12550228],[-0.1788003  -0.78076797  0.0607117   1.12550228  0.          0.        ],[-0.14598306 -1.25267344 -1.28713399 -0.06963199 -0.28885794 -1.46906345  1.17266034  0.19634296],[-1.48051922 -0.35264037  0.02064712 -0.14361632  1.70532269 -0.3081167   0.30268578 -0.1124852   1.01684555 -1.39431006],[-0.41902371 -0.19112992  1.12016465 -0.4234957   1.16464036  1.00099304 -0.46012671  1.48463956 -1.35922067 -0.9826568   1.45617853 -0.29216767],[ 0.40853911  0.62447059  0.09963883 -0.20167747  1.35188081 -0.6639446  -0.88228377  1.03510019  1.10704171  0.18896189  0.20111049 -1.39952932  0.6762225   0.90818392],[-0.69241981 -0.0276571   0.11508383  0.59709906 -0.91575822 -0.64286339  0.9315626   0.84518563 -0.90479046 -0.42044817  0.41251812 -1.00772848 -1.09717258  0.26830916  1.29673541  0.97573715],0.8613579351134825,45,0.8886115907694186,103,0.8886115907694186,393,0.9018148958205198,583,0.910021491073442,1403
graphs/main/nodes_9/depth_3/2.gml,[ 0.19912698 -0.381934  ],[ 0.8594009  -1.56141194 -0.61736101  1.26070297],[ 1.297377    1.11029527  0.11338514  0.62199728  1.51679955 -1.30650126],[ 1.13440597 -0.10940519 -1.22115913 -1.05455469  0.41686488  0.31873159 -0.1377709   0.99221955],[ 0.01498526  0.31896063 -1.63962703  0.51342781  1.40926985 -1.21862971  0.98690879  1.58035986 -1.31691986  0.19772273],[ 0.0339889   1.51081211  1.08390095 -0.20918359  0.60666957 -1.22246758 -0.45149373 -0.40244967 -1.47593888  0.14618893  0.26707594 -1.03938279],[-1.09899004  0.90394519  0.59221599  0.38850016 -0.31824527 -0.69201963 -1.44889165 -0.86221076  1.48162853 -0.72556816 -0.47339468 -0.42872593 -0.09335327 -0.40046525],[-1.17232669  0.13614606  0.52329268  0.57934783 -0.66555341  1.40676376 -1.03311758  1.20663633 -0.11035306 -1.35639914  1.52476554  0.31320667 -0.44315514  0.97697254 -0.95440846  0.36494722],0.8326629991302078,47,0.8396685227977476,138,0.8463474851151492,120,0.8955041197221922,298,0.8976739804676167,605
graphs/main/nodes_9/depth_3/3.gml,[-1.35423009 -0.68984773],[-0.15580877  0.5102018  -0.24294354  0.32983325],[-0.15580877  0.5102018  -0.24294354  0.32983325  0.          0.        ],[-0.18448852 -1.4007468   0.40180125 -0.37119215  0.29405771 -0.25209138  1.4310236  -0.01430285],[-0.18448852 -1.4007468   0.40180125 -0.37119215  0.29405771 -0.25209138  1.4310236  -0.01430285  0.          0.        ],[-1.19490099 -1.36450788  0.87344141 -1.56962723 -1.48161974 -1.31425116  1.14589953  1.56626135 -0.37146712 -0.30780903 -1.50672417  0.25609606],[-0.48534345 -0.28088841  1.23138663  0.59021372  0.14500689  0.33292712  0.24896132 -1.25390612  0.13642902  1.49998276  1.27074965 -0.41824746 -0.43066919 -1.02408175],[ 0.5080073  -0.61229081  0.74539783 -0.80676721  0.25235239  0.23193911 -0.79034424  0.60822169 -1.46740654  0.8876357  -1.21476966  0.58641518 -0.14793053 -0.05756323  0.42390336 -1.39751291],0.7124429374275996,46,0.8501440050786961,87,0.8501440050786961,197,0.8904702359992294,358,0.8904702359992294,794
graphs/main/nodes_9/depth_3/4.gml,[-1.34857846 -1.17804266],[ 1.39350852 -0.13250712 -1.14524745 -0.20771412],[-1.31065388 -1.17308453  0.58236568  0.20652381  1.19288128 -1.6405001 ],[ 1.44101467  1.16702228 -0.29272842  1.46833304  0.65862333  0.14041775  0.64561983 -1.4216151 ],[ 0.73741051  0.01423317 -1.05602321 -0.03702999  0.25162824  0.61167582  0.26401556 -0.22286004 -0.98947887  0.14858858],[-0.92977497  1.00581442 -0.15491824  0.56898277  0.98760398 -0.23771256 -0.58753461 -1.03418124 -1.40492609  1.0813824   0.86539013  0.01136381],[-0.42043748 -0.47201098 -0.97637863 -0.98267377  0.18254424  0.33779121  1.51870774 -0.2618589   1.38278295 -0.92771936 -0.05615637  0.30463543 -1.12414921  0.35733825],[-1.26863867  0.51507886 -0.62589341  0.0344149   0.04026154 -1.03161872  0.94240698 -0.10453731  0.27586709 -0.75718477 -0.47485111 -0.7352697   0.2414918  -0.20056384 -0.98491008  0.58760836],0.7839912522813233,39,0.824173823127276,76,0.8402166013243679,195,0.8667835622917268,283,0.8711998199499927,358
graphs/main/nodes_9/depth_3/5.gml,[ 0.29828572 -0.34260865],[-1.09314916  1.50120261  0.81708018  0.36667218],[-1.09314916  1.50120261  0.81708018  0.36667218  0.          0.        ],[ 1.64458807  1.2285849   0.28506879 -1.56707244  0.99562651  0.15367324  0.58062566 -0.26186625],[ 1.6364364  -0.5140228   0.80115994 -1.6114907   0.55941288  0.46835031 -1.73144408  1.48345838  1.33979404 -1.31779752],[ 1.30401487  0.62513766 -0.68191754  0.1264006  -1.11223864 -0.38685536  0.34313255  1.46029768  0.23946446 -1.24096889  0.22041901  1.00168109],[ 1.56950017  0.24660624  0.55361121  0.94695829 -0.72232115 -0.53151554 -0.19591506  1.34387489  0.29535285 -0.60822     1.19040269 -1.31635607 -0.59905114  0.69875611],[ 0.18389722 -0.81843233 -0.67504546 -0.77254613 -1.45853584 -0.82866905  1.29784823  0.21704286 -0.73993747 -0.81815292  0.12948055  0.06434031 -1.23998086  1.42845359 -0.97033506  0.54295855],0.7639138036411809,39,0.7668161992843832,133,0.7668161992843832,141,0.8098145347598315,463,0.8374929727308766,605
graphs/main/nodes_9/depth_3/6.gml,[-0.25240635  0.3509922 ],[-1.28125259  1.42221422  1.00087256  0.32326342],[-1.28125259  1.42221422  1.00087256  0.32326342  0.          0.        ],[ 0.22192736 -0.06416233 -1.8129789  -1.37243884  1.17766752  0.12500507  0.69636526  1.33063426],[ 1.56097896 -0.96874128 -1.41011393 -0.13474287 -0.39765801  0.3743702   1.31370239 -1.61211847  1.49782263  0.257959  ],[ 0.6624312   0.00411165  1.15762972  1.31393055  0.13145553  0.14037376  0.85088535  0.11155138  1.10120906  1.13512831 -0.89192623  0.83109309],[-0.4442896   0.01905623  0.7804713  -0.97273082  0.89318634  0.19009053  1.45143624  1.18336756  0.27547804  1.34299323 -0.20071386  0.39035059  1.14735451 -1.50642365],[ 0.8081432   1.3178501  -0.47271804  1.07395551  1.09954298  0.21298946  1.47324913  1.0948179  -1.32081894  0.39526389  1.28627277  1.5563837  -1.12209585 -0.29536695  0.30316723 -0.19066047],0.8258733818042548,52,0.8558865598848833,105,0.8558865598848833,193,0.8769216140527983,343,0.9244826149117316,415
graphs/main/nodes_9/depth_3/7.gml,[-1.31796336  0.95049792],[-0.24290123 -1.24564879 -1.35914955  1.30066868],[-0.76540601  1.56461271  0.57932323  0.37285809 -0.39013945 -1.31883229],[-0.76540601  1.56461271  0.57932323  0.37285809 -0.39013945 -1.31883229  0.          0.        ],[-0.76540601  1.56461271  0.57932323  0.37285809 -0.39013945 -1.31883229  0.          0.          0.          0.        ],[-0.00997318 -1.31295347  1.08183925 -0.2446961   1.16133418  0.2823989   0.1957503  -0.22979902 -1.2013165   0.92078979  0.78528947 -0.81279527],[-0.76612876 -0.68971216 -0.10570813  0.84245767 -0.77571998 -0.57718468  0.99276614 -0.76439411  0.56151273 -0.0456579   0.5169295  -0.90153517  1.09036159 -1.35154433],[ 0.5841596   0.25028108 -0.21806826  0.93480627  0.22719993 -1.45951326 -0.57562669 -1.54682737 -1.20734533 -1.24921007  1.23522347 -0.46756756 -1.55750891  0.76800593  1.13960744 -0.1214048 ],0.706426128152743,34,0.7892075131859926,86,0.8577998352452428,262,0.8577998352452428,283,0.8577998352452428,510
graphs/main/nodes_9/depth_3/8.gml,[-0.29951911  0.30225468],[-0.29951911  0.30225468  0.          0.        ],[ 1.56229209  1.22402284 -1.35700501  1.38254153 -0.52865079  0.2505415 ],[-0.16902087 -1.13531862  1.92270341  0.27402259 -0.01909882  1.21844258  0.88542265 -1.30161783],[-0.16902087 -1.13531862  1.92270341  0.27402259 -0.01909882  1.21844258  0.88542265 -1.30161783  0.          0.        ],[-1.36710474 -0.85291854 -0.87893314  0.099231   -0.70240679 -1.26232072 -0.37799773  1.29236581 -0.92270379 -1.25899179  1.35712589  0.52613466],[ 0.3291002  -0.21343792 -0.58779609  0.80109087  0.12107829  0.39833352  1.26525199  0.59456645 -0.40429561  1.52014779  1.21976662 -0.84935732 -1.43707073  1.194103  ],[-1.30427224 -1.28245021 -0.31540505 -1.15394051  0.8819926   0.18000342  0.82449896  0.794692    1.5628503  -1.47596724  0.80037901 -1.38020568  1.41033198  0.3707269   0.16206749 -0.00784457],0.7802808725047392,40,0.7802808725047392,89,0.8347089261043235,197,0.8531124146855985,358,0.8531124146855985,434
graphs/main/nodes_9/depth_3/9.gml,[ 0.27731096 -0.2968381 ],[ 0.27731096 -0.2968381   0.          0.        ],[-0.37452154 -1.42728084 -1.16427114  0.14073881 -1.27698823 -0.410049  ],[-0.17522921 -1.06668511  0.20752028 -0.05038284 -0.70682371  1.10860091  0.10970404 -0.83847106],[-0.17522921 -1.06668511  0.20752028 -0.05038284 -0.70682371  1.10860091  0.10970404 -0.83847106  0.          0.        ],[ 0.73432335  0.89840815 -0.45260321  0.45632421  1.49085995  0.08424669  0.60939161 -0.64579966 -0.15536367 -1.42502444  0.97805137  0.84398352],[ 1.21411518 -1.4966125  -1.54979744  1.43241478 -1.07582632 -0.02886347 -1.06640416 -0.36432355 -0.35414452  0.15337288 -0.34195463 -0.99958098  1.46730249 -1.50143092],[ 1.26059005  1.18457927 -0.8579402   0.44152657 -1.41969506  0.29437439  0.0609893   0.13386064 -1.24082122 -1.55041455  1.37377944 -0.56345505 -0.92733614  0.89227812  0.13092748 -0.56704927],0.7768266869865156,50,0.7768266869865156,60,0.7882566208207902,219,0.8659706029716597,1451,0.8659706029716597,453
