path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev
graphs/main/nodes_9/depth_3/0.gml,[-0.20311066  0.25004453],[-0.20311066  0.25004453  0.          0.        ],[ 0.11069051  1.34821403 -0.34335291  0.21233679  0.27118301 -1.61282554],[ 0.11069051  1.34821403 -0.34335291  0.21233679  0.27118301 -1.61282554  0.          0.        ],[-0.18350704  0.13627731  1.4714271  -0.02101291 -1.04634404  1.26702878  0.34287793  1.26104113 -0.09428402  0.08444374],[-1.22219178 -0.79430784 -0.35820824  0.39932027  1.05092269 -1.03587952  0.16199113 -0.05395621  0.39426325 -1.09166603 -1.4680215  -0.03342427],[ 0.44331211 -1.54783753  0.57874204  1.56368351  0.13046325 -1.55586219 -0.36317194  1.16441738 -1.16413564  0.66033126  1.15189355 -1.09806074  0.97559731  0.93363172],[-1.24196352 -0.77493089 -1.56700075 -1.22065974 -0.73131773 -0.35847888  0.78333177  0.13690602  1.11244555  0.13100506  1.50922089  0.61294517 -0.95322242 -0.35325814 -0.30847567  1.54005013],0.8308517082537565,42,0.8308517082537565,84,0.85980915348541,207,0.85980915348541,411,0.8950774633767158,923
graphs/main/nodes_9/depth_3/1.gml,[-0.21202598 -1.31128771],[-0.15464032 -1.16722384 -1.3987751  -0.1311804 ],[ 1.35990434 -1.4581431   0.42788421 -0.18526261  1.03801313  0.19668155],[ 1.55992306 -1.41515995  0.18352085  1.42736528  1.16017547 -1.42592651  0.58708321 -0.14260242],[ 1.55992306 -1.41515995  0.18352085  1.42736528  1.16017547 -1.42592651  0.58708321 -0.14260242  0.          0.        ],[-0.41902371 -0.19112992  1.12016465 -0.4234957   1.16464036  1.00099304 -0.46012671  1.48463956 -1.35922067 -0.9826568   1.45617853 -0.29216767],[ 0.40853911  0.62447059  0.09963883 -0.20167747  1.35188081 -0.6639446  -0.88228377  1.03510019  1.10704171  0.18896189  0.20111049 -1.39952932  0.6762225   0.90818392],[-0.69241981 -0.0276571   0.11508383  0.59709906 -0.91575822 -0.64286339  0.9315626   0.84518563 -0.90479046 -0.42044817  0.41251812 -1.00772848 -1.09717258  0.26830916  1.29673541  0.97573715],0.8620755338683787,42,0.8654732956919183,99,0.8830101957288421,395,0.8982839329900413,576,0.8982839329900413,1396
graphs/main/nodes_9/depth_3/2.gml,[-0.34651083 -1.2922296 ],[-0.14213547 -1.29772561  0.37454316 -0.23240215],[-0.14213547 -1.29772561  0.37454316 -0.23240215  0.          0.        ],[-0.20378855  0.38808396 -0.38554534 -1.2909865   1.73300589  1.55874481 -0.45637796  0.06314192],[ 0.5522128   0.01806645 -0.64838938 -0.04005923 -0.00352441 -0.99356101 -0.29474835 -1.33237019  0.55562159  1.39129123],[ 0.0339889   1.51081211  1.08390095 -0.20918359  0.60666957 -1.22246758 -0.45149373 -0.40244967 -1.47593888  0.14618893  0.26707594 -1.03938279],[-1.09899004  0.90394519  0.59221599  0.38850016 -0.31824527 -0.69201963 -1.44889165 -0.86221076  1.48162853 -0.72556816 -0.47339468 -0.42872593 -0.09335327 -0.40046525],[-1.17232669  0.13614606  0.52329268  0.57934783 -0.66555341  1.40676376 -1.03311758  1.20663633 -0.11035306 -1.35639914  1.52476554  0.31320667 -0.44315514  0.97697254 -0.95440846  0.36494722],0.8117440706238085,41,0.8690868303587439,136,0.8690868303587439,116,0.8980495082451707,305,0.9019816524848547,600
graphs/main/nodes_9/depth_3/3.gml,[1.32823126 0.60991226],[ 1.54915509  1.15839951  1.36235878 -1.3654925 ],[ 0.21288896 -0.30193887  0.4061757  -0.08366999  0.61426782 -0.03301542],[ 0.21288896 -0.30193887  0.4061757  -0.08366999  0.61426782 -0.03301542  0.          0.        ],[-1.31230919  0.01475661  1.14998984 -1.09860248  1.37216859 -0.52816269 -0.02666941  0.49123951  1.48038904  1.87701192],[-1.19490099 -1.36450788  0.87344141 -1.56962723 -1.48161974 -1.31425116  1.14589953  1.56626135 -0.37146712 -0.30780903 -1.50672417  0.25609606],[-0.48534345 -0.28088841  1.23138663  0.59021372  0.14500689  0.33292712  0.24896132 -1.25390612  0.13642902  1.49998276  1.27074965 -0.41824746 -0.43066919 -1.02408175],[ 0.5080073  -0.61229081  0.74539783 -0.80676721  0.25235239  0.23193911 -0.79034424  0.60822169 -1.46740654  0.8876357  -1.21476966  0.58641518 -0.14793053 -0.05756323  0.42390336 -1.39751291],0.7156068049857803,37,0.7729535056194937,85,0.8093714168906837,194,0.8093714168906837,353,0.8594521959982464,790
graphs/main/nodes_9/depth_3/4.gml,[ 0.29525724 -0.27886023],[-1.25238071  0.38141902 -1.04707639  1.37285714],[-0.85522575 -1.53051206 -0.48657827 -1.33989324  0.98248644  0.19123994],[-0.85522575 -1.53051206 -0.48657827 -1.33989324  0.98248644  0.19123994  0.          0.        ],[-0.18709422  0.56852547 -0.28895585 -1.21500302  0.31412361 -1.58452355 -0.88539552 -1.25690963  1.1022086   1.45278732],[-0.92977497  1.00581442 -0.15491824  0.56898277  0.98760398 -0.23771256 -0.58753461 -1.03418124 -1.40492609  1.0813824   0.86539013  0.01136381],[-0.42043748 -0.47201098 -0.97637863 -0.98267377  0.18254424  0.33779121  1.51870774 -0.2618589   1.38278295 -0.92771936 -0.05615637  0.30463543 -1.12414921  0.35733825],[-1.26863867  0.51507886 -0.62589341  0.0344149   0.04026154 -1.03161872  0.94240698 -0.10453731  0.27586709 -0.75718477 -0.47485111 -0.7352697   0.2414918  -0.20056384 -0.98491008  0.58760836],0.7976084558656503,38,0.8292757665661207,77,0.8508098603729132,187,0.8508098603729132,276,0.8779750075295487,353
graphs/main/nodes_9/depth_3/5.gml,[-0.38527327  0.34965218],[ 0.34536613 -1.20937267 -0.12717973  0.83740347],[ 0.34536613 -1.20937267 -0.12717973  0.83740347  0.          0.        ],[-1.45623014 -1.28136372  1.06722399 -0.32066244 -1.42823152  0.07795253  1.59531498  0.64768569],[ 0.25294993 -1.23644403 -0.14170301 -0.91863154 -1.08347562 -0.89646113  1.52493061  1.2920888  -1.47959258  0.82028265],[ 1.30401487  0.62513766 -0.68191754  0.1264006  -1.11223864 -0.38685536  0.34313255  1.46029768  0.23946446 -1.24096889  0.22041901  1.00168109],[ 1.56950017  0.24660624  0.55361121  0.94695829 -0.72232115 -0.53151554 -0.19591506  1.34387489  0.29535285 -0.60822     1.19040269 -1.31635607 -0.59905114  0.69875611],[ 0.18389722 -0.81843233 -0.67504546 -0.77254613 -1.45853584 -0.82866905  1.29784823  0.21704286 -0.73993747 -0.81815292  0.12948055  0.06434031 -1.23998086  1.42845359 -0.97033506  0.54295855],0.7388894518330071,33,0.8258412079912906,132,0.8258412079912906,133,0.8285858226498016,472,0.8485636735526446,600
graphs/main/nodes_9/depth_3/6.gml,[0.23490818 1.2668114 ],[-1.51280406  0.87277689  1.30392176  0.29781868],[-0.29237121  0.94933131  0.02148382 -0.36542914  0.05143277  1.281972  ],[ 1.54000223  1.4081681   0.16817433 -0.22013633 -1.29364838  0.32820296 -0.11873812  1.00669173],[ 1.54000223  1.4081681   0.16817433 -0.22013633 -1.29364838  0.32820296 -0.11873812  1.00669173  0.          0.        ],[ 0.6624312   0.00411165  1.15762972  1.31393055  0.13145553  0.14037376  0.85088535  0.11155138  1.10120906  1.13512831 -0.89192623  0.83109309],[-0.4442896   0.01905623  0.7804713  -0.97273082  0.89318634  0.19009053  1.45143624  1.18336756  0.27547804  1.34299323 -0.20071386  0.39035059  1.14735451 -1.50642365],[ 0.8081432   1.3178501  -0.47271804  1.07395551  1.09954298  0.21298946  1.47324913  1.0948179  -1.32081894  0.39526389  1.28627277  1.5563837  -1.12209585 -0.29536695  0.30316723 -0.19066047],0.8285592429684464,40,0.8314406845863697,102,0.8525205261961164,197,0.8746817908053254,338,0.8746817908053254,409
graphs/main/nodes_9/depth_3/7.gml,[ 0.26635126 -0.28785267],[0.22371307 1.12854855 0.36916516 1.2975029 ],[0.22371307 1.12854855 0.36916516 1.2975029  0.         0.        ],[0.22371307 1.12854855 0.36916516 1.2975029  0.         0.         0.         0.        ],[0.22371307 1.12854855 0.36916516 1.2975029  0.         0.         0.         0.         0.         0.        ],[-0.00997318 -1.31295347  1.08183925 -0.2446961   1.16133418  0.2823989   0.1957503  -0.22979902 -1.2013165   0.92078979  0.78528947 -0.81279527],[-0.76612876 -0.68971216 -0.10570813  0.84245767 -0.77571998 -0.57718468  0.99276614 -0.76439411  0.56151273 -0.0456579   0.5169295  -0.90153517  1.09036159 -1.35154433],[ 0.5841596   0.25028108 -0.21806826  0.93480627  0.22719993 -1.45951326 -0.57562669 -1.54682737 -1.20734533 -1.24921007  1.23522347 -0.46756756 -1.55750891  0.76800593  1.13960744 -0.1214048 ],0.7970891066971421,32,0.8549525009561852,89,0.8549525009561852,252,0.8549525009561852,278,0.8549525009561852,505
graphs/main/nodes_9/depth_3/8.gml,[-0.38600688  0.45285538],[-0.19547131 -1.21779241 -1.36958083 -1.50238895],[ 0.15512668 -0.48199609  0.34907921 -0.31437214  0.55881148 -0.08834729],[ 0.15512668 -0.48199609  0.34907921 -0.31437214  0.55881148 -0.08834729  0.          0.        ],[ 0.15512668 -0.48199609  0.34907921 -0.31437214  0.55881148 -0.08834729  0.          0.          0.          0.        ],[-1.36710474 -0.85291854 -0.87893314  0.099231   -0.70240679 -1.26232072 -0.37799773  1.29236581 -0.92270379 -1.25899179  1.35712589  0.52613466],[ 0.3291002  -0.21343792 -0.58779609  0.80109087  0.12107829  0.39833352  1.26525199  0.59456645 -0.40429561  1.52014779  1.21976662 -0.84935732 -1.43707073  1.194103  ],[-1.30427224 -1.28245021 -0.31540505 -1.15394051  0.8819926   0.18000342  0.82449896  0.794692    1.5628503  -1.47596724  0.80037901 -1.38020568  1.41033198  0.3707269   0.16206749 -0.00784457],0.7242794262418495,32,0.7944271529072194,80,0.8671614447659566,191,0.8671614447659566,352,0.8671614447659566,429
graphs/main/nodes_9/depth_3/9.gml,[-0.22569847 -1.13714196],[ 0.27451792 -1.29496603 -0.02569226 -0.62095102],[-0.62988725 -0.10639483  0.4948666   0.56242936  0.31237196  1.28030659],[-0.62988725 -0.10639483  0.4948666   0.56242936  0.31237196  1.28030659  0.          0.        ],[-0.62988725 -0.10639483  0.4948666   0.56242936  0.31237196  1.28030659  0.          0.          0.          0.        ],[ 0.73432335  0.89840815 -0.45260321  0.45632421  1.49085995  0.08424669  0.60939161 -0.64579966 -0.15536367 -1.42502444  0.97805137  0.84398352],[ 1.21411518 -1.4966125  -1.54979744  1.43241478 -1.07582632 -0.02886347 -1.06640416 -0.36432355 -0.35414452  0.15337288 -0.34195463 -0.99958098  1.46730249 -1.50143092],[ 1.26059005  1.18457927 -0.8579402   0.44152657 -1.41969506  0.29437439  0.0609893   0.13386064 -1.24082122 -1.55041455  1.37377944 -0.56345505 -0.92733614  0.89227812  0.13092748 -0.56704927],0.7638704689552228,45,0.7928372239784248,63,0.8053475602205906,213,0.8053475602205906,1447,0.8053475602205906,447
