path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev
graphs/main/nodes_9/depth_3/0.gml,[0.16791556 1.27102922],[0.16791556 1.27102922 0.         0.        ],[ 1.56525494e-01 -2.98655338e-01 -1.15931897e+00  3.15003564e-01 -4.29533683e-04  1.21846732e+00],[ 1.56525494e-01 -2.98655338e-01 -1.15931897e+00  3.15003564e-01 -4.29533683e-04  1.21846732e+00  0.00000000e+00  0.00000000e+00],[ 1.20298857  0.00270284  0.58231375  0.01935189 -0.67573144  0.0361765  -0.89485473  0.61726946 -0.04312441 -0.93651922],[-1.22219178 -0.79430784 -0.35820824  0.39932027  1.05092269 -1.03587952  0.16199113 -0.05395621  0.39426325 -1.09166603 -1.4680215  -0.03342427],[ 0.44331211 -1.54783753  0.57874204  1.56368351  0.13046325 -1.55586219 -0.36317194  1.16441738 -1.16413564  0.66033126  1.15189355 -1.09806074  0.97559731  0.93363172],[-1.24196352 -0.77493089 -1.56700075 -1.22065974 -0.73131773 -0.35847888  0.78333177  0.13690602  1.11244555  0.13100506  1.50922089  0.61294517 -0.95322242 -0.35325814 -0.30847567  1.54005013],0.8308110332017643,43,0.8308110332017643,92,0.8308674769572728,207,0.8308674769572728,412,0.8591758212019335,914
graphs/main/nodes_9/depth_3/1.gml,[-0.18155349 -1.22013008],[ 0.16777794  1.28856486 -1.26726332  1.40135969],[-0.21469245 -1.4108612   0.47647327 -0.20841482  0.36729293  1.42537299],[-0.21469245 -1.4108612   0.47647327 -0.20841482  0.36729293  1.42537299  0.          0.        ],[-0.21469245 -1.4108612   0.47647327 -0.20841482  0.36729293  1.42537299  0.          0.          0.          0.        ],[-0.41902371 -0.19112992  1.12016465 -0.4234957   1.16464036  1.00099304 -0.46012671  1.48463956 -1.35922067 -0.9826568   1.45617853 -0.29216767],[ 0.40853911  0.62447059  0.09963883 -0.20167747  1.35188081 -0.6639446  -0.88228377  1.03510019  1.10704171  0.18896189  0.20111049 -1.39952932  0.6762225   0.90818392],[-0.69241981 -0.0276571   0.11508383  0.59709906 -0.91575822 -0.64286339  0.9315626   0.84518563 -0.90479046 -0.42044817  0.41251812 -1.00772848 -1.09717258  0.26830916  1.29673541  0.97573715],0.8565901838385606,49,0.8807707536910936,97,0.9137449709139588,391,0.9137449709139588,586,0.9137449709139588,1391
graphs/main/nodes_9/depth_3/2.gml,[1.39857374 0.3466938 ],[ 0.1225815  -0.4470382   0.32680412  1.31935946],[ 0.1225815  -0.4470382   0.32680412  1.31935946  0.          0.        ],[-1.34909251 -0.17180554  1.18982701  0.36182683 -1.44383133 -0.27187411 -1.11044815  1.43455594],[ 1.37413976 -1.74080524  0.28862618 -0.2939005   1.30999417  0.47466132  0.15967536  1.47596689  1.08284613  1.83141325],[ 0.0339889   1.51081211  1.08390095 -0.20918359  0.60666957 -1.22246758 -0.45149373 -0.40244967 -1.47593888  0.14618893  0.26707594 -1.03938279],[-1.09899004  0.90394519  0.59221599  0.38850016 -0.31824527 -0.69201963 -1.44889165 -0.86221076  1.48162853 -0.72556816 -0.47339468 -0.42872593 -0.09335327 -0.40046525],[-1.17232669  0.13614606  0.52329268  0.57934783 -0.66555341  1.40676376 -1.03311758  1.20663633 -0.11035306 -1.35639914  1.52476554  0.31320667 -0.44315514  0.97697254 -0.95440846  0.36494722],0.7660505698008119,38,0.8897715461642968,134,0.8897715461642968,119,0.8899310316329476,309,0.8899661960360652,599
graphs/main/nodes_9/depth_3/3.gml,[1.3179472  0.59263351],[-1.42939569  1.27926576 -0.32879031 -1.12029928],[ 1.49249369  0.82076411 -0.03356379  1.2616264  -1.30510758 -0.29013954],[ 0.22797014 -0.12373924 -0.74133295  1.40793837  0.20973532 -1.06712613 -0.71525242  1.52095601],[-0.21153071  0.18436119  0.55416385 -0.12459185 -0.68683587 -0.57877805 -1.23071548  1.58214634  1.31206599  0.73689237],[-1.19490099 -1.36450788  0.87344141 -1.56962723 -1.48161974 -1.31425116  1.14589953  1.56626135 -0.37146712 -0.30780903 -1.50672417  0.25609606],[-0.48534345 -0.28088841  1.23138663  0.59021372  0.14500689  0.33292712  0.24896132 -1.25390612  0.13642902  1.49998276  1.27074965 -0.41824746 -0.43066919 -1.02408175],[ 0.5080073  -0.61229081  0.74539783 -0.80676721  0.25235239  0.23193911 -0.79034424  0.60822169 -1.46740654  0.8876357  -1.21476966  0.58641518 -0.14793053 -0.05756323  0.42390336 -1.39751291],0.7157744466529328,40,0.7268394146581356,85,0.7885582398828246,195,0.8469315902574743,365,0.8694602016851156,782
graphs/main/nodes_9/depth_3/4.gml,[1.31976835 1.23460469],[1.31976835 1.23460469 0.         0.        ],[-0.16107855 -1.38800166 -1.04297287  0.25616459  0.57770473  0.18288671],[ 0.14290153  1.13180799 -1.29922533  1.83118901  0.40433582 -1.40627309  0.58906231  1.73749233],[ 0.14290153  1.13180799 -1.29922533  1.83118901  0.40433582 -1.40627309  0.58906231  1.73749233  0.          0.        ],[-0.92977497  1.00581442 -0.15491824  0.56898277  0.98760398 -0.23771256 -0.58753461 -1.03418124 -1.40492609  1.0813824   0.86539013  0.01136381],[-0.42043748 -0.47201098 -0.97637863 -0.98267377  0.18254424  0.33779121  1.51870774 -0.2618589   1.38278295 -0.92771936 -0.05615637  0.30463543 -1.12414921  0.35733825],[-1.26863867  0.51507886 -0.62589341  0.0344149   0.04026154 -1.03161872  0.94240698 -0.10453731  0.27586709 -0.75718477 -0.47485111 -0.7352697   0.2414918  -0.20056384 -0.98491008  0.58760836],0.7879081881745673,40,0.7879081881745673,80,0.8763702055456264,195,0.9026426680671604,279,0.9026426680671604,372
graphs/main/nodes_9/depth_3/5.gml,[1.23213035 0.46597663],[-0.59477435  0.09925109  0.89257111  1.21614724],[-0.26583641  0.1404251  -0.26538225 -0.21781518  0.21485655 -1.19459317],[ 1.21970281 -1.55432153  1.53491165  1.24900616  0.11415333  0.64990113  1.26481985  0.0859255 ],[ 1.05010315 -1.5499636  -0.82493502  1.1958935  -1.18366189 -1.57419058 -0.12724236 -1.57731841 -1.44300775 -0.28341466],[ 1.30401487  0.62513766 -0.68191754  0.1264006  -1.11223864 -0.38685536  0.34313255  1.46029768  0.23946446 -1.24096889  0.22041901  1.00168109],[ 1.56950017  0.24660624  0.55361121  0.94695829 -0.72232115 -0.53151554 -0.19591506  1.34387489  0.29535285 -0.60822     1.19040269 -1.31635607 -0.59905114  0.69875611],[ 0.18389722 -0.81843233 -0.67504546 -0.77254613 -1.45853584 -0.82866905  1.29784823  0.21704286 -0.73993747 -0.81815292  0.12948055  0.06434031 -1.23998086  1.42845359 -0.97033506  0.54295855],0.6406862841137552,35,0.7758186313253554,128,0.7888261387219687,139,0.8214952695929334,469,0.8345029650192854,596
graphs/main/nodes_9/depth_3/6.gml,[ 0.22611036 -0.31175722],[-1.25385059  1.36588514  0.96068936 -1.33593801],[-1.25385059  1.36588514  0.96068936 -1.33593801  0.          0.        ],[-1.4558184  -0.56707555 -1.41613066 -0.37768197  1.33646867 -1.38441473 -0.98027403  1.32813406],[-1.4558184  -0.56707555 -1.41613066 -0.37768197  1.33646867 -1.38441473 -0.98027403  1.32813406  0.          0.        ],[ 0.6624312   0.00411165  1.15762972  1.31393055  0.13145553  0.14037376  0.85088535  0.11155138  1.10120906  1.13512831 -0.89192623  0.83109309],[-0.4442896   0.01905623  0.7804713  -0.97273082  0.89318634  0.19009053  1.45143624  1.18336756  0.27547804  1.34299323 -0.20071386  0.39035059  1.14735451 -1.50642365],[ 0.8081432   1.3178501  -0.47271804  1.07395551  1.09954298  0.21298946  1.47324913  1.0948179  -1.32081894  0.39526389  1.28627277  1.5563837  -1.12209585 -0.29536695  0.30316723 -0.19066047],0.8288315652503435,47,0.8501016142875825,104,0.8501016142875825,199,0.9187216774777142,340,0.9187216774777142,425
graphs/main/nodes_9/depth_3/7.gml,[0.19743004 1.13464393],[-1.13338149  0.03813323  1.3383514   1.35277449],[-0.19801854  0.21452886 -1.65041461 -1.51449229 -0.944413   -0.20740434],[-0.19801854  0.21452886 -1.65041461 -1.51449229 -0.944413   -0.20740434  0.          0.        ],[-0.19801854  0.21452886 -1.65041461 -1.51449229 -0.944413   -0.20740434  0.          0.          0.          0.        ],[-0.00997318 -1.31295347  1.08183925 -0.2446961   1.16133418  0.2823989   0.1957503  -0.22979902 -1.2013165   0.92078979  0.78528947 -0.81279527],[-0.76612876 -0.68971216 -0.10570813  0.84245767 -0.77571998 -0.57718468  0.99276614 -0.76439411  0.56151273 -0.0456579   0.5169295  -0.90153517  1.09036159 -1.35154433],[ 0.5841596   0.25028108 -0.21806826  0.93480627  0.22719993 -1.45951326 -0.57562669 -1.54682737 -1.20734533 -1.24921007  1.23522347 -0.46756756 -1.55750891  0.76800593  1.13960744 -0.1214048 ],0.7740686634609306,27,0.785021885315554,89,0.8414449169394774,258,0.8414449169394774,281,0.8414449169394774,503
graphs/main/nodes_9/depth_3/8.gml,[-1.31502487  0.52602638],[ 0.43210643  0.11099871 -0.21226979 -0.42965656],[ 0.43210643  0.11099871 -0.21226979 -0.42965656  0.          0.        ],[-0.44093764 -0.12560326  0.21631515 -1.05169972  0.88040926  1.55205728 -1.27566064  0.14343675],[-0.44093764 -0.12560326  0.21631515 -1.05169972  0.88040926  1.55205728 -1.27566064  0.14343675  0.          0.        ],[-1.36710474 -0.85291854 -0.87893314  0.099231   -0.70240679 -1.26232072 -0.37799773  1.29236581 -0.92270379 -1.25899179  1.35712589  0.52613466],[ 0.3291002  -0.21343792 -0.58779609  0.80109087  0.12107829  0.39833352  1.26525199  0.59456645 -0.40429561  1.52014779  1.21976662 -0.84935732 -1.43707073  1.194103  ],[-1.30427224 -1.28245021 -0.31540505 -1.15394051  0.8819926   0.18000342  0.82449896  0.794692    1.5628503  -1.47596724  0.80037901 -1.38020568  1.41033198  0.3707269   0.16206749 -0.00784457],0.7098043760100592,30,0.8182862926009609,88,0.8182862926009609,195,0.8547129213911842,352,0.8547129213911842,430
graphs/main/nodes_9/depth_3/9.gml,[-0.27389796 -1.32209881],[ 1.64060872  1.04291905 -1.31550908  1.28082798],[-0.84387822 -1.53269093  1.04328547  1.12358173  0.39424087 -0.25071182],[-0.84387822 -1.53269093  1.04328547  1.12358173  0.39424087 -0.25071182  0.          0.        ],[-0.84387822 -1.53269093  1.04328547  1.12358173  0.39424087 -0.25071182  0.          0.          0.          0.        ],[ 0.73432335  0.89840815 -0.45260321  0.45632421  1.49085995  0.08424669  0.60939161 -0.64579966 -0.15536367 -1.42502444  0.97805137  0.84398352],[ 1.21411518 -1.4966125  -1.54979744  1.43241478 -1.07582632 -0.02886347 -1.06640416 -0.36432355 -0.35414452  0.15337288 -0.34195463 -0.99958098  1.46730249 -1.50143092],[ 1.26059005  1.18457927 -0.8579402   0.44152657 -1.41969506  0.29437439  0.0609893   0.13386064 -1.24082122 -1.55041455  1.37377944 -0.56345505 -0.92733614  0.89227812  0.13092748 -0.56704927],0.766731503940847,44,0.7764320120490813,57,0.8401452514246821,216,0.8401452514246821,1450,0.8401452514246821,465
