path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev
graphs/main/nodes_9/depth_3/0.gml,[-0.14520372  0.37173469],[-1.45858357  0.22310824 -1.42429603 -0.26411349],[-1.45858357  0.22310824 -1.42429603 -0.26411349  0.          0.        ],[ 0.21096899  1.42448229 -0.77792657 -0.21854072 -1.14901641 -1.48094915  1.29833193 -1.11626597],[-0.22565204 -1.42054557  0.72278709 -1.38727118  1.42575704 -0.04473491 -1.54674058  1.03211021 -0.14808703  0.14462223],[-1.22219178 -0.79430784 -0.35820824  0.39932027  1.05092269 -1.03587952  0.16199113 -0.05395621  0.39426325 -1.09166603 -1.4680215  -0.03342427],[ 0.44331211 -1.54783753  0.57874204  1.56368351  0.13046325 -1.55586219 -0.36317194  1.16441738 -1.16413564  0.66033126  1.15189355 -1.09806074  0.97559731  0.93363172],[-1.24196352 -0.77493089 -1.56700075 -1.22065974 -0.73131773 -0.35847888  0.78333177  0.13690602  1.11244555  0.13100506  1.50922089  0.61294517 -0.95322242 -0.35325814 -0.30847567  1.54005013],0.818133231884263,43,0.8183677840089447,85,0.8183677840089447,204,0.8653811678959529,404,0.8818010517491397,922
graphs/main/nodes_9/depth_3/1.gml,[-1.34687753  1.17398601],[-1.34687753  1.17398601  0.          0.        ],[-1.50346186  0.70535909 -0.1417633  -1.28103498 -1.16386658  1.35746867],[-0.18348749  0.55974465  1.32965066  1.76345083  0.29425745 -1.43651002 -1.51493428 -0.30759103],[-0.18348749  0.55974465  1.32965066  1.76345083  0.29425745 -1.43651002 -1.51493428 -0.30759103  0.          0.        ],[-0.41902371 -0.19112992  1.12016465 -0.4234957   1.16464036  1.00099304 -0.46012671  1.48463956 -1.35922067 -0.9826568   1.45617853 -0.29216767],[ 0.40853911  0.62447059  0.09963883 -0.20167747  1.35188081 -0.6639446  -0.88228377  1.03510019  1.10704171  0.18896189  0.20111049 -1.39952932  0.6762225   0.90818392],[-0.69241981 -0.0276571   0.11508383  0.59709906 -0.91575822 -0.64286339  0.9315626   0.84518563 -0.90479046 -0.42044817  0.41251812 -1.00772848 -1.09717258  0.26830916  1.29673541  0.97573715],0.8337389851034867,42,0.8337389851034867,106,0.8853921477217341,396,0.9013930572707168,580,0.9013930572707168,1409
graphs/main/nodes_9/depth_3/2.gml,[-1.18341121 -0.37766683],[-0.72901277 -1.60996839  0.48498506 -1.22552858],[ 0.03964094  1.06198628 -0.30418426  1.18906395  0.0881503  -0.7743488 ],[ 0.03964094  1.06198628 -0.30418426  1.18906395  0.0881503  -0.7743488   0.          0.        ],[ 0.03964094  1.06198628 -0.30418426  1.18906395  0.0881503  -0.7743488   0.          0.          0.          0.        ],[ 0.0339889   1.51081211  1.08390095 -0.20918359  0.60666957 -1.22246758 -0.45149373 -0.40244967 -1.47593888  0.14618893  0.26707594 -1.03938279],[-1.09899004  0.90394519  0.59221599  0.38850016 -0.31824527 -0.69201963 -1.44889165 -0.86221076  1.48162853 -0.72556816 -0.47339468 -0.42872593 -0.09335327 -0.40046525],[-1.17232669  0.13614606  0.52329268  0.57934783 -0.66555341  1.40676376 -1.03311758  1.20663633 -0.11035306 -1.35639914  1.52476554  0.31320667 -0.44315514  0.97697254 -0.95440846  0.36494722],0.7618356618045935,37,0.8432619484591269,137,0.880988996329438,112,0.880988996329438,298,0.880988996329438,601
graphs/main/nodes_9/depth_3/3.gml,[0.20903318 1.31887179],[-1.14574162 -0.01183936  0.94839935 -1.31465126],[-0.21572585  1.14136786  0.04156143 -0.85577734  0.4964877  -0.1691286 ],[-0.21572585  1.14136786  0.04156143 -0.85577734  0.4964877  -0.1691286   0.          0.        ],[-0.21572585  1.14136786  0.04156143 -0.85577734  0.4964877  -0.1691286   0.          0.          0.          0.        ],[-1.19490099 -1.36450788  0.87344141 -1.56962723 -1.48161974 -1.31425116  1.14589953  1.56626135 -0.37146712 -0.30780903 -1.50672417  0.25609606],[-0.48534345 -0.28088841  1.23138663  0.59021372  0.14500689  0.33292712  0.24896132 -1.25390612  0.13642902  1.49998276  1.27074965 -0.41824746 -0.43066919 -1.02408175],[ 0.5080073  -0.61229081  0.74539783 -0.80676721  0.25235239  0.23193911 -0.79034424  0.60822169 -1.46740654  0.8876357  -1.21476966  0.58641518 -0.14793053 -0.05756323  0.42390336 -1.39751291],0.784698727621775,39,0.7852920415136084,81,0.8535008626761033,197,0.8535008626761033,357,0.8535008626761033,791
graphs/main/nodes_9/depth_3/4.gml,[-0.34336105  0.24968368],[-0.30837222  0.78601118  0.06362194 -0.52185434],[ 0.52403823  0.02465893 -0.67727823  0.48612304 -0.3921021  -1.26407008],[ 0.52403823  0.02465893 -0.67727823  0.48612304 -0.3921021  -1.26407008  0.          0.        ],[-0.15423763  0.31323319 -1.00580152  0.02680983  1.04976676 -1.49579339 -0.43726705  0.18921174 -0.46792281 -1.42900008],[-0.92977497  1.00581442 -0.15491824  0.56898277  0.98760398 -0.23771256 -0.58753461 -1.03418124 -1.40492609  1.0813824   0.86539013  0.01136381],[-0.42043748 -0.47201098 -0.97637863 -0.98267377  0.18254424  0.33779121  1.51870774 -0.2618589   1.38278295 -0.92771936 -0.05615637  0.30463543 -1.12414921  0.35733825],[-1.26863867  0.51507886 -0.62589341  0.0344149   0.04026154 -1.03161872  0.94240698 -0.10453731  0.27586709 -0.75718477 -0.47485111 -0.7352697   0.2414918  -0.20056384 -0.98491008  0.58760836],0.7831718485174116,40,0.8259682977376107,74,0.855981684843333,193,0.855981684843333,279,0.8924903694462006,373
graphs/main/nodes_9/depth_3/5.gml,[ 0.26389639 -0.37121928],[-0.20981743  0.34344462 -0.55753958  0.04294533],[-0.20981743  0.34344462 -0.55753958  0.04294533  0.          0.        ],[-1.42743555 -1.39815729 -0.73416218  1.59627225 -0.63711205 -1.17180427 -0.11881325  0.79784803],[-0.14151547 -0.87722798  0.82873432 -0.00883036 -1.2784418  -1.46321913  0.5993576   1.20972729  0.40067615  1.3365555 ],[ 1.30401487  0.62513766 -0.68191754  0.1264006  -1.11223864 -0.38685536  0.34313255  1.46029768  0.23946446 -1.24096889  0.22041901  1.00168109],[ 1.56950017  0.24660624  0.55361121  0.94695829 -0.72232115 -0.53151554 -0.19591506  1.34387489  0.29535285 -0.60822     1.19040269 -1.31635607 -0.59905114  0.69875611],[ 0.18389722 -0.81843233 -0.67504546 -0.77254613 -1.45853584 -0.82866905  1.29784823  0.21704286 -0.73993747 -0.81815292  0.12948055  0.06434031 -1.23998086  1.42845359 -0.97033506  0.54295855],0.7662795710804986,35,0.7741143223027915,133,0.7741143223027915,143,0.8216356583360046,465,0.869616476806093,600
graphs/main/nodes_9/depth_3/6.gml,[-0.27018246  0.31626794],[ 0.2338686   1.4090239   0.0506228  -0.10019927],[ 0.2148972  -0.46571426 -1.82546448  1.56469601 -1.00842221 -0.29871904],[ 1.0941813   0.05160512 -0.82482748 -0.18508734 -0.68371323  1.20536606  0.07366892 -0.95349484],[ 1.0941813   0.05160512 -0.82482748 -0.18508734 -0.68371323  1.20536606  0.07366892 -0.95349484  0.          0.        ],[ 0.6624312   0.00411165  1.15762972  1.31393055  0.13145553  0.14037376  0.85088535  0.11155138  1.10120906  1.13512831 -0.89192623  0.83109309],[-0.4442896   0.01905623  0.7804713  -0.97273082  0.89318634  0.19009053  1.45143624  1.18336756  0.27547804  1.34299323 -0.20071386  0.39035059  1.14735451 -1.50642365],[ 0.8081432   1.3178501  -0.47271804  1.07395551  1.09954298  0.21298946  1.47324913  1.0948179  -1.32081894  0.39526389  1.28627277  1.5563837  -1.12209585 -0.29536695  0.30316723 -0.19066047],0.8257370327263246,48,0.825992576693657,103,0.9001826386420537,200,0.9056374177935026,340,0.9056374177935026,413
graphs/main/nodes_9/depth_3/7.gml,[-0.17064376 -1.24260837],[-0.17064376 -1.24260837  0.          0.        ],[-0.17064376 -1.24260837  0.          0.          0.          0.        ],[ 0.22204017 -0.38944381  1.13357336  1.50348028 -0.74735353  1.22668503 -1.63028388 -1.61589368],[ 0.22204017 -0.38944381  1.13357336  1.50348028 -0.74735353  1.22668503 -1.63028388 -1.61589368  0.          0.        ],[-0.00997318 -1.31295347  1.08183925 -0.2446961   1.16133418  0.2823989   0.1957503  -0.22979902 -1.2013165   0.92078979  0.78528947 -0.81279527],[-0.76612876 -0.68971216 -0.10570813  0.84245767 -0.77571998 -0.57718468  0.99276614 -0.76439411  0.56151273 -0.0456579   0.5169295  -0.90153517  1.09036159 -1.35154433],[ 0.5841596   0.25028108 -0.21806826  0.93480627  0.22719993 -1.45951326 -0.57562669 -1.54682737 -1.20734533 -1.24921007  1.23522347 -0.46756756 -1.55750891  0.76800593  1.13960744 -0.1214048 ],0.7954953783579778,28,0.7954953783579778,92,0.7954953783579778,253,0.8405124955432046,288,0.8405124955432046,503
graphs/main/nodes_9/depth_3/8.gml,[ 1.07887384 -0.44929602],[ 0.18458873  1.26799489 -1.29028336 -1.40720972],[-1.49722415  0.28024856 -1.09471116  1.48683396 -0.81011948  0.29902422],[ 0.1399907  -0.08315676 -0.2879582   0.3578967  -0.16239063  0.66982967  0.10625398 -0.41845762],[ 0.1399907  -0.08315676 -0.2879582   0.3578967  -0.16239063  0.66982967  0.10625398 -0.41845762  0.          0.        ],[-1.36710474 -0.85291854 -0.87893314  0.099231   -0.70240679 -1.26232072 -0.37799773  1.29236581 -0.92270379 -1.25899179  1.35712589  0.52613466],[ 0.3291002  -0.21343792 -0.58779609  0.80109087  0.12107829  0.39833352  1.26525199  0.59456645 -0.40429561  1.52014779  1.21976662 -0.84935732 -1.43707073  1.194103  ],[-1.30427224 -1.28245021 -0.31540505 -1.15394051  0.8819926   0.18000342  0.82449896  0.794692    1.5628503  -1.47596724  0.80037901 -1.38020568  1.41033198  0.3707269   0.16206749 -0.00784457],0.6730426709931261,31,0.7966429340511295,82,0.8063633061756297,193,0.8677935203888443,351,0.8677935203888443,431
graphs/main/nodes_9/depth_3/9.gml,[-0.55405987  0.3670199 ],[-1.19489281  1.30776441 -1.63758701 -0.33849727],[-0.25803564 -1.23701832 -1.14802476 -1.5058324   0.05162575 -0.05824311],[ 0.18433112 -0.50872677  0.33468439 -0.4018437   0.56419852  0.26641564 -0.12485893  1.06618974],[ 0.18433112 -0.50872677  0.33468439 -0.4018437   0.56419852  0.26641564 -0.12485893  1.06618974  0.          0.        ],[ 0.73432335  0.89840815 -0.45260321  0.45632421  1.49085995  0.08424669  0.60939161 -0.64579966 -0.15536367 -1.42502444  0.97805137  0.84398352],[ 1.21411518 -1.4966125  -1.54979744  1.43241478 -1.07582632 -0.02886347 -1.06640416 -0.36432355 -0.35414452  0.15337288 -0.34195463 -0.99958098  1.46730249 -1.50143092],[ 1.26059005  1.18457927 -0.8579402   0.44152657 -1.41969506  0.29437439  0.0609893   0.13386064 -1.24082122 -1.55041455  1.37377944 -0.56345505 -0.92733614  0.89227812  0.13092748 -0.56704927],0.6825590675138575,47,0.7489197277452421,56,0.7796412102792503,214,0.8901498439075847,1456,0.8901498439075847,450
