path,p_1_angles,p_2_angles,p_3_angles,p_4_angles,p_5_angles,p_6_angles,p_7_angles,p_8_angles,p_1,p_1_nfev,p_2,p_2_nfev,p_3,p_3_nfev,p_4,p_4_nfev,p_5,p_5_nfev,p_6,p_6_nfev,p_7,p_7_nfev,p_8,p_8_nfev
graphs/main/nodes_9/depth_3/0.gml,[-0.18155819  0.27067006],[ 0.17936537 -0.27128283  1.93670278 -0.03002762],[-0.15258858  0.39657217 -0.34418508 -1.33671967 -1.37720958 -0.02319263],[-0.15258858  0.39657217 -0.34418508 -1.33671967 -1.37720958 -0.02319263  0.          0.        ],[ 0.26240574  0.14169036  0.89434357  1.57851591 -0.9696764   0.58835108 -0.02749453  0.39005192  0.44101956 -0.21072072],[-1.46197166 -1.0870531  -0.02732769  1.0281585   1.3078063  -1.07431198 -0.22912084  0.16941776  0.41204486 -0.11305419 -0.68741554  0.14438828],[ 0.17025559 -1.72498446  2.26135947  1.61641264  0.28252407 -2.29099453 -0.04069297  1.99314743 -0.85719298 -0.01070417  1.08119813 -0.85967044  0.25457058  1.36393699],[ 0.17025559 -1.72498446  2.26135947  1.61641264  0.28252407 -2.29099453 -0.04069297  1.99314743 -0.85719298 -0.01070417  1.08119813 -0.85967044  0.25457058  1.36393699  0.          0.        ],0.8321699762930417,75,0.8325593553616167,255,0.8734746328285926,462,0.8734746328285926,2412,0.8911889907666518,1716,0.9039436401247244,2561,0.9136507947592504,3030,0.9136507947592504,1989
graphs/main/nodes_9/depth_3/1.gml,[-1.32490597  1.18549836],[1.33612707 0.2776353  0.5219133  1.35386456],[-1.64367281  0.29680768  0.29348363  1.40999795  1.03100712 -1.37126114],[-1.64367281  0.29680768  0.29348363  1.40999795  1.03100712 -1.37126114  0.          0.        ],[ 0.28532642 -1.02009641  1.06148955  0.63029962  0.01414956  0.91380288 -0.94930066 -0.08189336 -0.18738598  0.74354987],[-0.34629691 -0.10271946  1.02726491  0.00660949  0.96491359  1.32534681 -0.16301173  1.9408056  -1.79157201 -1.23101723  1.25080885  0.12017983],[-0.34629691 -0.10271946  1.02726491  0.00660949  0.96491359  1.32534681 -0.16301173  1.9408056  -1.79157201 -1.23101723  1.25080885  0.12017983  0.          0.        ],[-0.34629691 -0.10271946  1.02726491  0.00660949  0.96491359  1.32534681 -0.16301173  1.9408056  -1.79157201 -1.23101723  1.25080885  0.12017983  0.          0.          0.          0.        ],0.8346400063575184,150,0.858229681521133,230,0.8870797446009743,497,0.8870797446009743,414,0.9024889245334046,2816,0.903098082861721,1846,0.903098082861721,3135,0.903098082861721,1989
graphs/main/nodes_9/depth_3/2.gml,[-1.30311887 -0.37019985],[ 0.18612795 -2.00908701  0.37309412  1.32115795],[ 0.18612795 -2.00908701  0.37309412  1.32115795  0.          0.        ],[ 0.18612795 -2.00908701  0.37309412  1.32115795  0.          0.          0.          0.        ],[ 0.18612795 -2.00908701  0.37309412  1.32115795  0.          0.          0.          0.          0.          0.        ],[ 0.17364268  1.06931718  1.17813668 -0.32224992  0.03393965 -1.21119369 -0.84342147 -0.27790448 -1.08531441 -0.10698292 -0.32331344 -0.05687698],[-1.2938241   1.52475701  1.14564009  0.46130485 -0.3334879  -0.51892422 -1.24274156 -1.54522631  1.29571822 -0.66192549 -0.52916418 -0.49177097  0.05655215 -0.887784  ],[-1.2938241   1.52475701  1.14564009  0.46130485 -0.3334879  -0.51892422 -1.24274156 -1.54522631  1.29571822 -0.66192549 -0.52916418 -0.49177097  0.05655215 -0.887784    0.          0.        ],0.7813207487814127,69,0.9004894053290641,170,0.9004894053290641,434,0.9004894053290641,1107,0.9004894053290641,792,0.9134083408656608,1352,0.9564794084611604,1755,0.9564794084611604,4505
graphs/main/nodes_9/depth_3/3.gml,[1.31268927 0.61117344],[-1.80871019  1.21536894  0.33276428 -0.96184004],[-1.80871019  1.21536894  0.33276428 -0.96184004  0.          0.        ],[ 0.19509368  1.26207771  1.61760306 -0.18364403  0.3942258   1.48438151 -0.41099036 -1.43883385],[-1.58640923  0.67182314  1.38100434  0.13039117  0.41556557  1.17654551  0.2784394   1.27697802  1.33344373  0.01807615],[-0.74085909 -1.55621004  0.58872773 -1.08847951 -1.72814922 -1.55575525  1.44829584  2.01111589 -0.32405468  0.25346631 -1.93454614 -0.01236213],[-0.18881513 -0.63603188  0.09241348  1.28590119 -0.32261979  0.21940887  0.32113798 -1.89925144  0.37109863  1.38237919  1.16461199 -0.55014764  0.00605447 -1.02588769],[-0.18881513 -0.63603188  0.09241348  1.28590119 -0.32261979  0.21940887  0.32113798 -1.89925144  0.37109863  1.38237919  1.16461199 -0.55014764  0.00605447 -1.02588769  0.          0.        ],0.7158815004874829,78,0.7314836118375925,120,0.7314836118375925,203,0.7902278582966571,846,0.8965295447114698,1375,0.9146157544924086,1287,0.9297194009154014,3075,0.9297194009154014,3536
graphs/main/nodes_9/depth_3/4.gml,[-0.82738932 -1.17011939],[-1.37223005 -1.19368466 -1.13358805  1.34388156],[-1.37223005 -1.19368466 -1.13358805  1.34388156  0.          0.        ],[ 0.25985376  0.43798857  1.53818543 -0.02917835  1.54046161  0.70980647  0.57407581 -0.20414554],[-0.23608683  1.1394355   0.06200587 -2.19930755 -0.41263125 -1.35980393 -0.94721202  0.1156365   0.54422197  0.14977815],[-0.23608683  1.1394355   0.06200587 -2.19930755 -0.41263125 -1.35980393 -0.94721202  0.1156365   0.54422197  0.14977815  0.          0.        ],[-0.23608683  1.1394355   0.06200587 -2.19930755 -0.41263125 -1.35980393 -0.94721202  0.1156365   0.54422197  0.14977815  0.          0.          0.          0.        ],[-1.33102152  0.09114227 -0.45421279  0.48029033  0.08858048 -1.03452113  1.17903469 -0.66942929  0.06761716 -0.4671562  -0.45080512  0.20907839  0.52833571 -0.12565835 -1.03636783  0.16581654],0.7309421424148458,57,0.8434388874023716,190,0.8434388874023716,434,0.8898063530546514,747,0.9267422682964254,682,0.9267422682964254,1560,0.9267422682964254,1950,0.9452591938024684,2465
graphs/main/nodes_9/depth_3/5.gml,[-1.97945347 -2.64678165],[ 0.23918323 -1.75954948 -0.55878714 -1.29366967],[ 0.23918323 -1.75954948 -0.55878714 -1.29366967  0.          0.        ],[ 0.23629232 -0.19007688 -0.55829992 -1.29599947 -1.77130047 -0.01653718  0.09689306  1.62017871],[ 1.25513679  0.08133321 -1.45242361  0.48169843 -0.36457815 -1.27525636 -1.27592083  1.44469911  0.43844397 -0.07943056],[ 1.70615648  0.02792461 -1.46723748 -0.10459044 -0.43513559  0.45224971 -0.30748848  0.45229482 -0.37725075 -1.39270503  0.45732057  1.41945796],[ 1.70615648  0.02792461 -1.46723748 -0.10459044 -0.43513559  0.45224971 -0.30748848  0.45229482 -0.37725075 -1.39270503  0.45732057  1.41945796  0.          0.        ],[ 1.70615648  0.02792461 -1.46723748 -0.10459044 -0.43513559  0.45224971 -0.30748848  0.45229482 -0.37725075 -1.39270503  0.45732057  1.41945796  0.          0.          0.          0.        ],0.6445924459986735,81,0.8203193745831712,260,0.8203193745831712,308,0.8213843528176231,765,0.8511313591890014,1430,0.9109336306796656,1469,0.9109336306796656,1680,0.9109336306796656,1598
graphs/main/nodes_9/depth_3/6.gml,[-1.83323147 -1.18374436],[-2.08163021 -0.06043421 -1.29330986 -2.79411708],[ 1.78824787 -0.25706078  1.13535653  1.93535159 -1.47260527 -0.17649451],[ 0.13342329 -0.49148291  0.26383268 -1.95230951  0.2928085  -0.27141715  0.34203752 -0.15944951],[ 0.13342329 -0.49148291  0.26383268 -1.95230951  0.2928085  -0.27141715  0.34203752 -0.15944951  0.          0.        ],[ 0.13342329 -0.49148291  0.26383268 -1.95230951  0.2928085  -0.27141715  0.34203752 -0.15944951  0.          0.          0.          0.        ],[-0.13131541  0.50828714  1.34231796 -1.23991944  1.49474684  0.43577535  1.66071133  1.34004746  1.09380582  1.04653689  0.04649903  0.73163588  0.49016638 -1.65768778],[-0.13131541  0.50828714  1.34231796 -1.23991944  1.49474684  0.43577535  1.66071133  1.34004746  1.09380582  1.04653689  0.04649903  0.73163588  0.49016638 -1.65768778  0.          0.        ],0.7787781079965787,105,0.8326847840321726,150,0.8753685140891447,329,0.9589709338353762,702,0.9589709338353762,726,0.9589709338353762,1001,0.9622067793017958,1530,0.9622067793017958,2482
graphs/main/nodes_9/depth_3/7.gml,[-1.26469712 -0.58723772],[ 0.28086198  0.45864748 -0.07212752 -0.80100245],[-0.1770708   0.42040457 -1.30510329  1.52697315  0.9310211  -1.31633988],[-0.20317208 -1.42058079  0.450462   -0.32125953  0.36280283 -0.23949014  1.73271136  0.02510969],[-0.20317208 -1.42058079  0.450462   -0.32125953  0.36280283 -0.23949014  1.73271136  0.02510969  0.          0.        ],[-0.13957795 -1.13958637  0.90237714 -0.00605589  1.86280277 -0.53615424  0.06256682  0.91793673 -1.04511509  1.60975915  0.55689181  0.17942657],[-0.13957795 -1.13958637  0.90237714 -0.00605589  1.86280277 -0.53615424  0.06256682  0.91793673 -1.04511509  1.60975915  0.55689181  0.17942657  0.          0.        ],[-0.13957795 -1.13958637  0.90237714 -0.00605589  1.86280277 -0.53615424  0.06256682  0.91793673 -1.04511509  1.60975915  0.55689181  0.17942657  0.          0.          0.          0.        ],0.7082953257015525,51,0.8413118031930243,200,0.8611475081687912,392,0.8854983966987128,828,0.8854983966987128,1342,0.912551831891706,1690,0.912551831891706,1125,0.912551831891706,4879
graphs/main/nodes_9/depth_3/8.gml,[ 1.35667279 -0.37540718],[-0.18020152  2.02051049 -0.34075971  0.28345517],[-0.18020152  2.02051049 -0.34075971  0.28345517  0.          0.        ],[ 0.15043606 -0.44381489  1.14992795 -1.55711985 -0.76448905  0.47532049 -0.0757138  -0.79459495],[ 0.15043606 -0.44381489  1.14992795 -1.55711985 -0.76448905  0.47532049 -0.0757138  -0.79459495  0.          0.        ],[ 0.15043606 -0.44381489  1.14992795 -1.55711985 -0.76448905  0.47532049 -0.0757138  -0.79459495  0.          0.          0.          0.        ],[ 0.15043606 -0.44381489  1.14992795 -1.55711985 -0.76448905  0.47532049 -0.0757138  -0.79459495  0.          0.          0.          0.          0.          0.        ],[-1.10011057 -1.11806668 -0.00793228 -0.4382819   0.84888165  0.11118323  0.55123105  0.52384804  1.69216321 -1.51205146  1.36057523 -0.82633652  2.15513477  0.08296228  0.50201243  0.158714  ],0.723533703964657,51,0.8596746897182663,285,0.8596746897182663,441,0.8868992400409319,711,0.8868992400409319,759,0.8868992400409319,1963,0.8868992400409319,1395,0.9006723935705889,7650
graphs/main/nodes_9/depth_3/9.gml,[-1.13030666 -2.01051009],[ 1.62249058  0.89597587 -1.32040487  1.22888649],[-0.24624433 -2.94205648  1.27370471  1.54595178 -0.68960804 -1.81234392],[-0.29930976  1.17887324  0.1259753  -0.59155404 -0.44244268  0.35385797 -0.40469879  1.79190587],[-0.29930976  1.17887324  0.1259753  -0.59155404 -0.44244268  0.35385797 -0.40469879  1.79190587  0.          0.        ],[-0.29930976  1.17887324  0.1259753  -0.59155404 -0.44244268  0.35385797 -0.40469879  1.79190587  0.          0.          0.          0.        ],[-0.29930976  1.17887324  0.1259753  -0.59155404 -0.44244268  0.35385797 -0.40469879  1.79190587  0.          0.          0.          0.          0.          0.        ],[-0.29930976  1.17887324  0.1259753  -0.59155404 -0.44244268  0.35385797 -0.40469879  1.79190587  0.          0.          0.          0.          0.          0.          0.          0.        ],0.6434920099894712,69,0.7819096262179309,140,0.8230287543592064,329,0.8983413933357581,999,0.8983413933357581,869,0.8983413933357581,2015,0.8983413933357581,1020,0.8983413933357581,2958
