,p_1,p_1_angles,p_2,p_2_angles,p_3,p_3_angles,p_4,p_4_angles,p_5,p_5_angles,p_6,p_6_angles,p_7,p_7_angles,p_8,p_8_angles,p_9,p_9_angles,p_10,p_10_angles,p_11,p_11_angles
graphs/new/nodes_9/depth_3//0.gml,0.7477384005752236,[-1.81138071  0.49415794],0.8731896440658993,[-0.15142846  1.96411874 -3.48793359 -1.34070132],0.8731896440658993,[-0.15142846  1.96411874 -3.48793359 -1.34070132  0.          0.        ],0.8731896440658993,[-0.15142846  1.96411874 -3.48793359 -1.34070132  0.          0.          0.          0.        ],0.917200761098509,[-2.97565424  2.28802525 -0.0257071   2.2309014   2.75837691 -2.88431615 -3.49761364  0.95625061 -3.09841366 -2.28128319],0.917200761098509,[-2.97565424  2.28802525 -0.0257071   2.2309014   2.75837691 -2.88431615 -3.49761364  0.95625061 -3.09841366 -2.28128319  0.          0.        ],0.917200761098509,[-2.97565424  2.28802525 -0.0257071   2.2309014   2.75837691 -2.88431615 -3.49761364  0.95625061 -3.09841366 -2.28128319  0.          0.          0.          0.        ],0.9275891588124884,[ 2.97708073  0.12648688  0.45250581  2.02072968  2.27505022 -0.0791171   3.12916451  3.21159172  3.97109941 -3.99447043 -2.79633708 -0.24882634 -0.74345747  0.01147533 -2.0135859  -1.72876527],0.9352158439193164,[ 3.0270913   1.98263948 -1.37078674 -3.12133005  1.14276145  1.88274186 -0.24989042  3.4113413  -0.40382213  4.0942171  -1.4168302   0.81462869 -3.14455029 -0.57846034 -0.01387688 -3.36098172 -1.67048077  2.39056022],0.9352158439193164,[ 3.0270913   1.98263948 -1.37078674 -3.12133005  1.14276145  1.88274186 -0.24989042  3.4113413  -0.40382213  4.0942171  -1.4168302   0.81462869 -3.14455029 -0.57846034 -0.01387688 -3.36098172 -1.67048077  2.39056022  0.          0.        ],0.9352158439193164,[ 3.0270913   1.98263948 -1.37078674 -3.12133005  1.14276145  1.88274186 -0.24989042  3.4113413  -0.40382213  4.0942171  -1.4168302   0.81462869 -3.14455029 -0.57846034 -0.01387688 -3.36098172 -1.67048077  2.39056022  0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//1.gml,0.8346399918138562,[1.81659859 2.75633434],0.8941410229005969,[-3.31255024  0.19151911  0.51198603  1.38457282],0.9101456385158108,[ 2.92657831  0.9943061  -3.09916128  0.84106978 -2.55445284 -0.1446768 ],0.9213380359626592,[ 0.16206828  1.02521037  0.28025001 -0.16410074 -0.45277934 -2.95438392  2.12237991  1.54087887],0.9285092970401424,[ 1.61366495 -0.36797955 -1.43952156 -0.37575856  3.42993265 -1.82776887 -1.84072374  3.15529716  2.22298695 -1.7289062 ],0.9285092970401424,[ 1.61366495 -0.36797955 -1.43952156 -0.37575856  3.42993265 -1.82776887 -1.84072374  3.15529716  2.22298695 -1.7289062   0.          0.        ],0.9382604682033884,[-1.70389039  2.00300631 -3.08009954  1.23312595  1.94074754  2.00481625 -3.19391729  2.3079813   0.50074424  2.15860743  3.09692208  2.36198494 -2.10929434 -3.11385463],0.95212509972182,[ 0.10779072 -2.11319554  0.32221287 -0.11709041 -0.65559146 -3.44530131 -2.94232476  1.12799207 -3.07542251  0.43642641 -3.25673479  2.22995591 -0.62679789  0.95701465  3.18417049 -0.79742756],0.95212509972182,[ 0.10779072 -2.11319554  0.32221287 -0.11709041 -0.65559146 -3.44530131 -2.94232476  1.12799207 -3.07542251  0.43642641 -3.25673479  2.22995591 -0.62679789  0.95701465  3.18417049 -0.79742756  0.          0.        ],0.9617956368056658,[-0.15244929  0.13663099  1.79068443 -2.22111877 -3.21226082  1.94900248  3.36562959  0.10698061  1.54666346 -1.89565066  0.25080339  1.30111308 -2.12717132  1.59454068  2.4206506  -3.38141675  0.35501334 -3.36363817 -2.7188085  -1.70970741],0.9617956368056658,[-0.15244929  0.13663099  1.79068443 -2.22111877 -3.21226082  1.94900248  3.36562959  0.10698061  1.54666346 -1.89565066  0.25080339  1.30111308 -2.12717132  1.59454068  2.4206506  -3.38141675  0.35501334 -3.36363817 -2.7188085  -1.70970741  0.          0.        ]
graphs/new/nodes_9/depth_3//2.gml,0.7813207214697837,[1.30300705 1.94108099],0.9004894053290561,[ 2.95546465  2.00908698 -0.37309412  1.82043464],0.9004894053290561,[ 2.95546465  2.00908698 -0.37309412  1.82043464  0.          0.        ],0.9261073054401464,[ 3.30441646  1.10995088  0.34021478  0.95245119  1.87842344  1.46080898 -1.9478276  -2.79331642],0.9261073054401464,[ 3.30441646  1.10995088  0.34021478  0.95245119  1.87842344  1.46080898 -1.9478276  -2.79331642  0.          0.        ],0.9539341553007128,[-0.24331735  1.16486596 -3.0525306  -0.60789726 -0.39182771 -1.24907432  2.74281218 -1.40953431 -2.48106807 -1.6534347  -2.34557512  1.57339741],0.9604537441000308,[-0.22603282  0.09325512  0.40447077  1.15860106  0.28791255 -0.34837665  0.79247743  1.51217265  2.84225537  0.87401506 -3.06380253 -0.27801708  3.00597155 -2.38486279],0.9604537441000308,[-0.22603282  0.09325512  0.40447077  1.15860106  0.28791255 -0.34837665  0.79247743  1.51217265  2.84225537  0.87401506 -3.06380253 -0.27801708  3.00597155 -2.38486279  0.          0.        ],0.9604537441000308,[-0.22603282  0.09325512  0.40447077  1.15860106  0.28791255 -0.34837665  0.79247743  1.51217265  2.84225537  0.87401506 -3.06380253 -0.27801708  3.00597155 -2.38486279  0.          0.          0.          0.        ],0.965942842021418,[ 3.04439599 -3.50209743  1.74028043  1.32212935 -0.18246545 -2.70286304  3.06458293 -1.39352939  1.48556334 -1.0437034   2.80133676 -0.52371169  0.05065426  0.90926917  0.87540992  1.55580691 -1.37589108  1.02098418 -3.09609946  0.73728879],0.9721237810596016,[-0.9102363  -2.88814168 -3.1335183  -1.82233833 -2.09859472  2.59608691  0.26531259 -0.40510444 -1.98838408 -1.57056102  2.38796762  0.47812656  1.40832588  3.09808539  1.67581252 -0.83304697 -2.68566774 -1.79711978 -2.70289618  3.00113542 -1.62936259 -1.54219925]
graphs/new/nodes_9/depth_3//3.gml,0.7876649466252545,[-0.20008208  1.86678444],0.7889993409939557,[2.94431621 0.29859485 1.25374982 3.20474472],0.7890323870367646,[ 1.13837063 -0.02142285 -1.33636286 -1.26852686 -1.27132754  3.07379291],0.8401475421116044,[-1.71150339 -2.8851553   3.44731746  0.13326952  1.65806885 -2.71640128 -0.07244485  2.34661842],0.9011953323466836,[ 0.13933492  1.13794381 -1.29488667 -2.34058725  3.07155206  0.75365551 -1.51350707 -1.02906055  3.06473277 -2.46891493],0.9174986706590826,[ 1.5437879   2.39592302  1.70405894  1.1778232   3.51673974  0.2162322  -1.53258364  1.54626822  1.32192509  2.38841238  2.95768177 -1.2400665 ],0.9745578034370184,[-2.97091534 -1.66990841 -0.40698844 -0.45458143  0.06521201 -0.58246041 -0.28746333  1.9300771   2.87712704 -2.82258551 -3.45368213  1.75338985  2.05515212 -3.13172678],0.9745578034370184,[-2.97091534 -1.66990841 -0.40698844 -0.45458143  0.06521201 -0.58246041 -0.28746333  1.9300771   2.87712704 -2.82258551 -3.45368213  1.75338985  2.05515212 -3.13172678  0.          0.        ],0.9878091773857316,[ 0.15784587 -0.08728526  2.7810314   1.08235309  0.05693851 -0.53921519 -3.41819758  0.36610154 -3.37247317  1.90178551 -3.3871283   3.42485702 -0.33888238 -2.99820225  0.56792866 -4.76253123  1.16547067  3.12741185],0.9878091773857316,[ 0.15784587 -0.08728526  2.7810314   1.08235309  0.05693851 -0.53921519 -3.41819758  0.36610154 -3.37247317  1.90178551 -3.3871283   3.42485702 -0.33888238 -2.99820225  0.56792866 -4.76253123  1.16547067  3.12741185  0.          0.        ],0.9878091773857316,[ 0.15784587 -0.08728526  2.7810314   1.08235309  0.05693851 -0.53921519 -3.41819758  0.36610154 -3.37247317  1.90178551 -3.3871283   3.42485702 -0.33888238 -2.99820225  0.56792866 -4.76253123  1.16547067  3.12741185  0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//4.gml,0.8049135603404182,[-0.2292978   0.29847494],0.8434388874023709,[ 1.37223007 -3.51870433  1.13358802  3.36850741],0.8896298611401017,[ 3.40321751 -1.12776206 -0.06276476  2.29880139 -2.56876243  1.3672424 ],0.9130745715476314,[ 0.17168938 -2.03599563 -2.78886937  1.29790797 -1.18250955  1.7301102  -1.13360533 -1.72965137],0.9207015015696282,[ 3.3378193   2.99898398 -0.42630085 -1.18904654 -1.49683433  3.25743079 -2.03521502 -1.34473186 -0.44715108 -1.41624478],0.931747248452582,[-0.18420336  1.70287395 -2.72223309 -1.94411114 -2.81767475 -3.38041483 -1.15452207  1.71219983  0.51065322  3.28678981 -1.16563476  1.5325953 ],0.9532021880681816,[-2.95502926  3.00172369 -1.90315451  1.24111705 -1.81910771  0.35153596 -0.30767729  3.40729726 -0.47231862  2.46410342  3.19422262 -3.79763066 -2.14178299  1.43090218],0.9532021880681816,[-2.95502926  3.00172369 -1.90315451  1.24111705 -1.81910771  0.35153596 -0.30767729  3.40729726 -0.47231862  2.46410342  3.19422262 -3.79763066 -2.14178299  1.43090218  0.          0.        ],0.9669407020119404,[ 1.37054067  0.33915185  0.08608327  3.79495003 -0.29387618  0.32883236 -1.50891368 -1.15375567  1.45229283 -0.36920309  1.22636879 -1.25378567 -0.37501406 -1.357813   -0.42323874 -1.39382753 -2.06655608 -1.69435524],0.9669407020119404,[ 1.37054067  0.33915185  0.08608327  3.79495003 -0.29387618  0.32883236 -1.50891368 -1.15375567  1.45229283 -0.36920309  1.22636879 -1.25378567 -0.37501406 -1.357813   -0.42323874 -1.39382753 -2.06655608 -1.69435524  0.          0.        ],0.9682342364508676,[-2.76594867 -1.5202998  -0.55962495  1.69958987 -2.72298864 -0.39881929 -1.18635815 -0.00873686  1.47206091  1.20282347  0.38387439  1.29060568  1.17584206 -1.56131918  2.33708513 -0.20831643  1.07369643  2.34391144 -0.0109417   2.27376087  2.57066574  2.98561219]
graphs/new/nodes_9/depth_3//5.gml,0.6445924446361765,[-1.16209602  2.64676791],0.6469154855266405,[-0.91856911  2.91012964 -1.06545798  0.41826114],0.8512685585740789,[-0.23603057  1.06609227  0.07952     0.82763928  0.49772657 -1.76936003],0.8703189834496905,[-0.27484958  0.11428299 -2.62993436 -0.39799891 -2.78915006 -1.81992718 -1.8440666  -3.09812756],0.8921375708083984,[ 3.31012386 -0.58661734 -2.790437   -1.74056679  1.96547869 -1.60127791  0.67141692  1.85434741  2.68772726  1.74435439],0.8999668444862768,[ 3.39245116  3.03465219 -0.54063066  0.97078333  0.11446155 -1.99866997 -1.33985789  1.55950327 -2.25955349 -1.37520706  3.56404222  1.42295836],0.913796226923587,[-0.28931892  2.83908436  0.75941207 -0.01539617 -0.64499629 -2.22697452  2.75858063 -4.28010575 -1.31983178 -0.01184422  0.94961599 -1.38485264 -2.65906736  3.01199747],0.9381175246380542,[-0.15964052 -4.17527078  2.83919886  2.03898313  1.52339823  1.63984556 -1.85435494 -1.21313433  2.42260744 -1.5037313   0.23948973 -2.00018104  0.09076521  0.64156697  1.46152928  1.63405936],0.956707185951342,[ 3.01760662 -2.62666118 -0.32492898  2.62351245  1.5808717   1.61608651 -1.51549322  2.62433141 -0.3810909   1.9394853  -0.38633655 -0.49875197  0.04772443  3.96574127 -2.0609584   0.02293791  1.63747988  0.15613586],0.9813912790344412,[ 0.21917807 -1.20750865 -0.09300107 -2.60411276 -2.80344907 -0.42263355  0.3494773  -1.08165429  3.09660649  0.65007891 -2.71814664  3.65824476 -3.19882478 -4.03002887  0.42126337 -2.49917824  3.10669347 -0.88411432  0.44010086  3.02817911],0.9813912790344412,[ 0.21917807 -1.20750865 -0.09300107 -2.60411276 -2.80344907 -0.42263355  0.3494773  -1.08165429  3.09660649  0.65007891 -2.71814664  3.65824476 -3.19882478 -4.03002887  0.42126337 -2.49917824  3.10669347 -0.88411432  0.44010086  3.02817911  0.          0.        ]
graphs/new/nodes_9/depth_3//6.gml,0.7787780911177669,[1.83312457 1.18371093],0.8010203066775886,[ 1.32780699  3.42989495 -2.61375028  1.36715359],0.8907011205957033,[ 0.27323072 -1.68456861 -0.54684411  1.79299535 -2.61275149  1.43316853],0.9272159742923324,[ 2.87612926  1.20359132  0.08159469  2.42085224 -1.77601444  1.61936384 -1.80216197  1.79734227],0.940384645708973,[ 2.92700169 -1.46783073  0.40884772  1.21501902  1.69076212  3.10277625  1.84062302  0.43027439 -0.06650625  2.44398391],0.9533963303874488,[-0.11572609 -2.64209652  1.59825135 -0.58093309 -0.04421512 -2.60475989 -1.95301673  2.63806307  0.06929605  0.90063559 -0.44224248 -1.4013159 ],0.9677841719258362,[-2.82887775  0.02630265 -0.51807263  1.64834712 -2.7713355   1.14554882  0.28597235 -2.67488214 -0.03970292  2.28074566  3.49160668  1.35074743  0.33106839 -1.70092691],0.9805894510657636,[-3.04014668  2.63776701  0.27068808  0.55269703  3.08448419  2.07982608  0.33435581 -1.89031632 -1.84324302 -1.54878591 -1.00126353  1.31362415  0.32789043 -1.74628901 -2.77378051 -0.09977912],0.9805894510657636,[-3.04014668  2.63776701  0.27068808  0.55269703  3.08448419  2.07982608  0.33435581 -1.89031632 -1.84324302 -1.54878591 -1.00126353  1.31362415  0.32789043 -1.74628901 -2.77378051 -0.09977912  0.          0.        ],0.9805894510657636,[-3.04014668  2.63776701  0.27068808  0.55269703  3.08448419  2.07982608  0.33435581 -1.89031632 -1.84324302 -1.54878591 -1.00126353  1.31362415  0.32789043 -1.74628901 -2.77378051 -0.09977912  0.          0.          0.          0.        ],0.9805894510657636,[-3.04014668  2.63776701  0.27068808  0.55269703  3.08448419  2.07982608  0.33435581 -1.89031632 -1.84324302 -1.54878591 -1.00126353  1.31362415  0.32789043 -1.74628901 -2.77378051 -0.09977912  0.          0.          0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//7.gml,0.7082953232838604,[-1.26474669 -2.15800167],0.7158426570612666,[-1.37213922  0.2492475   2.52443787  0.48632842],0.841820517848499,[-1.6708614  -3.07682407 -1.7565103   2.69082452 -3.06904552 -2.35142984],0.8960140364921598,[-1.48294264 -1.58818943  1.63683449 -0.43280881 -2.83409806 -3.45552221 -2.7699784  -1.77076057],0.8960140364921598,[-1.48294264 -1.58818943  1.63683449 -0.43280881 -2.83409806 -3.45552221 -2.7699784  -1.77076057  0.          0.        ],0.9067794449367867,[ 3.39236332 -2.80650672  2.96926871 -1.67427845  0.08832606 -2.32795327 -0.93012137 -1.53655352 -1.69525181 -1.01571994  3.0744165  -2.39083509],0.9366598995534412,[ 0.19198016 -0.11475059 -3.51095827  0.42182059 -0.2704974   0.44104197  2.76374385 -2.21992261  0.04120225 -2.34209165 -2.66830825  1.33956063  0.45951892 -0.12050129],0.9375414183594912,[-0.14122384  0.54791604 -0.30820611  1.68835296  0.41749702  2.84275064  3.66451602 -1.39301683 -0.27063191  0.86564009  3.0809278   0.52249408  0.21364765  1.26534948 -2.69134224  3.00520809],0.9588037298323892,[-0.11119414 -1.07891679 -3.44503716 -2.12495082  0.06321022  4.18808631  2.78659233  1.87695003 -1.42812038 -0.02661989  4.28347902  3.42228346 -3.53685022  0.93337369  0.03743626 -0.66581942  2.64588595  1.7094371 ],0.9588037298323892,[-0.11119414 -1.07891679 -3.44503716 -2.12495082  0.06321022  4.18808631  2.78659233  1.87695003 -1.42812038 -0.02661989  4.28347902  3.42228346 -3.53685022  0.93337369  0.03743626 -0.66581942  2.64588595  1.7094371   0.          0.        ],0.9588037298323892,[-0.11119414 -1.07891679 -3.44503716 -2.12495082  0.06321022  4.18808631  2.78659233  1.87695003 -1.42812038 -0.02661989  4.28347902  3.42228346 -3.53685022  0.93337369  0.03743626 -0.66581942  2.64588595  1.7094371   0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//8.gml,0.7235336967868651,[-1.35660105  0.37542178],0.8596746897182259,[-3.32179424  0.4497141  -0.34075965 -1.28734109],0.8596746897182259,[-3.32179424  0.4497141  -0.34075965 -1.28734109  0.          0.        ],0.8878182603391142,[ 0.21381237  1.44084491  2.69585626 -2.77221364  2.81968552 -1.30773449 -1.94254247 -1.63192673],0.935565593675735,[ 0.14223173  1.06841774 -2.87852618 -0.4099461   0.29043693  1.20558693  3.50461792 -1.75135726  2.61292684 -4.61534826],0.9544802390572042,[ 3.26300573  2.62964228  0.24521011 -0.41686314 -2.86682617  2.77987808  0.29933538 -0.31635897  0.39978658  2.07165854  3.09770518 -2.27129057],0.9544802390572042,[ 3.26300573  2.62964228  0.24521011 -0.41686314 -2.86682617  2.77987808  0.29933538 -0.31635897  0.39978658  2.07165854  3.09770518 -2.27129057  0.          0.        ],0.9544802390572042,[ 3.26300573  2.62964228  0.24521011 -0.41686314 -2.86682617  2.77987808  0.29933538 -0.31635897  0.39978658  2.07165854  3.09770518 -2.27129057  0.          0.          0.          0.        ],0.9765049889657632,[ 1.60011267  3.00425394 -3.01319353 -1.50361734 -1.84246392  0.49849423  2.92008415  1.96906262 -3.39131344  0.34881017 -0.27670181  3.47457612 -0.31056302 -1.27710672  2.78829985 -1.35192758 -0.39379439 -3.03136811],0.9765049889657632,[ 1.60011267  3.00425394 -3.01319353 -1.50361734 -1.84246392  0.49849423  2.92008415  1.96906262 -3.39131344  0.34881017 -0.27670181  3.47457612 -0.31056302 -1.27710672  2.78829985 -1.35192758 -0.39379439 -3.03136811  0.          0.        ],0.9765049889657632,[ 1.60011267  3.00425394 -3.01319353 -1.50361734 -1.84246392  0.49849423  2.92008415  1.96906262 -3.39131344  0.34881017 -0.27670181  3.47457612 -0.31056302 -1.27710672  2.78829985 -1.35192758 -0.39379439 -3.03136811  0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//9.gml,0.7800469053280523,[-0.26025173 -2.80385015],0.8278118094175005,[ 0.35434094 -2.77362981  3.02443779  3.98384764],0.8389229315202958,[-3.33464836  0.44869875 -1.97490068  3.16773821 -4.69737569  1.82189044],0.875609924930054,[-1.99986141 -1.54945575  2.18511345  1.06778845 -2.80460315 -1.93236525  0.41783122 -0.20851797],0.9205555323577878,[ 3.29139672  1.07031957  0.38415198 -2.62588338  3.04587205  0.54798263  3.58782892 -3.46600995 -2.75764863  1.36253369],0.9205555323577878,[ 3.29139672  1.07031957  0.38415198 -2.62588338  3.04587205  0.54798263  3.58782892 -3.46600995 -2.75764863  1.36253369  0.          0.        ],0.944677126682984,[-0.25022231  3.22852296 -2.7149481  -2.00259917  0.29261837  2.73878504  0.32250258  1.21722257  0.33262107  2.76023848  0.41372315  1.43273493  2.61508346 -1.45272292],0.9480335249505852,[-2.89014229  0.39105773 -3.24283893  0.56011212 -1.09114882  3.13132116 -1.66142234 -1.9619045   0.40140766 -2.62044742 -0.07140096 -2.49934376 -2.71061252 -1.80424916 -2.73848338 -1.69710617],0.9611884009861822,[ 2.92942663 -1.97806259  0.09344404  1.06316797 -0.36335414  0.4052017  -3.43942102  1.92456398 -0.40015809 -0.47028157 -3.07551571 -2.30316781 -0.47006333 -2.22679313  3.19123238  0.89300167  2.62935975 -1.46674002],0.9611884009861822,[ 2.92942663 -1.97806259  0.09344404  1.06316797 -0.36335414  0.4052017  -3.43942102  1.92456398 -0.40015809 -0.47028157 -3.07551571 -2.30316781 -0.47006333 -2.22679313  3.19123238  0.89300167  2.62935975 -1.46674002  0.          0.        ],0.9611884009861822,[ 2.92942663 -1.97806259  0.09344404  1.06316797 -0.36335414  0.4052017  -3.43942102  1.92456398 -0.40015809 -0.47028157 -3.07551571 -2.30316781 -0.47006333 -2.22679313  3.19123238  0.89300167  2.62935975 -1.46674002  0.          0.          0.          0.        ]
