path,p_2,p_2_angles
graphs/nodes_8/0.gml,0.8460913579884616,[-0.21359373  1.85013862  2.09283716 -1.69898959]
graphs/nodes_8/1.gml,0.8642194678542883,[-0.22605518  0.19669432  0.59068464 -0.22112245]
graphs/nodes_8/10.gml,0.7659446191282615,[-0.30509466  0.32636023  1.36918973 -0.17233622]
graphs/nodes_8/100.gml,0.8385649183985284,[-0.34595331  0.26136422  0.75954674 -0.25045051]
graphs/nodes_8/1000.gml,0.7968942090333201,[-1.64398759  0.45458972  1.26761362 -1.22920011]
graphs/nodes_8/1001.gml,0.9224686369576862,[-0.35589057  0.2351943   0.81388864 -0.20670858]
graphs/nodes_8/1002.gml,0.8580543389415269,[-0.25560118  0.20020326  0.60964336 -0.24319232]
graphs/nodes_8/1003.gml,0.873783781461458,[-0.2646826   0.19548414  0.62767859 -0.23546387]
graphs/nodes_8/1004.gml,0.8527409639764209,[-0.74670197  1.76304256  1.19561107 -0.38358496]
graphs/nodes_8/1005.gml,0.8471700322261578,[-0.66458367  1.24315521  0.33397899 -0.91173787]
graphs/nodes_8/1006.gml,0.8791955017234038,[-0.222399    0.37304858  1.08716451 -0.24212931]
graphs/nodes_8/1007.gml,0.8506021737267279,[-0.23625696  0.21049457  0.63386947 -1.77589146]
graphs/nodes_8/1008.gml,0.8388029665939752,[-0.27419112  0.22876527  0.66653846 -0.24364426]
graphs/nodes_8/1009.gml,0.7857353319646353,[-0.30629965  0.19645233  0.66218591 -0.27100902]
graphs/nodes_8/101.gml,0.8064314246123444,[-0.50261052  1.22213569  6.51510936 -0.82710465]
graphs/nodes_8/1010.gml,0.7768501646536767,[-0.33187429  0.36358444  1.66832962 -1.5498913 ]
graphs/nodes_8/1011.gml,0.8717327419092143,[-0.32200589  0.20799175  0.70683708 -0.25630736]
graphs/nodes_8/1012.gml,0.8190997348032876,[-0.32523566  0.22625676  0.73918812 -0.27723387]
graphs/nodes_8/1013.gml,0.8547567776569374,[-0.27631388  0.21211824  0.65288986 -0.24399109]
graphs/nodes_8/1014.gml,0.8510881851475882,[-0.25877347  0.21130386  0.61948154 -0.24461252]
graphs/nodes_8/1015.gml,0.8608256150692907,[-0.27454881  0.201987    0.64641539 -0.25822681]
graphs/nodes_8/1016.gml,0.8598375598952169,[-0.30153622  0.20814046  0.70560323 -0.23428677]
graphs/nodes_8/1017.gml,0.86532294813119,[-0.19090339  1.99372484  2.73683364  0.23780004]
graphs/nodes_8/1018.gml,0.8124828374379192,[-0.32681629  0.19593156  0.67567655 -0.29718285]
graphs/nodes_8/1019.gml,0.8760291779941334,[-0.25898919  0.20505144  0.62287735 -0.23718513]
graphs/nodes_8/102.gml,0.7059124896638369,[-1.53304702 -1.07535944  1.88800141 -0.39476148]
graphs/nodes_8/1020.gml,0.8609376874763621,[-0.30259264 -1.35843521  0.6996342  -0.21044066]
graphs/nodes_8/1021.gml,0.8407212947700862,[-0.31333314  0.21375048  0.64858132 -0.28497419]
graphs/nodes_8/1022.gml,0.8080525749801103,[-0.29125626  0.24194607  0.67885613 -0.25235799]
graphs/nodes_8/1023.gml,0.8666214724878974,[-0.24063393  0.20138846  0.62163008 -0.21765923]
graphs/nodes_8/1024.gml,0.8690707912669595,[-0.19666455  0.40679635  2.71542254 -1.3548513 ]
graphs/nodes_8/1025.gml,0.8080626458165355,[-0.29867128  0.20893078  0.63822577 -0.29148381]
graphs/nodes_8/1026.gml,0.8193671328387033,[-0.57893866  1.24013171  0.26813639 -0.86965551]
graphs/nodes_8/1027.gml,0.8332935689741987,[-0.26475063  0.19988763  0.61581946 -0.24522956]
graphs/nodes_8/1028.gml,0.8781585818680685,[-0.30651033  0.19323253  0.68512727 -0.21696012]
graphs/nodes_8/1029.gml,0.7582922155701797,[-0.33838801  0.44086482  1.9004817  -0.1462089 ]
graphs/nodes_8/103.gml,0.7997454632503143,[-0.29660539  0.20673313  0.65318724 -0.28908943]
graphs/nodes_8/1030.gml,0.8470723277187212,[ 0.3493126   2.65568664  0.57955958 -0.27007776]
graphs/nodes_8/1031.gml,0.847072327718456,[ 0.34931279  2.65568664  0.57955942 -0.27007768]
graphs/nodes_8/1032.gml,0.8417628506171159,[-0.26087914  0.1991267   0.60629869 -0.26836616]
graphs/nodes_8/1033.gml,0.8265720047743486,[-0.24280523  0.32693742  2.03202352  0.04513356]
graphs/nodes_8/1034.gml,0.8143405007517209,[-0.30801358  0.20295162  0.64672281 -0.30425985]
graphs/nodes_8/1035.gml,0.7769947226169116,[-0.27551099  0.19863427  0.60849979 -0.30495805]
graphs/nodes_8/1036.gml,0.9226083044335857,[-0.27876751  0.20545153  0.63929204 -0.24368444]
graphs/nodes_8/1037.gml,0.7325604099651672,[-1.76917207 -0.19918657  2.11530366 -0.40177704]
graphs/nodes_8/1038.gml,0.8715547449817226,[-0.19071956  0.42424428  2.70159606 -1.32919665]
graphs/nodes_8/1039.gml,0.8483832441327506,[-0.29778853  0.23063566  0.69478421 -0.22184943]
graphs/nodes_8/104.gml,0.7889253213495152,[-0.2103946   0.28545856  2.06120621 -0.17516496]
graphs/nodes_8/1040.gml,0.910217061265034,[-0.30631382  0.22061399  0.66556965 -0.25059313]
graphs/nodes_8/1041.gml,0.7813530406705748,[-0.34269811  0.37399966  1.53049022 -0.05522722]
graphs/nodes_8/1042.gml,0.7729351537954879,[-0.29033274  0.19037674  0.6308042  -0.29505926]
graphs/nodes_8/1043.gml,0.7850884110481622,[-0.25937152  0.23390388  0.65626049 -0.23921594]
graphs/nodes_8/1044.gml,0.736142815016164,[-0.38026849  0.39204766  1.4777524   0.02009998]
graphs/nodes_8/1045.gml,0.8490964728093184,[-0.27902401 -1.21421304  1.86184077 -1.55179102]
graphs/nodes_8/1046.gml,0.8240871667358084,[-0.3293469   0.24805289  0.72398697 -0.26306333]
graphs/nodes_8/1047.gml,0.8270380553662264,[-0.27490425  0.20092001  0.61329379 -0.28007657]
graphs/nodes_8/1048.gml,0.7821658179313381,[-1.06820868 -0.01521802  1.39835906 -0.36239474]
graphs/nodes_8/1049.gml,0.8777918857846555,[-0.31595823  0.22748287  0.70002715 -0.25438638]
graphs/nodes_8/105.gml,0.8300014761645798,[-0.48922542 -0.31467771  3.35204097  0.68442168]
graphs/nodes_8/1050.gml,0.831706453033155,[-0.33222212  0.20858789  0.72335986 -0.24393652]
graphs/nodes_8/1051.gml,0.8797206230798867,[-0.26997988  0.20171192  0.65530544 -0.23644285]
graphs/nodes_8/1052.gml,0.8668124154276154,[-0.34681339  0.24388966  0.78530038 -0.2356826 ]
graphs/nodes_8/1053.gml,0.8941000783907392,[-0.31162473  0.25165054  0.80951168 -0.22890345]
graphs/nodes_8/1054.gml,0.8099725000058884,[-0.30601808  0.21013802  0.64662339 -0.29497762]
graphs/nodes_8/1055.gml,0.8899925833111662,[-0.26987401  0.19421739  0.62012012 -0.25606379]
graphs/nodes_8/1056.gml,0.8190559508102871,[ 2.7963899   3.46943746  3.91386119 -1.81205119]
graphs/nodes_8/1057.gml,0.7781581955392378,[-0.32944271  0.23118903  0.67942975 -0.29325497]
graphs/nodes_8/1058.gml,0.8570441008053666,[-0.26387653  0.21542486  0.67267539 -0.19681938]
graphs/nodes_8/1059.gml,0.8470723277187747,[ 0.34931249  2.65568667  0.57955962 -0.27007778]
graphs/nodes_8/106.gml,0.8650749141523028,[-0.31221838  0.21873421  0.66346918 -0.2774346 ]
graphs/nodes_8/1060.gml,0.9047121446956398,[-0.21950053 -1.1118127   2.71953313 -1.31187291]
graphs/nodes_8/1061.gml,0.8425334867807486,[-0.22803859 -1.11322092  2.70357254 -1.30296012]
graphs/nodes_8/1062.gml,0.8240871667357671,[-0.3293469   0.24805287  0.7239869  -0.26306335]
graphs/nodes_8/1063.gml,0.8638706281495645,[-0.29024648  0.22510097  0.68749519 -0.25662638]
graphs/nodes_8/1064.gml,0.8663821088359895,[-0.30265485  0.23538702  0.72548716 -0.20969146]
graphs/nodes_8/1065.gml,0.8170865374566122,[-0.30948206  0.23004905  0.66382434 -0.27168251]
graphs/nodes_8/1066.gml,0.8371281173300167,[-0.29308875  0.20421792  0.6596425  -0.25103375]
graphs/nodes_8/1067.gml,0.7926110366394908,[-1.51405309 -0.82134015  1.95402168 -0.37741385]
graphs/nodes_8/1068.gml,0.7284249774112057,[-1.23950071 -0.03823748  1.60560639 -0.37856987]
graphs/nodes_8/1069.gml,0.9064455260114848,[-0.22714852  0.19756722  0.58103664 -0.20124679]
graphs/nodes_8/107.gml,0.8487882315756302,[-0.32103918  0.2620837   0.72885441 -0.25937809]
graphs/nodes_8/1070.gml,0.8072651989009374,[-0.32393782  0.21478559  0.71691272 -0.26378015]
graphs/nodes_8/1071.gml,0.8799505283011432,[-0.27196044  0.23319275  0.6898645  -0.22993024]
graphs/nodes_8/1072.gml,0.8867252366573916,[-0.34157821  2.01280079  2.52824084 -1.31956802]
graphs/nodes_8/1073.gml,0.8867252366574804,[-0.34157819  2.01280084  2.52824095 -1.319568  ]
graphs/nodes_8/1074.gml,0.878446197305251,[ 0.2275932  -3.6108525   3.54565223 -3.43966657]
graphs/nodes_8/1075.gml,0.932941669699686,[-0.28686895  0.22266263  0.71820504 -0.19435813]
graphs/nodes_8/1076.gml,0.7723219052681114,[-0.33638835  0.37586285  1.50043154 -1.49347455]
graphs/nodes_8/1077.gml,0.7813530406705369,[-0.34269808  0.37399971  1.53049143 -0.05522726]
graphs/nodes_8/1078.gml,0.8067895984734884,[-0.2897933   0.20713153  0.61378486 -0.29917321]
graphs/nodes_8/1079.gml,0.8419988118042978,[-0.31635794  0.21108478  0.72905762 -0.24119744]
graphs/nodes_8/108.gml,0.8432857747220887,[-0.23476579 -1.14851112  2.67953084 -1.32560118]
graphs/nodes_8/1080.gml,0.7231515289289506,[-0.36080019  0.39332839  1.480919    0.04922755]
graphs/nodes_8/1081.gml,0.7948432354750504,[-0.29870314  0.20741047  0.67473692 -0.25002028]
graphs/nodes_8/1082.gml,0.8210700753312165,[-0.5763863   1.23283111  0.27032378 -0.85968232]
graphs/nodes_8/1083.gml,0.8272446634973567,[-0.32430445  0.20837654  0.6937879  -0.28049993]
graphs/nodes_8/1084.gml,0.8409390963261559,[-0.34821808  0.27085888  0.77403601 -0.2406796 ]
graphs/nodes_8/1085.gml,0.8114984831502446,[-0.29467758  0.24113364  0.69394146 -0.25619484]
graphs/nodes_8/1086.gml,0.8641466873150134,[-0.29880503  0.20946032  0.6601772  -0.24614672]
graphs/nodes_8/1087.gml,0.7568975602155606,[-0.23448476  0.43106615  1.69671675 -0.13965541]
graphs/nodes_8/1088.gml,0.7813530406705774,[-0.3426981   0.37399969  1.53049036 -0.05522721]
graphs/nodes_8/1089.gml,0.8430591946993988,[-1.16887162  1.51223068  1.55307675 -0.39309896]
graphs/nodes_8/109.gml,0.8347439606404997,[-0.29127005  0.21400476  0.65762864 -0.24169625]
graphs/nodes_8/1090.gml,0.8396547188489714,[-0.20155265  1.90673761  1.227758    0.17498293]
graphs/nodes_8/1091.gml,0.8817112244749967,[-0.26265371  0.20222351  0.6142988  -0.23497286]
graphs/nodes_8/1092.gml,0.7692990073534173,[-0.30628385  0.21356658  0.62324414 -0.32468575]
graphs/nodes_8/1093.gml,0.9005974338181398,[-0.32969914  0.39966823  2.58679533 -1.31169018]
graphs/nodes_8/1094.gml,0.8086889128501348,[-0.3030832   0.20577113  0.63975052 -0.29555411]
graphs/nodes_8/1095.gml,0.7819078893210155,[-0.3236985   0.21705161  0.66562074 -0.31004969]
graphs/nodes_8/1096.gml,0.7848839367210658,[-0.29423992  0.19813079  0.62792858 -0.29808284]
graphs/nodes_8/1097.gml,0.8509273632170601,[-0.28621347  0.21325369  0.67580247 -0.22602163]
graphs/nodes_8/1098.gml,0.8407212947700775,[-0.31333319  0.21375047  0.64858138 -0.28497418]
graphs/nodes_8/1099.gml,0.8933395497417245,[-0.30129195  0.27666204  0.8032209  -0.24040649]
graphs/nodes_8/11.gml,0.8934653446954602,[-0.31161897  0.26463531  0.79063713 -0.23984161]
graphs/nodes_8/110.gml,0.8928231103603089,[-0.28920926  0.2107589   0.66498254 -0.24349769]
graphs/nodes_8/1100.gml,0.9042153316039071,[-0.28180095  0.21693922  0.68262114 -0.20325962]
graphs/nodes_8/1101.gml,0.779873997890255,[-1.00480323 -0.1047022   1.33392214 -0.42137749]
graphs/nodes_8/1102.gml,0.8469403133612903,[-0.34887048  0.23402045  0.75008171 -0.26659143]
graphs/nodes_8/1103.gml,0.834511237591844,[-0.34173179  0.24037569  0.74896267 -0.23498949]
graphs/nodes_8/1104.gml,0.8484636932777404,[-0.23910011  0.21502404  0.63395968 -0.23234085]
graphs/nodes_8/1105.gml,0.7231515289287909,[-0.36080017  0.39332801  1.48091805  0.04922761]
graphs/nodes_8/1106.gml,0.8317126554946074,[-0.2182709   0.19860385  0.59102936 -0.22353847]
graphs/nodes_8/1107.gml,0.6926347257212758,[-0.64896441  0.8787641   2.0574079  -0.79159612]
graphs/nodes_8/1108.gml,0.7833310674894166,[-0.32862631  0.21168281  0.68576726 -0.31047908]
graphs/nodes_8/1109.gml,0.8811358571001471,[-0.30447054  0.22987     0.69322209 -0.21583388]
graphs/nodes_8/111.gml,0.8065650059632483,[-0.28353894  0.21822364  0.61472494 -0.28987609]
graphs/nodes_8/1110.gml,0.9049220389674147,[-0.32289958  0.34223241  1.37067839 -1.49817766]
graphs/nodes_8/1111.gml,0.8659456979288607,[-0.23074455 -1.08813608  2.70187466 -1.31809123]
graphs/nodes_8/1112.gml,0.818863131912863,[-0.43421902  1.23807483  3.30757814 -0.85949208]
graphs/nodes_8/1113.gml,0.8670162075940346,[-0.35016067  0.24386559  0.78828893 -0.23565248]
